diseaseId	name	vocabulary	code	vocabularyName
C4025901	Abnormality of body height	HPO	HP:0000002	Abnormality of body height
C3714581	Multicystic Dysplastic Kidney	HPO	HP:0000003	Multicystic kidney dysplasia
C4020899	Autosomal recessive predisposition	HPO	HP:0000007	Autosomal recessive predisposition
C4025900	Abnormality of female internal genitalia	HPO	HP:0000008	Abnormality of female internal genitalia
C3806583	Poor bladder function	HPO	HP:0000009	Functional abnormality of the bladder
C0262655	Recurrent urinary tract infection	HPO	HP:0000010	Recurrent urinary tract infections
C0005697	Neurogenic Urinary Bladder	HPO	HP:0000011	Neurogenic bladder
C0085606	Urgency of micturition	HPO	HP:0000012	Urgency frequency syndrome
C3544092	Urgency frequency syndrome	HPO	HP:0000012	Urgency frequency syndrome
C4020898	Overactive bladder syndrome	HPO	HP:0000012	Urgency frequency syndrome
C0266399	Infantile uterus	HPO	HP:0000013	Hypoplasia of the uterus
C0156273	Bladder Diverticulum	HPO	HP:0000015	Bladder diverticulum
C0080274	Urinary Retention	HPO	HP:0000016	Urinary retention
C0028734	Nocturia	HPO	HP:0000017	Nocturia
C0042024	Urinary Incontinence	HPO	HP:0000020	Urinary incontinence
C1855311	Megacystis	HPO	HP:0000021	Megacystis
C4025899	Abnormality of male internal genitalia	HPO	HP:0000022	Abnormality of male internal genitalia
C0019294	Hernia, Inguinal	HPO	HP:0000023	Inguinal hernia
C0033581	prostatitis	HPO	HP:0000024	Prostatitis
C4025898	Functional abnormality of male internal genitalia	HPO	HP:0000025	Functional abnormality of male internal genitalia
C0151721	Testicular hypogonadism	HPO	HP:0000026	Male hypogonadism
C0004509	Azoospermia	HPO	HP:0000027	Azoospermia
C0010417	Cryptorchidism	HPO	HP:0000028	Cryptorchidism
C0156312	Atrophy of testis	HPO	HP:0000029	Testicular atrophy
C0014534	Epididymitis	HPO	HP:0000031	Epididymitis
C4021823	Ambiguous genitalia, male	HPO	HP:0000033	Ambiguous genitalia, male
C1720771	Testicular Hydrocele	HPO	HP:0000034	Hydrocele
C0266423	Congenital anomaly of testis	HPO	HP:0000035	Abnormality of the testis
C4025896	Abnormality of the penis	HPO	HP:0000036	Abnormality of the penis
C0238395	Male Pseudohermaphroditism	HPO	HP:0000037	Male pseudohermaphroditism
C0563449	Epispadias, male (disorder)	HPO	HP:0000039	Epispadias
C0269011	Increased size of penis	HPO	HP:0000040	Long penis
C0221182	Chordee	HPO	HP:0000041	Chordee
C1848869	Absent external genitalia	HPO	HP:0000042	Absent external genitalia
C0271623	Hypogonadotropic hypogonadism	HPO	HP:0000044	Isolated hypogonadotropic hypogonadism
C3489396	Hypogonadism, Isolated Hypogonadotropic	HPO	HP:0000044	Isolated hypogonadotropic hypogonadism
C4025895	Abnormality of the scrotum	HPO	HP:0000045	Abnormality of the scrotum
C0431659	Hypoplasia of scrotum	HPO	HP:0000046	Scrotal hypoplasia
C1691215	Penile hypospadias	HPO	HP:0000047	Hypospadias
C0341787	Bifid scrotum	HPO	HP:0000048	Bifid scrotum
C1858539	Shawl scrotum	HPO	HP:0000049	Shawl scrotum
C1852534	Hypoplastic male genitalia	HPO	HP:0000050	Hypoplastic male external genitalia
C0452148	Hypospadias, perineal	HPO	HP:0000051	Perineal hypospadias
C1263023	Macroorchidism	HPO	HP:0000053	Macroorchidism
C0266435	Congenital hypoplasia of penis	HPO	HP:0000054	Micropenis
C4021822	Abnormality of female external genitalia	HPO	HP:0000055	Abnormality of female external genitalia
C4025893	Abnormality of the clitoris	HPO	HP:0000056	Abnormality of the clitoris
C0156394	Hypertrophy of clitoris	HPO	HP:0000057	Enlarged clit
C4025892	Abnormality of the labia	HPO	HP:0000058	Abnormality of the labia
C0566899	Small labia majora	HPO	HP:0000059	Hypoplastic labia majora
C1844527	Clitoral hypoplasia	HPO	HP:0000060	Clitoral hypoplasia
C1859980	Ambiguous genitalia due to virilization	HPO	HP:0000061	Ambiguous genitalia due to virilization
C4025891	Ambiguous genitalia, female	HPO	HP:0000061	Ambiguous genitalia due to virilization
C0266362	Ambiguous Genitalia	HPO	HP:0000062	Ambiguous genitalia
C1837532	Fused labia minora	HPO	HP:0000063	Fused labia minora
C1849295	Hypoplastic labia minora	HPO	HP:0000064	Hypoplastic labia minora
C0404531	Hypertrophy of labia	HPO	HP:0000065	Labial hypertrophy
C1850325	Labial hypoplasia	HPO	HP:0000066	Labial hypoplasia
C1610065	Urethral atresia	HPO	HP:0000068	Urethral atresia
C1840382	Ureteral anomalies	HPO	HP:0000069	Abnormality of the ureter
C0041960	Ureterocele	HPO	HP:0000070	Ureterocele
C0521618	Stenosis of ureter	HPO	HP:0000071	Ureteral stenosis
