Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Aging,2013,NCI,5U01AG029824-03,,ASPirin in Reducing Events in the Elderly,"GRIMM, RICHARD","MINNEAPOLIS MEDICAL RESEARCH FDN, INC.",MN,"$633,989"
Aging,2013,NIA,5U01AG029824-03,,ASPirin in Reducing Events in the Elderly,"GRIMM, RICHARD","MINNEAPOLIS MEDICAL RESEARCH FDN, INC.",MN,"$7,908,651"
Aging,2013,NINR,5R01NR010904-03,,Promoting Physical Activity in Older Adults with Comorbidity,"SCHLENK, ELIZABETH",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$494,740"
Aging,2013,NIAMS,5R01AR043052-13,,3D in Vivo Morphometry of Trabecular Microstructure,"LANE, NANCY",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$656,905"
Aging,2013,NIA,5R01AG034962-03,,Cardiac function as a mechanism for maladaptive brain aging,"JEFFERSON, ANGELA",VANDERBILT UNIVERSITY MED CTR,TN,"$791,247"
Aging,2013,NHLBI,5R01HL075092-10,,Integrins in the Endothelial Response to Fluid Shear Stress,"SCHWARTZ, MARTIN",YALE UNIVERSITY,CT,"$392,111"
Aging,2013,NHLBI,5R01HL107899-02,,Androgen-Estrogen Balance in CVD Risk,"LEE, JENNIFER",KAISER FOUNDATION RESEARCH INSTITUTE,CA,"$506,310"
Aging,2013,NIA,5R01AG034658-03,,Engineered Biologics for Repair of Abdominal Wall Musculofascia,"MATHUR, ANSHU",UT MD ANDERSON CANCER CTR,TX,"$537,402"
Aging,2013,NIA,5R01AG034151-03,,What Does Health Insurance Do? Evidence from the Oregon Health Insurance Lottery,"BAICKER, KATHERINE",NATIONAL BUREAU OF ECONOMIC RESEARCH,MA,"$1,146,400"
Aging,2013,NHLBI,5R01HL105302-03,,Molecular Mechanism of Arterial Stiffening,"SUN, ZHONGJIE",UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OK,"$343,156"
Aging,2013,NEI,5R01EY015520-09,,Absolute Fundus Autofluorescence in Retinal Degenerations,"SMITH, ROLAND",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$588,476"
Aging,2013,NIDCD,1K23DC011056-01A1,,Neural Basis of Coexisting Swallowing and Communication Disorders after Stroke,"GONZALEZ-FERNANDEZ, MARLIS",JOHNS HOPKINS UNIVERSITY,MD,"$236,359"
Aging,2013,NIDCD,5R03DC012278-02,,Temporal masking and speech recognition in the aging auditory system: US-Brazil,"GROSE, JOHN",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$50,809"
Aging,2013,NIA,8DP1GM105382-05,,Behavioral Epidemiology: Applications of Agent-Based Modeling to Infectious Disea,"EPSTEIN, JOSHUA",JOHNS HOPKINS UNIVERSITY,MD,"$196,861"
Aging,2013,NHLBI,5R01HL105297-03,,Mechanisms Underlying the Progression of Arterial Stiffness in Hypertension,"HUMPHREY, JAY",YALE UNIVERSITY,CT,"$371,686"
Aging,2013,NHLBI,5R01HL095556-03,,The role of adenosine kinase in atherosclerosis,"HUO, YUQING",GEORGIA  REGENTS UNIVERSITY,GA,"$364,424"
Aging,2013,NIA,5U01AG023746-08,,EXTREME LONGEVITY FAMILY STUDY,"PROVINCE, MICHAEL",WASHINGTON UNIVERSITY,MO,"$1,998,070"
Aging,2013,NIA,5U01AG032984-04,,Alzheimer's Disease Genetics Consortium,"SCHELLENBERG, GERARD",UNIVERSITY OF PENNSYLVANIA,PA,"$3,561,408"
Aging,2013,NIAMS,5R01AR055176-04,,A Mulit-Centered Prospective Study of Quality of Life in Adult Scoliosis,"BRIDWELL, KEITH",WASHINGTON UNIVERSITY,MO,"$501,285"
Aging,2013,NIAMS,5R21AR061808-02,,Multicenter Investigation of the Mechanical Determinants of Post-Traumatic OA,"MARSH, J.",UNIVERSITY OF IOWA,IA,"$128,089"
Aging,2013,NINDS,5U44NS065518-04,,A Therapeutic DNA Epitope Vaccine for Alzheimer's Disease,"EVANS, CLAIRE","ICHOR MEDICAL SYSTEMS, INC.",CA,$1
Aging,2013,OD,1S10OD012287-01,,Acquisition of a Nano Computed Tomography Instrument for shared Cornell Imaging f,"HERNANDEZ, CHRISTOPHER",CORNELL UNIVERSITY,NY,"$754,684"
Aging,2013,FIC,1D43ES022862-01A1,,Environmental and respiratory health across the lifespan in Mongolia,"WARBURTON, DAVID",CHILDREN'S HOSPITAL OF LOS ANGELES,CA,"$20,000"
Aging,2013,NIEHS,1D43ES022862-01A1,,Environmental and respiratory health across the lifespan in Mongolia,"WARBURTON, DAVID",CHILDREN'S HOSPITAL OF LOS ANGELES,CA,"$220,104"
Aging,2013,NIA,5F31AG040974-02,,Novel therapeutic targets for Leukemia in Elderly,"MARTIN, HOLLY",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$29,616"
Aging,2013,NINDS,5R21NS077460-02,,U.S. India Collaborative Partnership in Parkinson Disease (CPPD),"KIEBURTZ, KARL",UNIVERSITY OF ROCHESTER,NY,"$186,366"
Aging,2013,NINDS,5R21NS077438-02,,Role of Brain Ferroxidases in AD and sCJD Pathogenesis,"SINGH, NEENA",CASE WESTERN RESERVE UNIVERSITY,OH,"$227,258"
Aging,2013,NIA,2P51OD011104-52,,Tulane National Primate Research Center,"HAMM, L.",TULANE UNIVERSITY OF LOUISIANA,LA,"$70,656"
Aging,2013,NHLBI,1R01HL114541-01,,Atheroprotective Gene Therapy,"DICHEK, DAVID",UNIVERSITY OF WASHINGTON,WA,"$486,995"
Aging,2013,NIA,1R01AG042508-01,,Mechanisms of regulation of amyloid-beta metabolism by CALHM1,"MARAMBAUD, PHILIPPE",FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,NY,"$345,425"
Aging,2013,NIA,5F31AG039947-02,,Alpha4's regulation of PP2A activity: Role in tau hyperphosphorylation,"LENOUE-NEWTON, MICHELE",VANDERBILT UNIVERSITY MED CTR,TN,"$26,884"
Aging,2013,NIA,5F32AG039127-02,,Quantitative Proteomic Approach to Identify the Mechanism of Alzheimer's Disease,"SAVAS, JEFFREY",SCRIPPS RESEARCH INSTITUTE,CA,"$53,942"
Aging,2013,NIMH,5R01MH083968-04,,Structural and Functional Brain Aging in Bipolar Disorder,"EYLER, LISA",VETERANS MEDICAL RESEARCH FDN/SAN DIEGO,CA,"$302,797"
Aging,2013,NHLBI,1R01HL109284-01A1,,CVD in American Indians  Study and Data Management Center and OK Field Center,"LEE, ELISA",UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OK,"$897,599"
Aging,2013,NHGRI,5U54HG003273-10,,The Human Genome Sequencing Center,"GIBBS, RICHARD",BAYLOR COLLEGE OF MEDICINE,TX,"$13,964,521"
Aging,2013,NHLBI,1R01HL109319-01A1,,CVD in American Indians Biomarker lab and Arizona Field Center,"HOWARD, BARBARA",MEDSTAR RESEARCH INSTITUTE,MD,"$718,329"
Aging,2013,NHLBI,1R01HL109301-01A1,,CVD in American Indians Genetics Center,"COLE, SHELLEY",TEXAS BIOMEDICAL RESEARCH INSTITUTE,TX,"$597,222"
Aging,2013,NHLBI,1R01HL109315-01A1,,CVD in American Indians  The Dakota Field Center,"BEST, LYLE","MISSOURI BREAKS RESEARCH, INC.",SD,"$503,843"
Aging,2013,NIEHS,5R01ES012241-10,,"Cholinesterase Inhibitors, Axonal Transport, and Memory","TERRY, ALVIN",GEORGIA  REGENTS UNIVERSITY,GA,"$300,161"
Aging,2013,NIA,5F31AG040985-02,,Reactive Oxygen Species and Telomeres in Cardiovascular Disease,"GORDON, CARRIE-ANN",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$31,576"
Aging,2013,NIDDK,5K08DK090134-03,,Tissue recovery in the pathophysiology of stress urinary incontinence,"HIJAZ, ADONIS",CASE WESTERN RESERVE UNIVERSITY,OH,"$148,500"
Aging,2013,NIDCD,5R01DC011492-03,,Bilingual Alzheimer's Disease,"GOLLAN, TAMAR",UNIVERSITY OF CALIFORNIA,CA,"$527,213"
Aging,2013,NHLBI,1R01HL109282-01A1,,CVD in American Indians:  Imaging and Cardiovascular Center,"DEVEREUX, RICHARD",WEILL MEDICAL COLL OF CORNELL UNIV,NY,"$156,001"
Aging,2013,NEI,5R01EY011352-17,,Modification of Alpha-Crystallin Chaperone Function,"ABRAHAM, EDATHARA",UNIV OF ARKANSAS FOR MED SCIS,AR,"$330,600"
Aging,2013,NINDS,5R01NS062182-04,,Transcriptional regulation of aging in the adult neural stem cell niche,"GHASHGHAEI, HOOMAN",NORTH CAROLINA STATE UNIVERSITY RALEIGH,NC,"$304,940"
Aging,2013,NIMH,5R34MH086643-03,,Treatment of Insomnia and Depression in Elders (TIDE),"LICHSTEIN, KENNETH",UNIVERSITY OF ALABAMA IN TUSCALOOSA,AL,"$200,148"
Aging,2013,NIA,5P01AG009973-20,0010,FUNCTIONAL CODING IN HIPPOCAMPAL/CORTICAL SYSTEMS,"EICHENBAUM, HOWARD",BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),MA,"$313,766"
Aging,2013,NIA,5P01AG009973-20,0011,ANIMAL MODELS AND FUCNTIONAL CHANGES IN AGING,"GALLAGHER, MICHELA",JOHNS HOPKINS UNIVERSITY,MD,"$265,699"
Aging,2013,NIA,5P01AG009973-20,0012,NEUROANTOMY OF THE AGED HIPPOCAMPAL FORMATION,"RAPP, PETER",MOUNT SINAI SCHOOL OF MEDICINE,NY,"$380,732"
Aging,2013,NIA,5P01AG009973-20,9003,ADMINISTRATIVE CORE,"GALLAGHER, MICHELA",JOHNS HOPKINS UNIVERSITY,MD,"$114,184"
Aging,2013,NIA,5P01AG009973-20,9004,ANIMAL RESOURCE,"GALLAGHER, MICHELA",JOHNS HOPKINS UNIVERSITY,MD,"$318,401"
Aging,2013,NIA,5P01AG009973-20,9005,BIOINFORMATICS/DATA MANAGEMENT,"COLANTUONI, CARLO",JOHNS HOPKINS UNIVERSITY,MD,"$195,539"
Aging,2013,NHLBI,5P50HL105185-03,6245,"DIET AND VITAMIN STATUS, ALLOSTATIC LOAD, AND CVD RISK IN PUERTO RICAN ADULTS","TUCKER, KATHERINE",TUFTS UNIVERSITY BOSTON,MA,"$264,485"
Aging,2013,OD,5P50HL105185-03,6245,"DIET AND VITAMIN STATUS, ALLOSTATIC LOAD, AND CVD RISK IN PUERTO RICAN ADULTS","TUCKER, KATHERINE",TUFTS UNIVERSITY BOSTON,MA,"$3,125"
Aging,2013,NHLBI,5P50HL105185-03,6247,GWAS FOR CARDIOVASCULAR HEALTH IN ELDERLY PUERTO RICANS,"ORDOVAS, JOSE",TUFTS UNIVERSITY BOSTON,MA,"$264,482"
Aging,2013,OD,5P50HL105185-03,6247,GWAS FOR CARDIOVASCULAR HEALTH IN ELDERLY PUERTO RICANS,"ORDOVAS, JOSE",TUFTS UNIVERSITY BOSTON,MA,"$3,125"
Aging,2013,NHLBI,5P50HL105185-03,6249,A HEART HEALTHY ACTION PROGRAM FOR PUERTO RICAN ADULTS,"SCEPPA, CARMEN",TUFTS UNIVERSITY BOSTON,MA,"$264,482"
Aging,2013,OD,5P50HL105185-03,6249,A HEART HEALTHY ACTION PROGRAM FOR PUERTO RICAN ADULTS,"SCEPPA, CARMEN",TUFTS UNIVERSITY BOSTON,MA,"$3,125"
Aging,2013,NHLBI,5P50HL105185-03,6252,LABORATORY,"ORDOVAS, JOSE",TUFTS UNIVERSITY BOSTON,MA,"$264,478"
Aging,2013,OD,5P50HL105185-03,6252,LABORATORY,"ORDOVAS, JOSE",TUFTS UNIVERSITY BOSTON,MA,"$3,125"
Aging,2013,NEI,5R01EY016112-07,,Trabecular Meshwork Proteins in Glaucoma,"BHATTACHARYA, SANJOY",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$363,375"
Aging,2013,NEI,5R21EY022182-02,,A Fluorescence-based Optomechanical Sensor for Intraocular Pressure Monitoring,"CHRONIS, NIKOLAOS",UNIVERSITY OF MICHIGAN,MI,"$208,547"
Aging,2013,NEI,5R21EY022150-02,,Coupled level set framework for retinal segmentation and atlasing in SD-OCT,"PRINCE, JERRY",JOHNS HOPKINS UNIVERSITY,MD,"$222,916"
Aging,2013,NHLBI,5R01HL106019-03,,Autophagy in Advanced Atherosclerosis,"TABAS, IRA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$442,755"
Aging,2013,NHLBI,5R01HL097365-04,,S100A9 and S100A8 in Diabetes and Atherosclerosis,"BORNFELDT, KARIN",UNIVERSITY OF WASHINGTON,WA,"$391,129"
Aging,2013,NHLBI,5P01HL051971-20,5577,HORMONAL MECHANISMS OF POSTMENOPAUSAL HYPERTENSION,"RECKELHOFF, JANE",UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,MS,"$283,763"
Aging,2013,NINDS,5R01NS059909-05,,Motor Function after Stroke,"CRAMER, STEVEN",UNIVERSITY OF CALIFORNIA IRVINE,CA,"$326,217"
Aging,2013,NIDDK,5F32DK090995-03,,Autophagy and human islet amyloid polypeptide in animal models of type 2 diabetes,"RIVERA, JACQUELINE",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$57,734"
Aging,2013,NIDDK,5R37DK039949-31,,Genomic and Translational Approaches to Neuroendocrine Switching Events,"ROSENFELD, MICHAEL",UNIVERSITY OF CALIFORNIA,CA,"$615,950"
Aging,2013,NEI,5R01EY016886-05,,Diet and Lifestyle Factors Reducing Risk for Age-Related Eye Disease,"MARES, JULIE",UNIVERSITY OF WISCONSIN-MADISON,WI,"$247,774"
