Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Aging,2011,NIA,5R01AG030856-03,,Building Integrated Models of Health and Retirement: Three Approaches,"LIEBMAN, JEFFREY",NATIONAL BUREAU OF ECONOMIC RESEARCH,MA,"$41,296"
Aging,2011,NEI,5R01EY006177-26,,Mechanism of Lacrimal Gland Secretion,"DARTT, DARLENE",SCHEPENS EYE RESEARCH INSTITUTE,MA,"$499,103"
Aging,2011,FIC,1K01TW008407-01,,Risk Factors for Atherosclerosis among Patients with Heart Failure in Kenya,"BLOOMFIELD, GERALD",DUKE UNIVERSITY,NC,"$62,500"
Aging,2011,NHLBI,1K01TW008407-01,,Risk Factors for Atherosclerosis among Patients with Heart Failure in Kenya,"BLOOMFIELD, GERALD",DUKE UNIVERSITY,NC,"$64,454"
Aging,2011,NIBIB,1R01EB009634-01A1,,"Fast, Robust Analysis of Large Population Data","SHEN, DINGGANG",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$333,000"
Aging,2011,NIA,1P01AG033559-01A1,7997,Administrative,"GOLDMAN, DANA",RAND CORPORATION,CA,"$601,849"
Aging,2011,OD,1P01AG033559-01A1,7997,Administrative,"GOLDMAN, DANA",RAND CORPORATION,CA,"$100,000"
Aging,2011,NCRR,1S10RR029531-01,,Acquisition of a High-Field Dual Source FTICR-MS for Pharmaceutical Research,"LI, LINGJUN",UNIVERSITY OF WISCONSIN MADISON,WI,"$2,070,000"
Aging,2011,NCRR,1S10RR028962-01,,BD FACSAria II Flow Cytometer,"CAVROIS, MARIELLE",J. DAVID GLADSTONE INSTITUTES,CA,"$544,471"
Aging,2011,FIC,1R01NS064905-01A1,,CHADSS: Chagas Disease Scan Study,"OLIVEIRA-FILHO, JAMARY",FEDERAL UNIVERSITY OF BAHIA,BRAZIL,"$5,000"
Aging,2011,NINDS,1R01NS064905-01A1,,CHADSS: Chagas Disease Scan Study,"OLIVEIRA-FILHO, JAMARY",FEDERAL UNIVERSITY OF BAHIA,BRAZIL,"$324,041"
Aging,2011,NHLBI,5R01HL085742-03,,Effect of Chronic Inflammation on Atherosclerosis Outcomes in RA,"DEL RINCON, INMACULADA",UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT,TX,"$744,283"
Aging,2011,NEI,1K99EY020518-01,,New Techniques for Measuring Volumetric Structural Changes in Glaucoma,"BALASUBRAMANIAN, MADHUSUDHANAN",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$89,922"
Aging,2011,NINR,5R01NR007618-09,,Self-Care to Prevent Birth-Related UI in Diverse Women,"SAMPSELLE, CAROLYN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$365,244"
Aging,2011,NHLBI,5U01HL084890-05,,The Texas Medical Center Regional Coordinating Center for Heart Failure,"DESWAL, ANITA",BAYLOR COLLEGE OF MEDICINE,TX,"$361,580"
