Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Aging,2008,NINDS,1R03NS048512-01A1,,A Murine Model for Inhibition of Farnesyltransferase,"ZIMMERMAN, GUY",UNIVERSITY OF UTAH,UT,"$74,750"
Aging,2008,NIMH,1R01MH076829-01A1,,Treating Older Patients with Major Depression and Severe COPD,"ALEXOPOULOS, GEORGE",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$353,058"
Aging,2008,NIA,2R01AG014713-11,,PS1 and BACE1 regulate processing and activity of voltage-gated sodium channels,"KOVACS, DORA",MASSACHUSETTS GENERAL HOSPITAL,MA,"$323,644"
Aging,2008,NIA,5R01AG020579-05,,Driving Transitions and Mental Health in Disabled Elders,"HOROWITZ, AMY",JEWISH HOME AND HOSPITAL LIFECARE SYSTEM,NY,"$378,257"
Aging,2008,NIMH,5R01MH069666-04,,Methods of Optimal Depression Detection in Parkinson's,"MARSH, LAURA",JOHNS HOPKINS UNIVERSITY,MD,"$474,999"
Aging,2008,NINDS,5K01NS050309-05,,Forecasting Topiramate's Effect on Cognitive Function,"MARINO, SUSAN",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$173,099"
Aging,2008,NIA,5R01AG023073-06,,Impact of Aging on Stem Cell Repair in Atherosclerosis,"GOLDSCHMIDT-CLERMONT, PASCAL",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$387,396"
Aging,2008,NEI,1R15EY018249-01,,Phase boundaries and liquid structure of concentrated eye lens protein mixtures,"THURSTON, GEORGE",ROCHESTER INSTITUTE OF TECHNOLOGY,NY,"$210,750"
Aging,2008,NCCAM,1K99AT004197-01,,Neuroprotective Effect of Ginkgo Biloba and its Bioactive Components Ischemia,"SHAH, ZAHOOR",JOHNS HOPKINS UNIVERSITY,MD,"$87,462"
Aging,2008,NINR,5F31NR010185-02,,Racial and Ethnic Disparities in Hospice Use after Referral,"HILL, JILL MARIE",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$27,776"
Aging,2008,NCCAM,1R01AT004259-01,,Therapeutic Value of Fish Oil Rx on SLE and Bone Loss in Mice,"FERNANDES, GABRIEL",UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT,TX,"$325,600"
Aging,2008,NEI,2R01EY014240-06,,Initiating Events in AMD: An Animal Model for the Human Disease,"HOLLYFIELD, JOE",CLEVELAND CLINIC LERNER COL/MED-CWRU,OH,"$386,250"
Aging,2008,NIA,5F32AG029052-02,,Causes of mitochondrial dysfunction in aging muscle,"VILLARIN, JASON",UNIVERSITY OF WASHINGTON,WA,"$53,896"
Aging,2008,NIMH,4R37MH060009-09,,Identification and Characterization of Novel AD Genes,"TANZI, RUDOLPH",MASSACHUSETTS GENERAL HOSPITAL,MA,"$785,119"
Aging,2008,NIEHS,5R01ES010751-08,,Molecular Epidemiology of Parkinson's Disease,"MARAGANORE, DEMETRIUS","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$1,103,350"
Aging,2008,NIA,2R01AG023176-06,,Role of FSH in Osreoclast Formation and Function,"ZAIDI, MONE",MOUNT SINAI SCHOOL OF MEDICINE OF NYU,NY,"$361,906"
Aging,2008,NCMHD,2P60MD000206-06,0003,Counseling older Americans to control hypertension (COACH),"OGEDEGBE, GBENGA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$969,469"
Aging,2008,NIMH,5K23MH067702-05,,Cognition and Treatment Outcomes of Geriatric Depression,"MURPHY, CHRISTOPHER",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$157,311"
Aging,2008,NIA,2K24AG021507-06,,Research Training in Disability & Disabling Disorders,"GILL, THOMAS",YALE UNIVERSITY,CT,"$178,888"
Aging,2008,NIA,2R01AG023178-04,,Propensity Scores and Preventive Drug Use in the Elderly,"STURMER, TIL",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$342,007"
Aging,2008,NIGMS,5R01GM031847-25,,"Hydrogen exchange, proteins, folding, and misfolding","ENGLANDER, S.",UNIVERSITY OF PENNSYLVANIA,PA,"$369,812"
Aging,2008,NIMH,5K23MH067894-05,,DEPRESSION DIAGNOSIS AND TREATMENT IN PARKINSON DISEASE,"WEINTRAUB, DANIEL",UNIVERSITY OF PENNSYLVANIA,PA,"$179,740"
Aging,2008,NIMH,5R01MH047346-14,,Morphologic/Neurochemical Correlates of Depression in AD,"ZUBENKO, GEORGE",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$634,059"
Aging,2008,NIMH,5R01MH060883-08,,Corticolimbic Degeneration and Treatment of Dementia,"CSERNANSKY, JOHN",WASHINGTON UNIVERSITY,MO,"$359,621"
Aging,2008,NIMH,5R01MH067902-05,,DVD Consent for Research in Older Schizophrenia Patients,"JESTE, DILIP",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$443,824"
Aging,2008,NINR,1R01NR010127-01A1,,Exploring the Formal/Informal Caregiver Interface across 3 Death Trajectories,"PENROD, JANICE",PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,PA,"$361,235"
Aging,2008,NIMH,5R01MH051415-12,,Harvard/Brown Anxiety Research Project (HARP),"KELLER, MARTIN",BROWN UNIVERSITY,RI,"$665,431"
Aging,2008,NCI,5R01CA112310-04,,Role of Raf Kinase Inhibitory Protein in Prostate Cancer,"ROSNER, MARSHA",UNIVERSITY OF CHICAGO,IL,"$297,116"
Aging,2008,NIDCD,5R01DC000314-22,,Speech and Language Processing in Aphasia,"BLUMSTEIN, SHEILA",BROWN UNIVERSITY,RI,"$333,482"
Aging,2008,NIGMS,5R01GM029006-27,,Function And Mechanism Of DNA Topoisomerase,"HSIEH, TAO-SHIH",DUKE UNIVERSITY,NC,"$523,245"
Aging,2008,NIGMS,5F32GM077020-03,,Next Generation Nano-prism based LSPR chemical sensors.,"ANKER, JEFFREY",NORTHWESTERN UNIVERSITY,IL,"$50,428"
Aging,2008,NIMH,5K01MH073783-03,,Quality Improvement Methods in Geriatric Mental Health,"SHEERAN, THOMAS",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$160,861"
Aging,2008,NIDCD,5R01DC005827-05,,Genetics of Age-Related Hearing Loss,"JOHNSON, KENNETH",JACKSON LABORATORY,ME,"$312,909"
Aging,2008,NIGMS,5F31GM076861-03,,Biochem. Characterization of Hutchinson-Gilford Progeria Syndrome,"CANDELARIO, JOSE",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$40,831"
Aging,2008,NIMH,5K23MH073658-03,,Tailoring Depression Treatment Services to Older Adults,"WITTINK, MARSHA",UNIVERSITY OF PENNSYLVANIA,PA,"$180,563"
Aging,2008,NIMH,5K23MH065281-05,,Treatment of Late-Life Anxiety in a Primary Care Setting,"BRENES, GRETCHEN",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$163,609"
Aging,2008,NCI,7K99CA125937-02,,Characterization of prostatic stem cells and prostate cancer-initiating cells,"XIN, LI",BAYLOR COLLEGE OF MEDICINE,TX,"$89,179"
Aging,2008,NIMH,5K23MH067710-05,,Intervention to Prevent Post-Stroke Major Depression,"WHYTE, ELLEN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$172,778"
Aging,2008,NHLBI,5R01HL071972-05,,Circadian Role in Diurnal Pattern of Cardiovascular Risk,"STANLEY, H.",BOSTON UNIVERSITY,MA,"$196,021"
Aging,2008,NHLBI,5R01HL075495-03,,Identification of Disease Genes for Atrial Fibrillation,"OLSON, TIMOTHY","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$285,150"
Aging,2008,NIA,1R43AG029006-01A1,,DETECTION OF ALZHEIMER'S DISEASE USING A POLYMER NANOWIRE-BASED BIOSENSOR,"ALAM, MAKSUDUL","INNOSENSE, LLC",CA,"$167,753"
Aging,2008,NIDCD,5R01DC008149-02,,"Aging, Exercise and Mechanisms of Altered Tongue Function","CONNOR, NADINE",UNIVERSITY OF WISCONSIN MADISON,WI,"$308,315"
Aging,2008,NIMH,5R01MH069585-05,,"APP, Alzheimer's Disease, and Synaptic Function","SUDHOF, THOMAS",UNIVERSITY OF TEXAS SW MED CTR/DALLAS,TX,"$525,144"
Aging,2008,NIA,5R13AG028230-02,,Conference Series: From Bedside to Bench,"STUDENSKI, STEPHANIE",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$48,620"
Aging,2008,NINR,2R44NR008479-02,,TAMI: Technology Assisted Management of Incontinence,"BOONE, DAVID","ORTHOCARE INNOVATIONS, LLC",WA,"$418,543"
Aging,2008,NIA,2R44AG015259-04,,Novel Drugs to Treat Urinary Incontinence,"CHEN, JAN","GLSYNTHESIS, INC.",MA,"$794,658"
Aging,2008,NIGMS,1R13GM081929-01,,Molecular Basis for Biological Membrane Organization,"ROBERTSON, ANDREW",KEYSTONE SYMPOSIA,CO,"$5,000"
Aging,2008,NIA,5F32AG027641-03,,Enhancing Aged CD4+ T Cell Immunity to Influenza,"JONES, STEPHEN","TRUDEAU INSTITUTE, INC.",NY,"$24,853"
