Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Aging,2009,NHLBI,5R01HL079173-03,,Financial Incentives to Translate ALLHAT into Practice,"PETERSEN, LAURA",BAYLOR COLLEGE OF MEDICINE,TX,"$703,820"
Aging,2009,NEI,2U10EY014267-06,,African Descent And Glaucoma Evaluation Study (ADAGES),"SAMPLE, PAMELA",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$2,098,977"
Aging,2009,NCI,5R01CA068814-14,,Mechanisms of Metastasis in Experimental Prostate Cancer,"THOMPSON, TIMOTHY",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$296,750"
Aging,2009,NHLBI,5K08HL080082-04,,The Effects of Reactive Oxygen Species on Endothelial Progenitor Cells,"REHMAN, JALEES",UNIVERSITY OF CHICAGO,IL,"$133,045"
Aging,2009,NIGMS,5R01GM056766-08,,Computer Simulations of Protein Aggregation,"HALL, CAROL",NORTH CAROLINA STATE UNIVERSITY RALEIGH,NC,"$213,420"
Aging,2009,NIA,7K01AG023014-06,,Patterns and Predictors of Normal Cognitive Aging,"DODGE, HIROKO",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$119,113"
Aging,2009,NEI,1R21EY018149-01A1,,India US Genetic Study of Ocular Quantitative Traits,"WIGGS, JANEY",MASSACHUSETTS EYE AND EAR INFIRMARY,MA,"$188,942"
Aging,2009,NIA,5R37AG006168-22,,Cellular Aging in a Yeast Model System,"JAZWINSKI, S MICHAL",TULANE UNIVERSITY OF LOUISIANA,LA,"$361,698"
Aging,2009,NINDS,5R21NS056364-03,,Complement protection and anaphylatoxins in neuroinflammation,"MARTIN, BRIAN","IOWA CANCER RESEARCH FOUNDATION, INC.",IA,"$192,281"
Aging,2009,NEI,1U10EY017337-01A1,,Chinese American Eye Study,"VARMA, ROHIT",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$1,436,602"
Aging,2009,NIMH,5R01MH078052-02,,Health Promotion and Fitness for Younger and Older Adults With SMI,"BARTELS, STEPHEN",DARTMOUTH COLLEGE,NH,"$622,473"
Aging,2009,NHLBI,5F32HL087478-02,,The Role of Apoptosis in CryABR120G Heart Failure,"PATTISON, JAMES",CHILDREN'S HOSPITAL MED CTR (CINCINNATI),OH,"$17,491"
Aging,2009,NINR,5R01NR009092-04,,Effects & Costs of Massage in Hospice Cancer Patients,"WILKIE, DIANA",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$461,274"
Aging,2009,NHLBI,2R01HL076754-05,,KLF2 as a regulator of endothelial cell biology,"JAIN, MUKESH",CASE WESTERN RESERVE UNIVERSITY,OH,"$392,500"
Aging,2009,NHLBI,5U01HL077221-04,,Claudication: Exercise Vs. Endoluminal Revascularization,"MURPHY, TIMOTHY",RHODE ISLAND HOSPITAL,RI,"$1,289,286"
Aging,2009,NHLBI,5U01HL081656-05,,Claudication Exercise vs Endoluminal Revascularization,"CUTLIP, DONALD",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$269,090"
Aging,2009,NIA,5K23AG028957-03,,Improving Care at the End of Life for Latinos:A Cultural Navigator Intervention,"FISCHER, STACY",UNIVERSITY OF COLORADO DENVER,CO,"$105,699"
Aging,2009,NIGMS,5R01GM068596-05,,Molecular Motors in Transport and Signaling by APP,"MURESAN, VIRGIL",UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,NJ,"$258,854"
Aging,2009,NINDS,1R43NS062454-01,,Development of BATRAC Training Device in Subacute Stroke Population,"APPEL, KRISTEN","ENCORE PATH, INC.",MD,"$121,521"
Aging,2009,NCCAM,5R01AT003627-03,,MECHANISMS OF CHONDROPROTECTION BY POMEGRANATE FRUIT EXTRACT,"HAQQI, TARIQ",UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,SC,"$342,500"
Aging,2009,NIAID,4R37AI026296-19,,Cognate Activation of B-Lymphocytes,"NOELLE, RANDOLPH",DARTMOUTH COLLEGE,NH,"$399,750"
Aging,2009,NIA,8U01AG033931-03,,Development of Cdk5 Inhibitors,"KOSIK, KENNETH",UNIVERSITY OF CALIFORNIA SANTA BARBARA,CA,"$1,090,050"
Aging,2009,NHLBI,5F32HL090258-02,,The role of fatty acid binding proteins in macrophage response to lipotoxicity,"ERBAY, EBRU",HARVARD UNIVERSITY (SCH OF PUBLIC HLTH),MA,"$53,354"
Aging,2009,NICHD,1R01HD058502-01,,Biological Embedding of Early-Life SES,"MILLER, GREGORY",UNIVERSITY OF BRITISH COLUMBIA,CANADA,"$229,500"
Aging,2009,NCRR,1S10RR025082-01,,LTQ-FT MS System for On-line Protein and Glycan Analysis,"COSTELLO, CATHERINE",BOSTON UNIVERSITY MEDICAL CAMPUS,MA,"$1,252,927"
Aging,2009,NIAMS,5R01AR052861-05,,Spatiotemporal Progression of Meniscal Degradation,"LEVENSTON, MARC",STANFORD UNIVERSITY,CA,"$291,473"
