Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Brain Cancer,2010,NINDS,5K08NS059790-03,,Brain Enriched MicroRNA 128a and 9/9+: Impact on medulloblastoma pathogenesis,"VIBHAKAR, RAJEEV",UNIVERSITY OF COLORADO DENVER,CO,"$165,488"
Brain Cancer,2010,NCI,5R01CA114567-05,,Targeted therapy in ex vivo medulloblastoma/PNET,"OLSON, JAMES",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$223,417"
Brain Cancer,2010,NCI,5R01CA123451-03,,Tryptophan Metabolism in Human Brain Tumors,"JUHASZ, CSABA",WAYNE STATE UNIVERSITY,MI,"$301,015"
Brain Cancer,2010,NINDS,5R01NS055126-04,,The Fn14 Receptor and Brain Tumor Invasion,"WINKLES, JEFFREY",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$321,596"
Brain Cancer,2010,NCI,5R01CA118261-05,,Molecular Requirements for Recombinant Cytotoxins Efficacy,"DEBINSKI, WALDEMAR",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$243,842"
Brain Cancer,2010,NCI,5R01CA124759-03,,Occupational exposures and brain cancer,"CARDIS, ELISABETH",CENTRE/RES/ENVIRONMENTAL EPIDEMIOLOGY,SPAIN,"$348,510"
Brain Cancer,2010,NCI,5R01CA127383-03,,The Tumor Suppressive Role of CHD5,"MILLS, ALEA",COLD SPRING HARBOR LABORATORY,NY,"$348,600"
Brain Cancer,2010,NINDS,5R01NS031234-17,,Properties and Function of Glia Ion Channels,"SONTHEIMER, HARALD",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$314,016"
Brain Cancer,2010,NINDS,5R01NS032817-15,,Regulation and Function of Ascl1 (Mash1) in Neural Development,"JOHNSON, JANE",UNIVERSITY OF TEXAS SW MED CTR/DALLAS,TX,"$401,802"
Brain Cancer,2010,NINR,5R01NR011044-02,,Patient and Health Care System Outcomes Following EEA,"SHERWOOD, PAULA",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$543,317"
Brain Cancer,2010,NCI,5R01CA033895-28,,Glycoproteins in Neural Cells and Cancer,"FUKUDA, MINORU",SANFORD-BURNHAM MEDICAL RESEARCH INSTIT,CA,"$318,067"
Brain Cancer,2010,NCI,5R01CA136574-02,,Hedgehog Pathway Blockade by Small-Molecule Gli Antagonists,"CHEN, JAMES",STANFORD UNIVERSITY,CA,"$336,619"
Brain Cancer,2010,NCI,5R01CA097124-07,,REST/NRSF-mediated medulloblastoma tumorigenesis,"MAJUMDER, SADHAN",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$275,708"
Brain Cancer,2010,NCI,5R01CA129687-02,,Molecular mechanisms of TRAIL resistance in glioblastoma,"HAO, CHUNHAI",EMORY UNIVERSITY,GA,"$300,875"
