Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Breast Cancer,2014,NCI,5P01CA082834-15,8765,Subnuclear Targeting and Architectural Epigenetics in Cancer Cells,"STEIN, GARY",UNIV OF VERMONT STATE AGR COLL,,"$261,271"
Breast Cancer,2014,NCI,5P01CA082834-15,8766,Regulatory Mechanisms Controlling Breast Tissue Development and Transformation,"IMBALZANO, ANTHONY",UNIV OF VERMONT STATE AGR COLL,,"$251,350"
Breast Cancer,2014,NCI,5P01CA082834-15,8767,Runx2 Organizes Transcriptional Complexes in Nuclear Microenvironments to Support,"LIAN, JANE",UNIV OF VERMONT STATE AGR COLL,,"$199,046"
Breast Cancer,2014,NHLBI,5R01HL106043-03,,Multiethnic Study of Breast Arterial Calcium Gradation and CVD,"IRIBARREN, CARLOS",KAISER FOUNDATION RESEARCH INSTITUTE,CA,"$1,365,927"
Breast Cancer,2014,NCI,5U01CA136859-06,,Enhancing physical activity after breast cancer diagnosis: randomized trial,"ROGERS, LAURA",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$504,275"
Breast Cancer,2014,NCI,5R43CA159797-02,,Humanization of a mouse anti-OX40 monoclonal antibody to treat cancer,"TRIGLIA, DENNIS","AGONOX, INC.",OR,"$106,505"
Breast Cancer,2014,NCI,5R01CA082783-13,,PTEN Tumor Suppressor and Signal Transduction,"PARSONS, RAMON",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$246,415"
Breast Cancer,2014,NIA,5R01AG038453-03,,Chemoprevention of Prostate Cancer,"MCKINLAY, JOHN","NEW ENGLAND RESEARCH INSTITUTES, INC.",MA,"$193,323"
Breast Cancer,2014,NCI,1R01CA172046-01A1,,Role of SOD1 in cancer,"GERMAIN, DORIS",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$351,713"
Breast Cancer,2014,NEI,5F32EY022558-02,,Understanding and enhancing visual search performance in complex scenes,"VO, MELISSA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$56,978"
Breast Cancer,2014,NIEHS,5R01ES015252-08,,Homology-directed Chromosome Damage Repair via the BRCA2-PALB2 Axis,"SUNG, PATRICK",YALE UNIVERSITY,CT,"$404,806"
Breast Cancer,2014,NIEHS,5R21ES022291-02,,Transcriptional Signatures of Homologous Recombination Deficiency for Targeted Ch,"SOBOL, ROBERT",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$190,915"
Breast Cancer,2014,NCI,5R01CA026869-35,,Mechanisms of Progesterone Receptor Action,"HORWITZ, KATHRYN",UNIVERSITY OF COLORADO DENVER,CO,"$354,939"
Breast Cancer,2014,NCI,5R01CA087548-13,,Proeolytic Processing of Cyclin E in Breast Cancer,"KEYOMARSI, KHANDAN",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,"$277,922"
Breast Cancer,2014,NCI,5R01CA100225-09,,Self-renewal of Normal and Leukemic Stem Cells,"CLARKE, MICHAEL",STANFORD UNIVERSITY,CA,"$282,911"
