Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Breast Cancer,2008,NCI,5R13CA121807-02,,CSHL Conference on PTEN Pathways,"STEWART, DAVID",COLD SPRING HARBOR LABORATORY,NY,"$7,000"
Breast Cancer,2008,NCI,1R21CA120204-01A1,,Mammary Tumor Stem Cells,"PEASTON, ANNE",JACKSON LABORATORY,ME,"$234,900"
Breast Cancer,2008,NINR,1R01NR010939-01A2,,Altered Brain Function in Chemotherapy for Breast Cancer,"CIMPRICH, BERNADINE",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$369,428"
Breast Cancer,2008,NCI,5R01CA114039-04,,Use of Cystatin C to Combat TGF-Beta Tumorigenesis,"SCHIEMANN, WILLIAM",UNIVERSITY OF COLORADO DENVER,CO,"$255,871"
Breast Cancer,2008,NCI,5R01CA079892-09,,BRCA1 function in  G2-M checkpoint and mitosis,"OUCHI, TORU",EVANSTON NORTHWESTERN HEALTHCARE,IL,"$216,896"
Breast Cancer,2008,NCI,5K08CA106597-03,,Chromatin structure and BRCA1 Checkpoint Function,"GREENBERG, ROGER",UNIVERSITY OF PENNSYLVANIA,PA,"$135,677"
Breast Cancer,2008,NCI,5R13CA110775-04,,Workshop on the Nuclear Radiology of Breast Cancer,"LEVIN, CRAIG",STANFORD UNIVERSITY,CA,"$5,000"
Breast Cancer,2008,NIBIB,5R13CA110775-04,,Workshop on the Nuclear Radiology of Breast Cancer,"LEVIN, CRAIG",STANFORD UNIVERSITY,CA,"$3,000"
Breast Cancer,2008,NCI,4R37CA058976-16,,Molecular Analysis of the alpha6beta4 Integrin,"GIANCOTTI, FILIPPO",SLOAN-KETTERING INSTITUTE FOR CANCER RES,NY,"$410,916"
Breast Cancer,2008,NCI,4R37CA054281-16,,Multiethnic Cohort Study of Diet and Cancer,"KOLONEL, LAURENCE",UNIVERSITY OF HAWAII AT MANOA,HI,"$2,292,128"
Breast Cancer,2008,NCI,4R37CA017542-33,,Genetics of RNA Tumor Viruses,"MARTIN, G",UNIVERSITY OF CALIFORNIA BERKELEY,CA,"$508,803"
Breast Cancer,2008,NCI,5R01CA063640-12,,Breast Cancer Biology of Translational De-repression,"HAGEDORN, CURT",UNIVERSITY OF UTAH,UT,"$237,241"
Breast Cancer,2008,NCI,4R37CA046595-22,,Mitogenic and Oncogenic Regulation of ERK/RSK Signaling,"BLENIS, JOHN",HARVARD UNIVERSITY (MEDICAL SCHOOL),MA,"$683,560"
Breast Cancer,2008,NCI,5R01CA079736-08,,Role of Maspin in Breast Cancer Progression,"ZHANG, MING",NORTHWESTERN UNIVERSITY,IL,"$293,242"
Breast Cancer,2008,NCI,5R01MH063172-05,,Risk of Major Depression Among Breast Cancer Patients,"COYNE, JAMES",UNIVERSITY OF PENNSYLVANIA,PA,"$97,100"
Breast Cancer,2008,NIMH,5R01MH063172-05,,Risk of Major Depression Among Breast Cancer Patients,"COYNE, JAMES",UNIVERSITY OF PENNSYLVANIA,PA,"$503,206"
