Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Cancer Genomics,2017,NCI,5R00CA166815-05,,The Role of Long Non-coding RNAs in EMT and Cancer Stem Cells,"HERSCHKOWITZ, JASON",STATE UNIVERSITY OF NEW YORK AT ALBANY,NY,"$123,564"
Cancer Genomics,2017,NCI,1K22CA193848-01A1,,Structural variations and their impact in human cancer,"YANG, LIXING",UNIVERSITY OF CHICAGO,IL,"$169,344"
Cancer Genomics,2017,NCI,5R01CA183976-04,,CHARACTERIZATION OF RECURRENT ADJACENT GENE TRANSLOCATIONS IN BREAST CANCER,"WANG, XIAOSONG",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$322,663"
Cancer Genomics,2017,NIEHS,5R21ES023387-03,,"Environmental Arsenic Exposure, Microbiome, and Human Health","RELMAN, DAVID",STANFORD UNIVERSITY,CA,"$318,267"
Cancer Genomics,2017,NCI,5R01CA178535-05,,The contribution of rare alleles to ovarian cancer in the population,"GAYTHER, SIMON",CEDARS-SINAI MEDICAL CENTER,CA,"$549,009"
Cancer Genomics,2017,NCI,5U01CA194393-03,,Quantifying and Characterizing the shared genetic contribution to common cancers,"LINDSTROEM, SARA",UNIVERSITY OF WASHINGTON,WA,"$566,464"
Cancer Genomics,2017,NCI,5R01CA185137-04,,(PQB5)Molecular Wiring and Therapeutic Targeting of EGFR and PDGFR Signaling Netw,"CHAREST, ALAIN",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$882,372"
Cancer Genomics,2017,RMAP,5K01ES026832-02,,Multi-scale data integration frameworks to improve cancer outcomes,"ITAKURA, HARUKA",STANFORD UNIVERSITY,CA,"$188,952"
Cancer Genomics,2017,NCI,1K22CA207598-01,,The Role of Suv420h1 Histone Methyltransferase in MYC-Driven Tumorigenesis,"LI, YULIN",METHODIST HOSPITAL RESEARCH INSTITUTE,TX,"$188,379"
Cancer Genomics,2017,NIAID,5R01AI097320-05,,Pre-Clinical Development of Nuclease Mediated Gene Therapy for SCID,"PORTEUS, MATTHEW",STANFORD UNIVERSITY,CA,"$394,389"
Cancer Genomics,2017,NCI,5R00CA154880-06,,The role of AF10 in normal and leukemic hematopoiesis,"DESHPANDE, ANIRUDDHA",SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,CA,"$248,999"
Cancer Genomics,2017,NINR,5R01NR015259-03,,Synergizing genome sequencing with advances in patient reprted outcomes (PRO),"BEUTLER, ANDREAS",MAYO CLINIC ROCHESTER,MN,"$581,574"
