Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Cancer Genomics,2016,NIGMS,1P20GM109035-01A1,6003,Project 1: Incorporating Ethnic and Gender Disparities in Genomic Studies of Disease,"RAMACHANDRAN, SOHINI",BROWN UNIVERSITY,RI,"$279,489"
Cancer Genomics,2016,NIGMS,1P20GM109035-01A1,6004,Project 2: Integrative Genomics of Cancer Survival,"HUANG, YEN-TSUNG",BROWN UNIVERSITY,RI,"$268,746"
Cancer Genomics,2016,NCI,5R01CA160965-05,,5-hydroxymethylcytosine in human cancer,"PFEIFER, GERD",VAN ANDEL RESEARCH INSTITUTE,MI,"$394,250"
Cancer Genomics,2016,RMAP,4DP2OD008540-03,,Exploring how the genome folds through proximity ligation and sequencing,"LIEBERMAN-AIDEN, EREZ",BAYLOR COLLEGE OF MEDICINE,TX,"$515,125"
Cancer Genomics,2016,NCI,5F32CA180653-02,,Cancer Specific Sensitivity to Suppression of Spliceosome Components,"PAOLELLA, BRENTON",DANA-FARBER CANCER INST,MA,"$58,002"
Cancer Genomics,2016,NCI,5K08CA184420-03,,Sequence-based pathogen discovery in post-stem cell transplantation syndromes,"BHATT, AMI",STANFORD UNIVERSITY,CA,"$173,448"
Cancer Genomics,2016,NCI,5R01CA182461-03,,Defining the impact of clonal evolution on chronic lymphocytic leukemia,"WU, CATHERINE",DANA-FARBER CANCER INST,MA,"$362,378"
Cancer Genomics,2016,NCI,5R01CA179044-03,,Identification and modeling of driver genetic modules in glioblastoma,"IAVARONE, ANTONIO",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$465,208"
Cancer Genomics,2016,NCI,5R01CA163336-05,,Predicting Transcriptional and Epigenetic Networks in Cancer from Sequencing Data,"SONG, JUN",UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,IL,"$329,064"
Cancer Genomics,2016,NIAID,4R01AI097320-04,,Pre-Clinical Development of Nuclease Mediated Gene Therapy for SCID,"PORTEUS, MATTHEW",STANFORD UNIVERSITY,CA,"$393,000"
Cancer Genomics,2016,NIEHS,5R21ES024863-02,,Genome-wide detection of UV DNA damage by single molecule real time sequencing,"AGGARWAL, ANEEL",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$211,875"
Cancer Genomics,2016,NCI,4P30CA033572-33,7399,Bioinformatics,"FRIEDMAN, MICHAEL",BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,CA,"$212,181"
Cancer Genomics,2016,NCI,4P30CA033572-33,7400,Functional Genomics/Genomic Sequencing,"FRIEDMAN, MICHAEL",BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,CA,"$276,604"
Cancer Genomics,2016,NEI,5R01EY024906-02,,Transcriptional regulation of retinal mitochondrial function and cell cycle,"POCHE, ROSS",BAYLOR COLLEGE OF MEDICINE,TX,"$396,250"
Cancer Genomics,2016,NINR,4F31NR014590-03,,Cognitive Function and Breast Cancer: Genomics and Disease Characteristics,"KOLECK, THERESA",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$18,734"
Cancer Genomics,2016,NCI,4P30CA006516-51,6054,Gastrointestinal Malignancies,"FUCHS, CHARLES",DANA-FARBER CANCER INST,MA,"$93,190"
Cancer Genomics,2016,NCI,4P30CA006516-51,6060,Cancer Genetics,"DYSON, NICHOLAS",MASSACHUSETTS GENERAL HOSPITAL,MA,"$92,650"
