Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Cancer,2017,NCI,NIH-17-024,,HPV Vaccination,,,,"$677,839"
Cancer,2017,NCI,NIH-17-017,,IHS NARCH,,,,"$240,000"
Cancer,2017,NCI,NIH-17-031,,HPV Vaccination,,,,"$232,956"
Cancer,2017,NCI,NIH-17-023,,CDC CPCRN,,,,"$678,899"
Cancer,2017,NCI,NIH-17-026,,CDC DGHP,,,,"$160,753"
Cancer,2017,NCI,4F30CA180754-03,,"The role of Folliculin, tumor suppressor mutated in BHD, in mTOR nutrient sensing","TSUN, ZHI-YANG",HARVARD MEDICAL SCHOOL,MA,"$49,044"
Cancer,2017,NIAMS,5R21AR066938-02,,Human artificial chromosome as vectors for gene therapy of a model skin disease,"MONACO, ZOIA",TUFTS UNIVERSITY MEDFORD,MA,"$208,548"
Cancer,2017,NIGMS,4R01GM106177-04,,Statistical Methods for Selection and Evaluation of Biomarkers,"HUANG, YING",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$323,753"
Cancer,2017,NCI,5U01CA182364-04,,Translating gene-calcium interactions to precision medicine for colorectal cancer,"DAI, QI",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,"$635,116"
Cancer,2017,NCI,1K22CA201054-01,,Mechanisms of quiescence and pluripotency in disseminated tumor cells,"SOSA, MARIA",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$126,576"
Cancer,2017,NCI,5R00CA166815-05,,The Role of Long Non-coding RNAs in EMT and Cancer Stem Cells,"HERSCHKOWITZ, JASON",STATE UNIVERSITY OF NEW YORK AT ALBANY,NY,"$123,564"
Cancer,2017,NCI,5R01CA158768-06,,The Function of rpL5 and rpL11 in induction of p53,"THOMAS, GEORGE",FUNDACIO PRIVADA INT D'VEST BIOMEDICA,SPAIN,"$224,100"
Cancer,2017,NCI,5R13CA196188-02,,Workshop for Junior Biostatisticians in Health Research,"COULL, BRENT",HARVARD SCHOOL OF PUBLIC HEALTH,MA,"$15,000"
Cancer,2017,NCI,1K22CA193848-01A1,,Structural variations and their impact in human cancer,"YANG, LIXING",UNIVERSITY OF CHICAGO,IL,"$169,344"
Cancer,2017,NCI,5R01CA194013-03,,In vivo monitoring of tumor microenvironment regulation by macrophages,"KHRAMTSOV, VALERY",WEST VIRGINIA UNIVERSITY,WV,"$345,118"
Cancer,2017,NCI,5R01CA188575-03,,Prolactin pathways and metastatic progression of ER-positive breast cancer,"RUI, HALLGEIR",MEDICAL COLLEGE OF WISCONSIN,WI,"$349,586"
