Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Cardiovascular,2012,NHLBI,5U01HL080416-03,,PACEmaker & Beta-Blocker Therapy Post-Myocardial Infarct,"GOLDBERGER, JEFFREY",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$810,565"
Cardiovascular,2012,NHLBI,5K12HL083790-04,,Vascular Medicine at Northwestern University,"MCDERMOTT, MARY",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$305,029"
Cardiovascular,2012,NHLBI,5R33HL089017-03,,Electro Gene Transfer for Coronary Artery Disease,"HELLER, RICHARD",OLD DOMINION UNIVERSITY,VA,"$689,793"
Cardiovascular,2012,NHLBI,5R21HL093641-02,,Pilot Study of Hemofiltration after Out-of-Hospital Cardiac Arrest,"NICHOL, GRAHAM",UNIVERSITY OF WASHINGTON,WA,"$195,000"
Cardiovascular,2012,NHLBI,5U01HL087314-05,,Northeast Ohio Center for Cardiovascular Cell Therapy Research,"ELLIS, STEPHEN",THE CLEVELAND CLINC FOUNDATION,OH,"$438,909"
Cardiovascular,2012,NHLBI,5U01HL087403-05,,Cell Therapy for Improving Cardiac Function,"ZHAO, DAVID",VANDERBILT UNIVERSITY MED CTR,TN,"$537,240"
Cardiovascular,2012,NHLBI,5R01HL065577-09,,Bone Marrow and Cardiac Progenitor Cells in Cardiac Repair,"LERI, ANNAROSA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$371,250"
Cardiovascular,2012,NHLBI,5R01HL089115-07,,Improving Neurologic Outcomes in Diabetics Undergoing Cardiac Surgery,"KINCAID, EDWARD",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$715,500"
Cardiovascular,2012,NHLBI,5R01HL088036-04,,Regulation of the Renal Microcirculation by the Connecting Tubule,"CARRETERO, OSCAR",HENRY FORD HEALTH SYSTEM,MI,"$326,250"
Cardiovascular,2012,NHLBI,2R01HL069000-10,,Modulation of MG53 Function in Cardiac Membrane Repair,"MA, JIANJIE",UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,NJ,"$390,000"
Cardiovascular,2012,NIA,5R01AG030141-04,,Improving pain and function in hip fracture,"MORRISON, R.",MOUNT SINAI SCHOOL OF MEDICINE,NY,"$761,371"
Cardiovascular,2012,NHLBI,5R01HL080295-07,,CHS Events Follow-up Study,"PSATY, BRUCE",UNIVERSITY OF WASHINGTON,WA,"$1,268,677"
Cardiovascular,2012,NHLBI,5R01HL066432-09,,Superoxide and nitric oxide interactions in the kidney,"MAJID, DEWAN",TULANE UNIVERSITY OF LOUISIANA,LA,"$371,742"
Cardiovascular,2012,NHLBI,5R37HL074272-09,,Stem Cells in Cardiac Repair and Angiogenesis,"ASHRAF, MUHAMMAD",UNIVERSITY OF CINCINNATI,OH,"$606,194"
Cardiovascular,2012,NHLBI,5R01HL085157-05,,Survivin: a novel regulator of intimal hyperplasia and vein graft remodeling,"CONTE, MICHAEL",UNIV OF CALIFORNIA AT SAN FRANCISCO,CA,"$386,250"
Cardiovascular,2012,NHLBI,5R01HL081734-08,,Methylarginines and Vascular Injury,"CARDOUNEL, ARTURO",OHIO STATE UNIVERSITY,OH,"$381,250"
Cardiovascular,2012,NHLBI,5R01HL091069-04,,PRE-DETERMINE: Biologic Markers and MRI SCD Cohort Study,"ALBERT, CHRISTINE",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$1,666,649"
Cardiovascular,2012,NCCAM,5R21AT004509-03,,Melatonin and Nighttime Blood Pressure in African Americans,"CHAPMAN, ARLENE",EMORY UNIVERSITY,GA,"$187,976"
Cardiovascular,2012,NHLBI,5R01HL089311-04,,Cognitive Benefits of Cardiac Rehabilitation in Heart Failure,"GUNSTAD, JOHN",KENT STATE UNIVERSITY AT KENT,OH,"$658,430"
Cardiovascular,2012,NHLBI,5R01HL090521-03,,Effects of a Pulse Induced by a Constant-Flow Total Cardiac Replacement Device,"FRAZIER, O.",TEXAS HEART INSTITUTE,TX,"$806,818"
Cardiovascular,2012,NHLBI,5R01HL089116-04,,Prognostic Value of MRI and Biomarkers in Comatose Post-cardiac Arrest Patients,"WIJMAN, CHRISTINE",STANFORD UNIVERSITY,CA,"$495,368"
