Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Cardiovascular,2010,NHLBI,5K08HL085143-02,,Periostin in Myocardial Injury and Regeneration,"KUHN, BERNHARD",CHILDREN'S HOSPITAL BOSTON,MA,"$129,060"
Cardiovascular,2010,NHLBI,5R01HL081380-03,,Improving Dietary Behavior Through Tailored Messages,"FRIEDMAN, ROBERT",BOSTON MEDICAL CENTER,MA,"$577,165"
Cardiovascular,2010,NHLBI,1U24HL094373-01,,Preclinical Consortium to Facilitate Translation of Cardioprotective Therapies,"BOLLI, ROBERTO",UNIVERSITY OF LOUISVILLE,KY,"$771,600"
Cardiovascular,2010,NHLBI,5R01HL077428-04,,Autologous CD34+ Cell Therapy for Therapeutic Angiogenesis in Advanced PAD,"LOSORDO, DOUGLAS",NORTHWESTERN UNIVERSITY,IL,"$543,964"
Cardiovascular,2010,NHLBI,5U01HL071556-06,,CORAL: Clinical Coordinating Center,"COOPER, CHRISTOPHER",UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,OH,"$2,753,284"
Cardiovascular,2010,NHLBI,5U01HL072735-06,,CORAL Angiographic Core Laboratory,"MATSUMOTO, ALAN",UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,VA,"$121,668"
Cardiovascular,2010,NHLBI,5U01HL072734-06,,Coral: Central GFR and Biochemistry Laboratory,"STEFFES, MICHAEL",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$244,198"
Cardiovascular,2010,NHLBI,5U01HL065521-09,,Cardiovascular Evaluation for the SHS Phase V,"DEVEREUX, RICHARD",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$164,978"
Cardiovascular,2010,NHLBI,5U01HL072736-06,,CORAL: Economics and QOL Core Laboratory,"COHEN, DAVID",SAINT LUKE'S HOSPITAL,MO,"$440,741"
Cardiovascular,2010,NHLBI,5U01HL072737-06,,CORAL: Data Coordinating Center,"CUTLIP, DONALD",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$854,059"
Cardiovascular,2010,NHLBI,5R44HL072547-03,,Anti-fibrotic Coatings for Rapidly Exchangeable Bioprosthetic Heart Valve,"VESELY, IVAN","VALVEXCHANGE, INC.",CO,"$332,704"
Cardiovascular,2010,NHLBI,5U01HL041642-21,,Cardiovascular Disease in Pima Indians,"HOWARD, BARBARA",MEDSTAR RESEARCH INSTITUTE,MD,"$619,677"
Cardiovascular,2010,NHLBI,5U01HL041652-21,,Cardiovascular Disease in Sioux Indians,"BEST, LYLE","MISSOURI BREAKS RESEARCH, INC.",SD,"$313,229"
Cardiovascular,2010,NHLBI,5U01HL041654-21,,"The Strong Heart Study, Phase V","LEE, ELISA",UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OK,"$1,922,549"
Cardiovascular,2010,NHLBI,5U01HL088942-04,,Network for Cardiothoracic Surgical Investigations in Cardiovascular Medicine(U01,"GELIJNS, ANNETINE",MOUNT SINAI SCHOOL OF MEDICINE,NY,"$4,890,039"
Cardiovascular,2010,NINDS,5U01HL088942-04,,Network for Cardiothoracic Surgical Investigations in Cardiovascular Medicine(U01,"GELIJNS, ANNETINE",MOUNT SINAI SCHOOL OF MEDICINE,NY,"$384,160"
Cardiovascular,2010,NHLBI,5R01HL089658-04,,Compliant and strong small arteries engineered in vitro,"WANG, YADONG",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$366,446"
Cardiovascular,2010,NHLBI,5R01HL081153-03,,Young Women With Acute Myocardial Infarction,"KRUMHOLZ, HARLAN",YALE UNIVERSITY,CT,"$2,345,221"
Cardiovascular,2010,NHLBI,5R01HL090615-02,,Cerebral Blood Flow in Single Ventricle and Normal Children Utilizing MRI,"FOGEL, MARK",CHILDRENS HOSPITAL OF PHILADELPHIA,PA,"$606,455"
Cardiovascular,2010,NHLBI,5R01HL085704-04,,Responses of Myocardial Ischemia to Sertraline Treatment,"JIANG, WEI",DUKE UNIVERSITY,NC,"$587,118"
Cardiovascular,2010,NHLBI,1K01HL096418-01,,Enhancing Delivery of Cardiovascular Disease Preventive Care in Ethnic Minority W,"PEARTE, CAMILLE",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$137,460"
Cardiovascular,2010,NHLBI,5R01HL068673-07,,TGF-beta in intimal hyperplasia after vascular bypass,"KENT, K",UNIVERSITY OF WISCONSIN MADISON,WI,"$371,250"
Cardiovascular,2010,NHLBI,5R01HL081730-05,,Mechanisms of Varicose Vein Formation,"IAFRATI, MARK",TUFTS MEDICAL CENTER,MA,"$347,746"
Cardiovascular,2010,NHLBI,5R42HL079672-03,,Device for Noninvasive Detection of Coronary Artery Disease - Revised,"SEMMLOW, JOHN","SONOMEDICA, LLC",VA,"$376,437"
Cardiovascular,2010,NHLBI,5P01HL088052-03,,Neurohumoral adaptations to chronic intermittent hypoxia,"MIFFLIN, STEVEN",UNIVERSITY OF NORTH TEXAS HLTH SCI CTR,TX,"$1,855,720"
Cardiovascular,2010,NHLBI,5R44HL082022-03,,Pediatric Cardiac Monitor for Extracorporeal Life Support,"KRIVITSKI, NIKOLAI","TRANSONIC SYSTEMS, INC.",NY,"$375,035"
Cardiovascular,2010,NHLBI,5F32HL085980-02,,Nuclear alpha1-Adrenergic Receptor Signaling in Adult Mouse Cardiace Myocytes,"WRIGHT, CASEY",SANFORD RESEARCH/USD,SD,"$53,810"
Cardiovascular,2010,NHLBI,2R01HL064035-11,,Troponin Modulation in Heart Failure,"SOLARO, R",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$392,500"
Cardiovascular,2010,NHLBI,4R44HL092755-02,,Mobile Fetal Magentocardiography,"ZADRA, CRAIG","SHARED MEDICAL TECHNOLOGY, INC.",WI,"$2,570,433"
Cardiovascular,2010,NHLBI,2R24HL060808-10,,PDAY Cardiovascular Specimen and Data Library,"ZIESKE, ARTHUR",LOUISIANA STATE UNIV HSC NEW ORLEANS,LA,"$213,000"
Cardiovascular,2010,NHLBI,1U01HL096899-01,,ARIC Neurocognitive Study (ARIC-NCS),"CATELLIER, DIANE",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$698,844"
Cardiovascular,2010,NINDS,1U01HL096899-01,,ARIC Neurocognitive Study (ARIC-NCS),"CATELLIER, DIANE",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$344,207"
Cardiovascular,2010,NHLBI,1U01HL096902-01,,ARIC Neurocognitive Study (ARIC-NCS),"ALONSO, ALVARO",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$696,076"
Cardiovascular,2010,NINDS,1U01HL096902-01,,ARIC Neurocognitive Study (ARIC-NCS),"ALONSO, ALVARO",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$342,843"
Cardiovascular,2010,NEI,1U01HL096812-01,,1 of 5 ARIC Neurocognitive Study (ARIC-NCS),"CORESH, JOSEF",JOHNS HOPKINS UNIVERSITY,MD,"$100,000"
Cardiovascular,2010,NHLBI,1U01HL096812-01,,1 of 5 ARIC Neurocognitive Study (ARIC-NCS),"CORESH, JOSEF",JOHNS HOPKINS UNIVERSITY,MD,"$763,932"
Cardiovascular,2010,NINDS,1U01HL096812-01,,1 of 5 ARIC Neurocognitive Study (ARIC-NCS),"CORESH, JOSEF",JOHNS HOPKINS UNIVERSITY,MD,"$376,266"
Cardiovascular,2010,NHLBI,1U01HL096814-01,,ARIC Neurocognitive Study (ARIC-NCS),"HEISS, GERARDO",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$650,072"
Cardiovascular,2010,NINDS,1U01HL096814-01,,ARIC Neurocognitive Study (ARIC-NCS),"HEISS, GERARDO",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$320,245"
Cardiovascular,2010,NHLBI,1U01HL096917-01,,ARIC Neurocognitive Study,"MOSLEY, THOMAS",UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,MS,"$1,215,287"
Cardiovascular,2010,NINDS,1U01HL096917-01,,ARIC Neurocognitive Study,"MOSLEY, THOMAS",UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,MS,"$568,898"
Cardiovascular,2010,NIAID,5R01AI076248-03,,T. cruzi: pathogenesis modulation by eicosanoids,"TANOWITZ, HERBERT",ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NY,"$461,893"
Cardiovascular,2010,NICHD,5R01HD056360-02,,Women's physical activity and eating habits: Influence of work-family balance,"GRZYWACZ, JOSEPH",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$321,379"
Cardiovascular,2010,NHLBI,5R01HL085119-05,,Role of Cytokine-Induced Inflammation in Endothelial Dysfunction in Diabetes,"ZHANG, CUIHUA",UNIVERSITY OF MISSOURI-COLUMBIA,MO,"$322,437"
Cardiovascular,2010,NIA,2R01AG027847-05,,Role of the Follicle-Depleted Ovary in the Pathogenesis of Chronic Diseases,"APPT, SUSAN",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$581,448"
Cardiovascular,2010,NHLBI,2R01HL073646-06,,METHODS IN MOLECULAR IMAGING AND TARGETED THERAPEUTICS,"WICKLINE, SAMUEL",WASHINGTON UNIVERSITY,MO,"$1,402,759"
Cardiovascular,2010,NHLBI,5R01HL080409-05,,Salt Absorption by the THAL: Role of NKCC2 trafficking,"ORTIZ, PABLO",HENRY FORD HEALTH SYSTEM,MI,"$244,692"
Cardiovascular,2010,NHLBI,5R37HL036153-20,,Thin Filaments and Muscle Regulation,"LEHMAN, WILLIAM",BOSTON UNIVERSITY MEDICAL CAMPUS,MA,"$406,250"
Cardiovascular,2010,NHLBI,5R37HL048058-17,,Role of Enhancers Regulating Renin Gene Expression,"SIGMUND, CURT",UNIVERSITY OF IOWA,IA,"$358,056"
Cardiovascular,2010,NHLBI,5R01HL069321-08,,Physiological Genomics of Hypertensive Renal Disease,"JACOB, HOWARD",MEDICAL COLLEGE OF WISCONSIN,WI,"$378,750"
Cardiovascular,2010,NHLBI,5R01HL083422-05,,Dysfunction in Ankyrin-based Pathways and Human Arrythmia,"MOHLER, PETER",UNIVERSITY OF IOWA,IA,"$286,445"
Cardiovascular,2010,NHLBI,5R01HL090905-03,,T-tubule remodeling and Ca2+-dependent arrhythmogenesis in cardiomyopathies.,"SONG, LONG-SHENG",UNIVERSITY OF IOWA,IA,"$375,000"
Cardiovascular,2010,NHLBI,5R01HL087099-03,,Regulation of Calcium Channels by Calmodulin,"PEDERSEN, STEEN",BAYLOR COLLEGE OF MEDICINE,TX,"$383,750"
Cardiovascular,2010,NHLBI,5R01HL060728-11,,Angiotensin II Receptor Signaling Domains,"ALEXANDER, ROBERT",EMORY UNIVERSITY,GA,"$344,250"
Cardiovascular,2010,NIGMS,1K23GM087534-01A1,,Perioperative pharmacogenetics:  Nitrous oxide and anesthetic outcomes,"NAGELE, PETER",WASHINGTON UNIVERSITY,MO,"$113,740"
Cardiovascular,2010,NHLBI,5R01HL045637-17,,Regulation of ANP Receptor Activity in Vascular Cells,"GARDNER, DAVID",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$386,250"
Cardiovascular,2010,NIA,5F30AG030900-03,,Immunity and the pathogenesis of abdominal aortic aneurysms,"LILLVIS, JOHN",WAYNE STATE UNIVERSITY,MI,"$34,628"
Cardiovascular,2010,NIDCR,5R01DE018825-02,,Craniofacial and cardiac development in Xenopus: A genetic approach,"CONLON, FRANK",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$453,015"
Cardiovascular,2010,NIAID,5R01AI040459-13,,Post-Transplant Inflammatory Response,"FAIRCHILD, ROBERT",CLEVELAND CLINIC LERNER COL/MED-CWRU,OH,"$382,388"
