Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Cardiovascular,2008,NINDS,1R03NS048512-01A1,,A Murine Model for Inhibition of Farnesyltransferase,"ZIMMERMAN, GUY",UNIVERSITY OF UTAH,UT,"$74,750"
Cardiovascular,2008,NHLBI,5K25HL074968-05,,A Peptide Approach to Improve Vein Graft Efficacy,"PANITCH, ALYSSA",PURDUE UNIVERSITY WEST LAFAYETTE,IN,"$148,781"
Cardiovascular,2008,NHLBI,5R01HL080137-03,,Role of Progenitor Cells in Cardiovascular Medicine,"LOSORDO, DOUGLAS",NORTHWESTERN UNIVERSITY,IL,"$366,553"
Cardiovascular,2008,NHLBI,1R01HL087099-01,,Regulation of Calcium Channels by Calmodulin,"PEDERSEN, STEEN",BAYLOR COLLEGE OF MEDICINE,TX,"$383,750"
Cardiovascular,2008,NIBIB,1F31EB006692-01A1,,DEVELOPMENT OF NOVEL HYPERPOLARIZATION TECHNIQUES FOR MR STUDY OF HEART,"SCHROEDER, MARIE",UNIVERSITY OF OXFORD,UK,"$36,772"
Cardiovascular,2008,NHLBI,5R01HL080127-03,,RGS Regulation of Cardiac Signaling and Hypertrophy,"MENDE, ULRIKE","RHODE ISLAND HOSPITAL (PROVIDENCE, RI)",RI,"$364,125"
Cardiovascular,2008,NHLBI,5R01HL074239-05,,Oxidized Lipids in Cardiovascular Disease,"SANTANAM, NALINI",MARSHALL UNIVERSITY,WV,"$331,863"
Cardiovascular,2008,NHLBI,5K01HL076568-05,,Role of Id genes during cardiac development,"FRAIDENRAICH, DIEGO",UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,NJ,"$133,812"
Cardiovascular,2008,NHLBI,5K08HL074223-05,,Physiologic Genomics of Pulmonary Hypertension & RVH,"GHARIB, SINA",UNIVERSITY OF WASHINGTON,WA,"$129,060"
Cardiovascular,2008,NIDDK,5U01DK066013-03,,Live Unrelated Kidney Donor & Sibling Follow-up Study,"KASISKE, BERTRAM",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$429,448"
Cardiovascular,2008,NIA,5R01AG023073-06,,Impact of Aging on Stem Cell Repair in Atherosclerosis,"GOLDSCHMIDT-CLERMONT, PASCAL",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$387,396"
Cardiovascular,2008,NHLBI,4R37HL071544-06,,Mechanism of Staphylocoagulase-activated Blood Clotting,"BOCK, PAUL",VANDERBILT UNIVERSITY,TN,"$345,375"
Cardiovascular,2008,NHLBI,5F31HL074454-05,,Biocompatibility and Function in a Troponin-T Biosensor,"BOETTCHER, LISA",UNIVERSITY OF MISSOURI-COLUMBIA,MO,"$35,312"
Cardiovascular,2008,NHLBI,5R01HL081290-03,,"Arterial stiffness, blood pressure and cognition","ELIAS, MERRILL",UNIVERSITY OF MAINE ORONO,ME,"$673,251"
Cardiovascular,2008,NHLBI,5R01HL054730-12,,Epidemiology of Carotid Artery Atherosclerosis in Youth,"DAVIS, PATRICIA",UNIVERSITY OF IOWA,IA,"$641,651"
Cardiovascular,2008,NHLBI,5R01HL065455-08,,Oxidative Stress in Heart Failure: Mechanisms,"HARE, JOSHUA",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$326,412"
Cardiovascular,2008,NHLBI,5R01HL073824-05,,"Wounded Spirits, Ailing Hearts: PTSD and CVD in Indians","MANSON, SPERO",UNIVERSITY OF COLORADO DENVER,CO,"$595,937"
Cardiovascular,2008,NHLBI,5R01HL074103-05,,Behavioral Treatment of High Blood Pressure,"BLUMENTHAL, JAMES",DUKE UNIVERSITY,NC,"$709,886"
Cardiovascular,2008,NHLBI,2R01HL057502-09,,POSTTRANSCRIPTIONAL REGULATION OF ANGIOTENSIN RECEPTORS,"SANDBERG, KATHRYN",GEORGETOWN UNIVERSITY,DC,"$383,750"
Cardiovascular,2008,NHLBI,5R01HL079376-03,,Depression and Biobehavioral Processes in Heart Failure,"KOP, WILLEM",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$483,393"
Cardiovascular,2008,NHLBI,5R01HL082672-03,,Impact of Obesity and Sleep Disorders on Health,"KRYGER, MEIR","GAYLORD HOSPITAL, INC.",CT,"$164,784"
Cardiovascular,2008,NHLBI,5R01HL076754-04,,KLF2 as a regulator of endothelial cell biology,"JAIN, MUKESH",CASE WESTERN RESERVE UNIVERSITY,OH,"$377,173"
Cardiovascular,2008,NHLBI,5F32HL085989-02,,Genetic Epidemiology of Vascular Calcified Plaque,"LEHTINEN, ALLISON",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$21,495"
Cardiovascular,2008,NHLBI,5U01HL054473-13,,The Family Blood Pressure Program (Program Data Center),"RAO, DABEERU",WASHINGTON UNIVERSITY,MO,"$661,448"
Cardiovascular,2008,NHLBI,1R01HL089340-01,,T-wave alternans and emotion in daily life,"LAMPERT, RACHEL",YALE UNIVERSITY,CT,"$423,256"
Cardiovascular,2008,NINR,5F31NR009901-02,,Physical Activity Pre-/Post-Cardiac Resynchronization Therapy,"SHERRY, DAISY",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$34,865"
Cardiovascular,2008,NICHD,3U10HD053089-02S1,,Incidence & management of hypotension in ill term & near-term infants in the NRN,"WATTERBERG, KRISTI",UNIVERSITY OF NEW MEXICO,NM,"$37,632"
Cardiovascular,2008,NCCAM,1R21AT003195-01A2,,Statin-Berberine Combination Therapy in Hyperlipidemia,"LIU, JINGWEN","PALO ALTO INSTITUTE FOR RES & EDU, INC.",CA,"$210,000"
Cardiovascular,2008,NCCAM,1R21AT003833-01A1,,Cruciferous Indoles in the Amelioration of the Metabolic Syndrome,"THERIAULT, ANDRE",UNIVERSITY OF HAWAII AT MANOA,HI,"$196,080"
Cardiovascular,2008,NIDA,1R21DA020804-01A2,,Opioidergic System in Development of Heart Failure,"SCHULTZ, JO EL",UNIVERSITY OF CINCINNATI,OH,"$248,641"
Cardiovascular,2008,NCMHD,2P60MD000206-06,0003,Counseling older Americans to control hypertension (COACH),"OGEDEGBE, GBENGA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$969,469"
Cardiovascular,2008,NIDDK,2K24DK063214-06,,"Renal blood flow, vascular stiffness, and the DASH diet","CONLIN, PAUL",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$193,458"
Cardiovascular,2008,NHLBI,2R01HL061503-10,,Molecular Basis of Heart Failure,"MARKS, ANDREW",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$402,500"
Cardiovascular,2008,NIDCD,5R01DC007416-03,,KCNE1 Structure and Interaction with KCNQ1 Channel,"SANDERS, CHARLES",VANDERBILT UNIVERSITY,TN,"$312,612"
Cardiovascular,2008,NIBIB,5F31EB005553-02,,Novel Analysis of Mechanical Heart Valve Cavitation,"HERBERTSON, LUKE",PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,PA,"$32,012"
Cardiovascular,2008,NHLBI,2R01HL074259-06,,Role of the Molecular Circadian Clock within the Heart,"YOUNG, MARTIN",BAYLOR COLLEGE OF MEDICINE,TX,"$335,061"
Cardiovascular,2008,NIMH,5K23MH064600-05,,"Coronary heart disease & Anxiety: Prevalence, Relationship","CARMIN, CHERYL",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$152,360"
Cardiovascular,2008,NIDDK,5R01DK060764-05,,HNF-4 and coactivators in apoAl gene regulation,"MALIK, SOHAIL",ROCKEFELLER UNIVERSITY,NY,"$332,136"
Cardiovascular,2008,NIDDK,5R01DK049870-14,,NITRIC OXIDE SYNTHASE IN THE JUXTAGLOMERULAR APPARATUS,"WILCOX, CHRISTOPHER",GEORGETOWN UNIVERSITY,DC,"$338,906"
Cardiovascular,2008,NIDDK,5R01DK056601-08,,Heme Oxygenase Regulation of Eicosanoid Biosynthesis,"ABRAHAM, NADER",NEW YORK MEDICAL COLLEGE,NY,"$340,653"
Cardiovascular,2008,NIDDK,5R01DK052968-09,,The regulation and activation of STATs in adipocytes,"STEPHENS, JACQUELINE",LOUISIANA STATE UNIV A&M COL BATON ROUGE,LA,"$307,337"
Cardiovascular,2008,NHLBI,5K99HL088048-02,,Role of Oxidative Stress in Stem Cell Differentiation and Survival,"RODRIGUEZ-PORCEL, MARTIN","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$87,696"
Cardiovascular,2008,NHLBI,5K99HL087614-02,,"Myocardial Structure, Function, and Remodeling in Mitral Regurgitation","ENNIS, DANIEL",STANFORD UNIVERSITY,CA,"$79,629"
Cardiovascular,2008,NHLBI,5K99HL088514-02,,Molecular Pathogenesis of the Cardiomyogenic Defects in LEOPARD Syndrome,"KONTARIDIS, MARIA",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$88,020"
Cardiovascular,2008,NHLBI,5K99HL087927-02,,Paraventricular Nucleus Signaling Mechanisms in Hypertension,"NORTHCOTT, CARRIE",MICHIGAN STATE UNIVERSITY,MI,"$86,437"
Cardiovascular,2008,NHLBI,5K99HL087591-02,,Cell Biology of Cardiac Kv Channels,"O'CONNELL, KRISTEN",COLORADO STATE UNIVERSITY-FORT COLLINS,CO,"$81,519"
Cardiovascular,2008,NHLBI,5K99HL087462-02,,Influence of Troponin C on the Rate of Cardiac Muscle Relaxation,"TIKUNOVA, SVETLANA",OHIO STATE UNIVERSITY,OH,"$90,000"
