Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Cerebrovascular,2016,OD,4U01NS083448-02,,Improved standard of care reactivaters and facilitative transport into the centra,"MCDONOUGH, JOHN",U.S. ARMY MEDICAL RESEARCH INST CHEM DEF,MD,"$541,096"
Cerebrovascular,2016,NIDA,4R01DA029718-04,,Calcium-related Neurotoxicity of Cocaine,"DU, CONGWU",STATE UNIVERSITY NEW YORK STONY BROOK,NY,"$388,450"
Cerebrovascular,2016,NHLBI,4R01HL111724-04,,"Blood Pressure, Cerebral Perfusion & Cognitive Outcome In Hypertension.","GLODZIK, LIDIA",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$676,244"
Cerebrovascular,2016,NIGMS,1P20GM113125-01,5942,Interventions to improve cardiovascular health and fitness and walking function and activity after stroke,"REISMAN, DARCY",UNIVERSITY OF DELAWARE,DE,"$306,084"
Cerebrovascular,2016,NIGMS,1P20GM113125-01,5943,"Reduced Endothelial Function, Brain, and Cognition","SIMS, REGINA",UNIVERSITY OF DELAWARE,DE,"$296,337"
Cerebrovascular,2016,NHLBI,4R01HL114563-03,,Comparative Effectiveness of Carotid Artery Revascularization vs Medical Therapy,"KEYHANI, SALOMEH",NORTHERN CALIFORNIA INSTITUTE/RES/EDU,CA,"$723,843"
Cerebrovascular,2016,NIA,5R01AG042127-05,,Hypertension angiotensin receptor blockers and cognition: effects and mechanism,"HAJJAR, IHAB",EMORY UNIVERSITY,GA,"$598,521"
Cerebrovascular,2016,NIAAA,1U01AA023552-01A1,,Novel CB2 agonists shield brain from HIV infection and alcohol exposure,"PERSIDSKY, YURI",TEMPLE UNIV OF THE COMMONWEALTH,PA,"$351,000"
Cerebrovascular,2016,NINDS,5U01NS076474-02,,Translational Development of Glial Growth Factor 2 (GGF2) for the Treatment of St,"CAGGIANO, ANTHONY","ACORDA THERAPEUTICS, INC.",NY,"$889,977"
Cerebrovascular,2016,NINDS,5F32NS087783-02,,Analysis and manipulation of astrocyte heterogeneity after stroke,"GLEICHMAN, AMY",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$58,002"
Cerebrovascular,2016,NINDS,4F31NS086256-03,,Modeling HIV-1 induced disruption of blood brain barrier integrity in mice,"JONES, LETITIA",UNIVERSITY OF ROCHESTER,NY,"$12,660"
Cerebrovascular,2016,NHLBI,5R01HL094326-07,,Heg-CCM Signaling in Cardiovascular Development and Disease,"KAHN, MARK",UNIVERSITY OF PENNSYLVANIA,PA,"$400,000"
Cerebrovascular,2016,NHLBI,5R01HL122658-02,,Determinants of Midlife & Longitudinal Change in Cognitive Function: CARDIA Study,"SIDNEY, STEPHEN",KAISER FOUNDATION RESEARCH INSTITUTE,CA,"$757,169"
Cerebrovascular,2016,NINDS,4F31NS086431-03,,Molecular Mechanisms of Activity-dependent Cortical Circuits in Stroke Recovery,"NIE, ESTHER",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$23,803"
