Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Cervical Cancer,2017,NCI,NIH-17-031,,HPV Vaccination,,,,"$232,956"
Cervical Cancer,2017,NCI,NIH-17-024,,HPV Vaccination,,,,"$677,839"
Cervical Cancer,2017,NIAID,5R01AI072204-10,,"Cervical, Anal & Oral HPV Persistence/Adolescent Girls","DIAZ, ANGELA",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$762,612"
Cervical Cancer,2017,NIAID,5UM1AI069421-11,,GHESKIO HIV Clinical Trial Unit,"PAPE, JEAN",GHESKIO CENTER,HAITI,"$1,030,670"
Cervical Cancer,2017,NCI,5R01CA143130-07,,Understanding and Enhancing T-Cell Responses to High Risk Human Papillomaviruses,"NAKAGAWA, MAYUMI",UNIV OF ARKANSAS FOR MED SCIS,AR,"$721,274"
Cervical Cancer,2017,NIAID,5R01AI104709-05,,Epidemiologic Impact of HPV Vaccination,"KAHN, JESSICA",CINCINNATI CHILDRENS HOSP MED CTR,OH,"$646,404"
Cervical Cancer,2017,NCI,5R01CA059655-24,,Regulation of Human Papillomavirus Gene Expression,"LAIMINS, LAIMONIS",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$347,625"
Cervical Cancer,2017,NCI,5R35CA197262-02,,Molecular Biology of Oncogenic Papillomaviruses,"HOWLEY, PETER",HARVARD MEDICAL SCHOOL,MA,"$1,017,000"
Cervical Cancer,2017,NLM,5R00LM011575-04,,A Framework to Enhance Decision Support by Invoking NLP: Methods and Applications,"WAGHOLIKAR, KAVISHWAR",MASSACHUSETTS GENERAL HOSPITAL,MA,"$248,969"
Cervical Cancer,2017,NIAID,5R01AI118904-03,,ThThe Role of Epithelial-Stromal Communication in the Human Papillomavirus Type 16 Life Cycle,"BODILY, JASON",LOUISIANA STATE UNIV HSC SHREVEPORT,LA,"$362,500"
Cervical Cancer,2017,NCI,5R01CA118790-09,,Mechanisms of Papillomavirus Neutralization,"RODEN, RICHARD",JOHNS HOPKINS UNIVERSITY,MD,"$291,600"
Cervical Cancer,2017,NCI,5R01CA201500-02,,Novel Mechanisms of Cervical Cancer Development and Progression,"WANG, CHENG",UNIVERSITY OF NEBRASKA MEDICAL CENTER,NE,"$135,242"
Cervical Cancer,2017,NIGMS,1P20GM121288-01,6064,Project 2-Three-dimensional modeling of EBV-HPV interactions leading to anogenital cell dysplasia,"MCGOWIN, CHRIS",LSU HEALTH SCIENCES CENTER,LA,"$203,316"
Cervical Cancer,2017,NIAID,5K01AI106961-04,,A Practice-Provider-Parent-Adolescent intervention to increase HPV vaccination,"BEDNARCZYK, ROBERT",EMORY UNIVERSITY,GA,"$114,370"
Cervical Cancer,2017,NCI,5R01CA167421-04,,Novel Coherence Imaging to Evaluate the Health of the Cervical Epithelium,"WAX, ADAM",DUKE UNIVERSITY,NC,"$595,577"
Cervical Cancer,2017,NCI,5R21CA185921-02,,Epigenomic Signatures of Radiation Sensitivity in HPV-associated Cancers,"SHIBATA, DAVID",UNIVERSITY OF TENNESSEE HEALTH SCI CTR,TN,"$176,207"
Cervical Cancer,2017,NCI,1UH2CA211396-01,,Optimizing an assay for high risk HPV DNA in body fluids,"CALIFANO, JOSEPH",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$128,218"
Cervical Cancer,2017,NCI,1UG3CA211415-01,,Rapid Point of Care Detection of HPV-Associated Malignancies,"ANDERSON, KAREN",ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,AZ,"$375,888"
Cervical Cancer,2017,OD,1K01OD023219-01,,Mechanisms of Interferon Regulatory Factor Dysfunction by Cutaneous Papillomaviruses,"LUFF, JENNIFER",NORTH CAROLINA STATE UNIVERSITY RALEIGH,NC,"$129,330"
Cervical Cancer,2017,FIC,5D43TW009606-05,,Haiti Research Training Program in the Prevention of AIDS Cervical Cancer,"FITZGERALD, DANIEL",WEILL MEDICAL COLL OF CORNELL UNIV,NY,"$23,654"
Cervical Cancer,2017,NCI,5D43TW009606-05,,Haiti Research Training Program in the Prevention of AIDS Cervical Cancer,"FITZGERALD, DANIEL",WEILL MEDICAL COLL OF CORNELL UNIV,NY,"$250,000"
Cervical Cancer,2017,NCI,5R01CA037157-34,,Cell Transformation by Bovine Papillomavirus,"DIMAIO, DANIEL",YALE UNIVERSITY,CT,"$517,317"
Cervical Cancer,2017,NIAID,5R21AI121822-02,,Role of estrous cycle and contraceptives in anogenital papillomavirus infection,"CHRISTENSEN, NEIL",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,PA,"$193,375"
Cervical Cancer,2017,NIAID,1R15AI128714-01,,Longitudinal Study of Vaginal Microbiota and Persistent Human Papillomavirus Detection,"MADHIVANAN, PURNIMA",FLORIDA INTERNATIONAL UNIVERSITY,FL,"$439,500"
Cervical Cancer,2017,NCI,1R03CA212935-01,,AHCC for the Treatment of HPV Infections to Prevent Cancer,"SMITH, JUDITH",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,"$77,000"
Cervical Cancer,2017,NIBIB,5R01EB021150-02,,Digital LAMP as a point of care assay for HPV detection,"CHIU, DANIEL",UNIVERSITY OF WASHINGTON,WA,"$456,339"
Cervical Cancer,2017,NIAID,1R01AI123204-01A1,,Effectiveness of HPV Vaccine by Age at Immunization as Used in Clinical Practice,"NICCOLAI, LINDA",YALE UNIVERSITY,CT,"$436,173"
Cervical Cancer,2017,NCI,5R01CA163830-06,,Adapting patient navigation to promote cancer screening in Chicagos Chinatown,"SIMON, MELISSA",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$523,819"
Cervical Cancer,2017,NCI,1R01CA202261-01A1,,Improving HPV Vaccination Delivery in Pediatric Primary Care: The STOP-HPV Trial,"SZILAGYI, PETER",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$676,337"
Cervical Cancer,2017,NCI,5R01CA103867-13,,E2-Cellular Complexes in HPV Chromatin Transcription,"CHIANG, CHENG-MING",UT SOUTHWESTERN MEDICAL CENTER,TX,"$395,910"
Cervical Cancer,2017,NCI,5R01CA181047-04,,Sexual Health Empowerment for Cervical Health Literacy and Cancer Prevention,"RAMASWAMY, MEGHA",UNIVERSITY OF KANSAS MEDICAL CENTER,KS,"$313,325"
Cervical Cancer,2017,NCI,5R01CA066980-23,,Biological Activity of HPV E7 in Human Epithelial Cells,"MUNGER, KARL",TUFTS UNIVERSITY BOSTON,MA,"$371,250"
Cervical Cancer,2017,NCI,1R01CA214072-01,,Point of Care Diagnostics of HPV-Associated Cervical Cancer in HIV Epidemic Areas in China,"LIU, CHANGCHUN",UNIVERSITY OF PENNSYLVANIA,PA,"$159,997"
Cervical Cancer,2017,NCI,5R01CA196912-02,,Novel tumorigenic mechanisms of the LKB1 tumor suppressor,"CASTRILLON, DIEGO",UT SOUTHWESTERN MEDICAL CENTER,TX,"$370,575"
Cervical Cancer,2017,NCI,5R01CA188646-03,,Mechanism of Progesterone Receptor in Cervical Cancer,"CHUNG, SANG-HYUK",UNIVERSITY OF HOUSTON,TX,"$344,269"
