Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Cervical Cancer,2008,NCI,5R01CA081310-07,,Effect of Oxidant Load on HPV Persistence and CIN (SIL),"GIULIANO, ANNA",H. LEE MOFFITT CANCER CTR & RES INST,FL,"$459,600"
Cervical Cancer,2008,NCI,5R01CA120847-02,,Role of Estrogen in Cervical Cancer,"LAMBERT, PAUL",UNIVERSITY OF WISCONSIN MADISON,WI,"$276,442"
Cervical Cancer,2008,NCI,5R01CA081135-10,,Modulation of Host Cell Apoptotic Responses by HPVE7,"MUNGER, KARL",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$282,084"
Cervical Cancer,2008,NCI,5R01CA068782-22,,Antiviral Actions of Interferons,"SEN, GANES",CLEVELAND CLINIC LERNER COL/MED-CWRU,OH,"$428,839"
Cervical Cancer,2008,NIAID,5R43AI072800-02,,Rapid DNA Assay System for Characterization of Infectious Disease Pathogens,"WHITE, ROBERT","MAGARRAY, INC.",CA,"$296,693"
Cervical Cancer,2008,NCI,1K08CA131171-01,,Regulation of Telomerase by NFX1,"KATZENELLENBOGEN, RACHEL",CHILDREN'S HOSPITAL AND REG MEDICAL CTR,WA,"$134,379"
Cervical Cancer,2008,NCI,5R01CA107338-05,,Mechanisms of HPV DNA Segregation,"CHOW, LOUISE",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$348,630"
Cervical Cancer,2008,NCI,5R01CA116720-03,,Mechanistic Analysis of Papillimavirus E2 Functions,"HOWLEY, PETER",HARVARD UNIVERSITY (MEDICAL SCHOOL),MA,"$262,923"
Cervical Cancer,2008,NCI,1R21CA132121-01,,Novel Delivery Technology for Potential Drugs for Cervical Cancer,"TAUTZ, LUTZ",BURNHAM INSTITUTE FOR MEDICAL RESEARCH,CA,"$257,850"
Cervical Cancer,2008,NCI,5R01CA114425-04,,ENHANCING HPV-16 E6-SPECIFIC ANTITUMOR IMMUNITY,"WU, T.-C.",JOHNS HOPKINS UNIVERSITY,MD,"$307,116"
