Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Colo-Rectal Cancer,2009,NCI,2P01CA026731-30,7985,"Characterization of Mutagenesis, Mutational Spectra and Mechanisms of Toxicity","WOGAN, GERALD",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,"$359,886"
Colo-Rectal Cancer,2009,NCI,2P01CA026731-30,7986,In Vivo Role of Nitric Oxide in Muscosal Inflammation and Cancer,"SCHAUER, DAVID",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,"$310,426"
Colo-Rectal Cancer,2009,NIGMS,5R37GM032741-27,,INTRACHROMOSOMAL RECOMBINATION IN MAMMALIAN CELLS,"LISKAY, ROBERT",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$364,729"
Colo-Rectal Cancer,2009,NIDDK,5R01DK054909-10,,PKC ISOZYMES AND INTESTINAL EPITHELIAL GROWTH CONTROL,"BLACK, JENNIFER",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$271,512"
Colo-Rectal Cancer,2009,NCI,5R01CA112278-05,,Glycoside Inhibitors of Tumor Metastasis,"ESKO, JEFFREY",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$285,973"
Colo-Rectal Cancer,2009,NCI,5R01CA085700-08,,OXIDATIVE PHOSPHORYLATION IN CELL GROWTH AND DEATH,"MORAES, CARLOS",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$242,663"
Colo-Rectal Cancer,2009,NCI,5R01CA129383-02,,Chemoprevention of Colorectal Cancer by Aldose Reductase Inhibition,"SRIVASTAVA, SATISH",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$313,325"
Colo-Rectal Cancer,2009,NIDDK,5R01DK068366-04,,Cdx2 modulates beta-catenin activity in intestinal cells,"LYNCH, JOHN",UNIVERSITY OF PENNSYLVANIA,PA,"$276,518"
Colo-Rectal Cancer,2009,NCI,5R37CA043460-26,,Molecular Genetic Analysis of Colorectal Cancer,"VOGELSTEIN, BERT",JOHNS HOPKINS UNIVERSITY,MD,"$448,897"
Colo-Rectal Cancer,2009,NCI,5R01CA073674-11,,Antioxidants and Antiinflammatory in Colorectal Cancer,"KONG, AH-NG",RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK,NJ,"$276,945"
Colo-Rectal Cancer,2009,NIGMS,5R01GM050898-14,,Mitotic Response to DNA damage,"THEURKAUF, WILLIAM",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,"$514,328"
Colo-Rectal Cancer,2009,NCI,5R01CA084628-17,,"Telomerase in Development, Senescence and Neoplasia","DEPINHO, RONALD",DANA-FARBER CANCER INSTITUTE,MA,"$595,470"
Colo-Rectal Cancer,2009,NCI,5R01CA112438-04,,Breaking tolerance to mEGP self-antigen,"HERLYN, DOROTHEE",WISTAR INSTITUTE,PA,"$239,213"
Colo-Rectal Cancer,2009,NCI,5R01CA068124-14,,Biomarkers of UC Tumorigenesis,"BRENTNALL, TERESA",UNIVERSITY OF WASHINGTON,WA,"$360,128"
Colo-Rectal Cancer,2009,NCI,5R01CA132317-02,,Therapeutic Targeting of Wnt Signaling,"WU, DIANQING",YALE UNIVERSITY,CT,"$343,413"
Colo-Rectal Cancer,2009,NCI,5R01CA056586-18,,Cathepsins in Malignant Progression,"SLOANE, BONNIE",WAYNE STATE UNIVERSITY,MI,"$304,248"
Colo-Rectal Cancer,2009,NCI,5R21CA125327-03,,Nanoscale Functional Dendrimer-DNA Assemblies,"GRINSTAFF, MARK",BOSTON UNIVERSITY,MA,"$162,500"
Colo-Rectal Cancer,2009,NCI,5R21CA127834-02,,An Interactive Video Doctor to Encourage Cancer Screening,"WALSH, JUDITH",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$139,284"
Colo-Rectal Cancer,2009,NCI,5F31CA130144-02,,Targeted Near-Infrared Probes for Image-Guided Cancer Interventions,"REY, DIEGO",CORNELL UNIVERSITY ITHACA,NY,"$37,656"
Colo-Rectal Cancer,2009,NCI,5R01CA116576-03,,Tailored Navigation in CRC Screening,"MYERS, RONALD",THOMAS JEFFERSON UNIVERSITY,PA,"$528,237"
Colo-Rectal Cancer,2009,NCI,5R01CA069457-13,,EMT regulation in gastrointestinal epithelial cells,"BEAUCHAMP, ROBERT",VANDERBILT UNIVERSITY,TN,"$272,145"
Colo-Rectal Cancer,2009,NCI,5R21CA131626-02,,Colonoscopy in Rural Oregon Practice (CROP),"LIEBERMAN, DAVID",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$138,600"
Colo-Rectal Cancer,2009,NCI,5R01CA091576-10,,Regulation of Ras activity by the p38 pathway,"CHEN, GUAN",MEDICAL COLLEGE OF WISCONSIN,WI,"$223,970"
Colo-Rectal Cancer,2009,NCI,5R01CA112337-05,,Colon Cancer Inhibition by a Class of PPARgamma Agonists,"SAFE, STEPHEN",TEXAS A&M UNIVERSITY SYSTEM,TX,"$226,255"
Colo-Rectal Cancer,2009,NCI,5R01CA123756-02,,A Tumor Suppressor Function for the c-Fes Tyrosine Kinase in Colon Cancer,"SMITHGALL, THOMAS",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$259,997"
Colo-Rectal Cancer,2009,NCI,5R01CA115513-03,,TGF-beta signaling and colon cancer,"GRADY, WILLIAM",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$324,058"
Colo-Rectal Cancer,2009,NCI,5R21CA121066-02,,Colorectal Cancer Screening in Southwestern Hispanics and Native Americans,"RHYNE, ROBERT",UNIVERSITY OF NEW MEXICO,NM,"$141,750"
Colo-Rectal Cancer,2009,NCI,5K05CA131504-02,,Characterizing disease and treatment response in colon cancer chemoprevention,"BERTAGNOLLI, MONICA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$163,042"
Colo-Rectal Cancer,2009,NCI,5R01CA114264-04,,"Growth Factors, Curcumin and Colon Carcinogenesis","SINGH, POMILA",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$208,202"
Colo-Rectal Cancer,2009,NCI,5R01CA039742-25,,Epidemiology of Cancer in a Cohort of Older Women,"FOLSOM, AARON",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$525,317"
Colo-Rectal Cancer,2009,NCI,5R01CA098871-05,,The Role of NF-kappaB in Chemotherapy Resistance,"CUSACK, JAMES",MASSACHUSETTS GENERAL HOSPITAL,MA,"$340,162"
Colo-Rectal Cancer,2009,NIDDK,5R01DK052334-12,,Intestinal Growth Control,"BEAUCHAMP, ROBERT",VANDERBILT UNIVERSITY,TN,"$314,675"
Colo-Rectal Cancer,2009,NCI,5R01CA122334-03,,Molecular mechanisms of Myc-induced tumor neovascularization,"THOMAS-TIKHONENKO, ANDREI",UNIVERSITY OF PENNSYLVANIA,PA,"$299,250"
Colo-Rectal Cancer,2009,NCI,5R01CA076560-08,,Thymidylate Synthases: Modes of Catalysis and Inhibition,"LEBIODA, LUKASZ",UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,SC,"$163,827"
Colo-Rectal Cancer,2009,NCI,5R01CA123245-03,,Tailored Touchscreen Colorectal Cancer Prevention in Urban Core Clinics,"GREINER, K",UNIVERSITY OF KANSAS MEDICAL CENTER,KS,"$473,423"
Colo-Rectal Cancer,2009,NCI,1R21CA132669-01A1,,Promoting Health Literacy for Colorectal Cancer Screening,"VOLK, ROBERT",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$210,719"
Colo-Rectal Cancer,2009,NCI,5R01CA120381-03,,A Mediterranean Diet in for Colon Cancer Prevention,"DJURIC, ZORA",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$378,871"
Colo-Rectal Cancer,2009,NCI,5R01CA114569-04,,The role of glutathione peroxidase in the pathogenesis of intestinal cancer,"CHU, FONG-FONG",CITY OF HOPE/BECKMAN RESEARCH INSTITUTE,CA,"$262,148"
Colo-Rectal Cancer,2009,NCI,1R01CA131718-01A1,,NA-MIC virtual colonoscopy,"YOSHIDA, HIROYUKI",MASSACHUSETTS GENERAL HOSPITAL,MA,"$384,005"
Colo-Rectal Cancer,2009,NCI,1R01CA129420-01A2,,Refining Entertainment Education for Cancer Literacy in African American Women,"KENNEDY, MAY",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$303,837"
