Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Colo-Rectal Cancer,2016,NCI,NIH-16-027,,CDC,,,,"$183,486"
Colo-Rectal Cancer,2016,NIGMS,1P20GM113132-01,6072,Project 3:  Protein Design for Selective Interference with LPA Signaling in Colon Cancer,"GRIGORYAN, GEVORG",DARTMOUTH COLLEGE,NH,"$274,177"
Colo-Rectal Cancer,2016,NCI,1R35CA197707-01,,Molecular basis for dietary chemoprevention,"CHAPKIN, ROBERT",TEXAS A&M AGRILIFE RESEARCH,TX,"$886,177"
Colo-Rectal Cancer,2016,NIEHS,4R01ES020591-05,,Mechanisms of arsenic-induced chromosomal instability and carcinogenesis,"DAI, WEI",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$400,910"
Colo-Rectal Cancer,2016,NIAID,5R01AI033993-22,,Processed Antigen Characterization by Mass Spectrometry,"HUNT, DONALD",UNIVERSITY OF VIRGINIA,VA,"$624,957"
Colo-Rectal Cancer,2016,NCI,4R37CA043460-33,,Molecular Genetic Analysis of Colorectal Cancer,"VOGELSTEIN, BERT",JOHNS HOPKINS UNIVERSITY,MD,"$421,379"
Colo-Rectal Cancer,2016,NCI,4K08CA166510-04,,Combination Therapy to Improve MAPK Pathway Inhibitor Efficacy in BRAF and KRAS M,"CORCORAN, RYAN",MASSACHUSETTS GENERAL HOSPITAL,MA,"$179,280"
Colo-Rectal Cancer,2016,NCI,5R01CA182939-03,,High resolution phase contrast endoscopy,"MERTZ, JEROME",BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),MA,"$345,234"
Colo-Rectal Cancer,2016,NCI,5R21CA191550-03,,CRD-BP-mediated regulation of Wnt signaling in intestinal tumorigenesis,"SPIEGELMAN, VLADIMIR",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,PA,"$156,893"
Colo-Rectal Cancer,2016,NIEHS,4R01ES020900-04,,The Role of Aryl Hydrocarbon Receptor in Colon Tumorigenesis,"KENNEDY, GREGORY",UNIVERSITY OF WISCONSIN-MADISON,WI,"$334,989"
Colo-Rectal Cancer,2016,NCI,5R01CA135650-07,,Predictive Cancer Diagnostics and Therapy Response,"MOORE, ANNA",MASSACHUSETTS GENERAL HOSPITAL,MA,"$552,368"
Colo-Rectal Cancer,2016,NCI,4P30CA006516-51,6054,Gastrointestinal Malignancies,"FUCHS, CHARLES",DANA-FARBER CANCER INST,MA,"$93,190"
Colo-Rectal Cancer,2016,NCI,4P30CA006516-51,6064,Cancer Epidemiology,"HANKINSON, SUSAN",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$82,450"
Colo-Rectal Cancer,2016,NCI,5R01CA192111-02,,Fusobacterium nucleatum-mediated stimulation of colorectal cancer: mechanistic studies,"HAN, YIPING",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$420,608"
Colo-Rectal Cancer,2016,NCI,7R21CA186033-02,,The genetics of SF1 (splicing factor 1) in cancers,"MATIN, ANGABIN",TEXAS SOUTHERN UNIVERSITY,TX,"$166,388"
Colo-Rectal Cancer,2016,NCI,4R01CA112503-07,,New Bifunctional Ligands for Radioimmunotherapy,"CHONG, HYUN-SOON",ILLINOIS INSTITUTE OF TECHNOLOGY,IL,"$317,654"
Colo-Rectal Cancer,2016,NCI,4R01CA166879-04,,Regulation of intestinal inflammation and tumorigenesis by Nlrp6,"CHEN, GRACE",UNIVERSITY OF MICHIGAN,MI,"$322,663"
Colo-Rectal Cancer,2016,NCI,5R01CA133429-09,,The Role of PHLPP in Colon Cancer,"GAO, TIANYAN",UNIVERSITY OF KENTUCKY,KY,"$357,438"
Colo-Rectal Cancer,2016,NCI,5R21CA191744-02,,Identifying bacterial regulators of tumorigenesis,"CHEN, GRACE",UNIVERSITY OF MICHIGAN,MI,"$168,563"
Colo-Rectal Cancer,2016,NCI,4R01CA158209-05,,Targeting Mitotic Kinases Inhibitors for Cancer Therapy,"REDDY, E",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$351,713"
Colo-Rectal Cancer,2016,NIMHD,4R01MD006232-05,,Health Promotion for Positives: A Randomized Trial with HIV Positive Black Men,"JEMMOTT, JOHN",UNIVERSITY OF PENNSYLVANIA,PA,"$399,065"
Colo-Rectal Cancer,2016,NCI,4R01CA166011-04,,Developing new ornithine decarboxylase inhibitors to prevent skin & colon cancer,"DONG, ZIGANG",UNIVERSITY OF MINNESOTA,MN,"$316,438"
Colo-Rectal Cancer,2016,NCI,5R21CA191312-02,,Using Functional Data to Reveal Gene-Environment Interaction in Colorectal Cancer,"HSU, LI",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$191,400"
Colo-Rectal Cancer,2016,NCI,4R01CA158027-05,,PRE-VIEW An Interactive Video Doctor to Encourage Cancer Screening,"WALSH, JUDITH","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$414,889"
Colo-Rectal Cancer,2016,NCI,5R01CA175727-03,,The Role of SIRT6 and Metabolism in APC Mediated Tumorigenesis,"MOSTOSLAVSKY, RAUL",MASSACHUSETTS GENERAL HOSPITAL,MA,"$420,054"
Colo-Rectal Cancer,2016,NCCIH,5R01AT008623-02,,Impact of microbiota-mediated biotransformation of black tea polyphenols,"JOBIN, CHRISTIAN",UNIVERSITY OF FLORIDA,FL,"$415,510"
Colo-Rectal Cancer,2016,NCI,7R01CA167181-04,,Novel Mechanism of Genome Instability in Colorectal Cancer,"LI, GUO-MIN",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$342,375"
Colo-Rectal Cancer,2016,NCI,5R21CA191683-02,,CCR2 mediated inflammation and gut microbiota in promoting intestinal cancer,"JALA, VENKATAKRISHNA",UNIVERSITY OF LOUISVILLE,KY,"$163,125"
Colo-Rectal Cancer,2016,NCI,5R01CA183101-02,,Biophotonics to Couple Pancreatic with Upper GI Screening via Ultrathin Endoscopy,"BACKMAN, VADIM",NORTHWESTERN UNIVERSITY,IL,"$645,565"
Colo-Rectal Cancer,2016,RMAP,5UH3CA188640-04,,Strategies and Opportunities to Stop Colon Cancer in Priority Populations,"CORONADO, GLORIA",KAISER FOUNDATION RESEARCH INSTITUTE,CA,"$1,533,836"
Colo-Rectal Cancer,2016,NCI,5R21CA182941-02,,PDE Inhibition by Sulindac Sulfide Amide Derivatives for Lung Cancer Chemoprevention,"PIAZZA, GARY",UNIVERSITY OF SOUTH ALABAMA,AL,"$164,756"
Colo-Rectal Cancer,2016,NCI,5R01CA185322-02,,Epigenetics and Infection-induced EMT of Colonic Crypts - Target for Chemoprevention,"UMAR, SHAHID",UNIVERSITY OF KANSAS MEDICAL CENTER,KS,"$380,222"
Colo-Rectal Cancer,2016,NCI,2R01CA084197-17A1,,Mechanisms of Intestinal Tumorigenesis,"YANG, VINCENT",STATE UNIVERSITY NEW YORK STONY BROOK,NY,"$395,000"
Colo-Rectal Cancer,2016,NCI,2U01CA152756-06,,Biomarkers for Reducing Mortality of Cancers of the Colon and Esophagus,"MARKOWITZ, SANFORD",CASE WESTERN RESERVE UNIVERSITY,OH,"$617,094"
Colo-Rectal Cancer,2016,NIGMS,5R01GM110077-03,,Infrared laser spectroscopy of mass-separated metabolites,"POLFER, NICOLAS",UNIVERSITY OF FLORIDA,FL,"$224,932"
Colo-Rectal Cancer,2016,NCI,2U01CA152637-06,,"Breast, Colorectal, and Ovary Cancer Clinical Validation Center","LI, CHRISTOPHER",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$1,011,430"
Colo-Rectal Cancer,2016,NCI,2U01CA152753-06,,ctDNA for the Early Detection and Monitoring of Colorectal Cancer,"SCHOEN, ROBERT",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$577,982"
Colo-Rectal Cancer,2016,NCI,2U01CA086400-16,,Great Lakes New England Clinical Validation Center,"BRENNER, DEAN",UNIVERSITY OF MICHIGAN,MI,"$1,374,531"
