Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Colo-Rectal Cancer,2008,NCI,5R01CA104922-04,,Phenolic antioxidants as tumor radio/chemosensitizers,"KOUMENIS, CONSTANTINOS",UNIVERSITY OF PENNSYLVANIA,PA,"$261,121"
Colo-Rectal Cancer,2008,NCI,5R37CA055360-18,,MECHANISMS OF SIGNAL TRANSDUCTION BY RAS PROTEINS,"BAR-SAGI, DAFNA",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$470,319"
Colo-Rectal Cancer,2008,NCI,5K01CA118425-03,,Genetic and genomic analysis of Ras signaling in colorectal cancer progression,"HAIGIS, KEVIN",MASSACHUSETTS GENERAL HOSPITAL,MA,"$162,964"
Colo-Rectal Cancer,2008,NCI,5R01CA076560-07,,Thymidylate Synthases: Modes of Catalysis and Inhibition,"LEBIODA, LUKASZ",UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,SC,"$163,827"
Colo-Rectal Cancer,2008,NIDDK,5R01DK054909-09,,PKC ISOZYMES AND INTESTINAL EPITHELIAL GROWTH CONTROL,"BLACK, JENNIFER",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$268,069"
Colo-Rectal Cancer,2008,NIGMS,5R37GM032741-26,,INTRACHROMOSOMAL RECOMBINATION IN MAMMALIAN CELLS,"LISKAY, R",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$354,186"
Colo-Rectal Cancer,2008,NCI,5R01CA112438-03,,Breaking tolerance to mEGP self-antigen,"HERLYN, DOROTHEE",WISTAR INSTITUTE,PA,"$197,513"
Colo-Rectal Cancer,2008,NIGMS,5R01GM050898-13,,Mitotic Response to DNA damage,"THEURKAUF, WILLIAM",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,"$499,975"
Colo-Rectal Cancer,2008,NCI,5R01CA112337-04,,Colon Cancer Inhibition by a Class of PPARgamma Agonists,"SAFE, STEPHEN",TEXAS A&M UNIVERSITY SYSTEM,TX,"$226,255"
Colo-Rectal Cancer,2008,NCI,5R01CA120381-02,,A Mediterranean Diet in for Colon Cancer Prevention,"DJURIC, ZORA",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$367,050"
Colo-Rectal Cancer,2008,NCI,5R01CA084628-16,,"Telomerase in Development, Senescence and Neoplasia","DEPINHO, RONALD",DANA-FARBER CANCER INSTITUTE,MA,"$578,964"
Colo-Rectal Cancer,2008,NIGMS,5F32GM076898-03,,Mechanisms of Armadillo/Beta-catenin degradation,"ROBERTS, DAVID",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$50,428"
Colo-Rectal Cancer,2008,NCI,5R01CA078814-10,,New Triterpenoids for Cancer Chemoprevention & Therapy,"SPORN, MICHAEL",DARTMOUTH COLLEGE,NH,"$341,132"
Colo-Rectal Cancer,2008,NCI,5R01CA101988-05,,Dual Compartmental Targeting of Cancer,"GUSTAFSON, DANIEL",COLORADO STATE UNIVERSITY-FORT COLLINS,CO,"$224,150"
Colo-Rectal Cancer,2008,NCI,5R01CA115513-02,,TGF-beta signaling and colon cancer,"GRADY, WILLIAM",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$339,257"
Colo-Rectal Cancer,2008,NIDDK,5R37DK045370-11,,Prevention and Treatment of Impotence,"LUE, TOM",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$330,824"
Colo-Rectal Cancer,2008,NCI,5R01CA116576-02,,Tailored Navigation in CRC Screening,"MYERS, RONALD",THOMAS JEFFERSON UNIVERSITY,PA,"$530,038"
Colo-Rectal Cancer,2008,NCI,5R01CA098871-04,,The Role of NF-kappaB in Chemotherapy Resistance,"CUSACK, JAMES",MASSACHUSETTS GENERAL HOSPITAL,MA,"$340,162"
Colo-Rectal Cancer,2008,NCI,5R21CA121294-02,,An Untested Approach: Biomarkers for Colon Cancer,"MATTA, KHUSHI",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$145,505"
Colo-Rectal Cancer,2008,NCI,5R37CA043460-25,,Molecular Genetic Analysis of Colorectal Cancer,"VOGELSTEIN, BERT",JOHNS HOPKINS UNIVERSITY,MD,"$436,465"
Colo-Rectal Cancer,2008,NCI,5R01CA085700-07,,OXIDATIVE PHOSPHORYLATION IN CELL GROWTH AND DEATH,"MORAES, CARLOS",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$242,663"
Colo-Rectal Cancer,2008,NCI,5R01CA091576-09,,Regulation of Ras activity by the p38 pathway,"CHEN, GUAN",MEDICAL COLLEGE OF WISCONSIN,WI,"$223,970"
Colo-Rectal Cancer,2008,NCI,5R21CA116573-02,,Identifying Receipt of Colorectal Cancer Screening,"PETERSON, NEERAJA",VANDERBILT UNIVERSITY,TN,"$121,564"
Colo-Rectal Cancer,2008,NINDS,5R01NS021725-23,,Regulation of Neuronal Synaptic Components,"JACOB, MICHELE",TUFTS UNIVERSITY BOSTON,MA,"$358,502"
Colo-Rectal Cancer,2008,NCI,5R01CA118663-02,,Storytelling for Colorectal Health among Latinos,"LARKEY, LINDA",UNIVERSITY OF ARIZONA,AZ,"$515,557"
