Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Congenital Heart Disease,2017,NHLBI,NIH-17-009,,IHS NARCH,,,,"$474,689"
Congenital Heart Disease,2017,NIAMS,4R37AR042455-24,,Maternal Autoantibodies: Pathogenesis of Neonatal Lupus,"BUYON, JILL",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$366,120"
Congenital Heart Disease,2017,NHLBI,5R01HL127153-02,,A new paradigm of cardiovascular MRI for pediatric congenital heart disease,"HU, PENG",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$702,158"
Congenital Heart Disease,2017,NHLBI,5R01HL122352-03,,Intermolecular Interactions of NaV1.5 and Kir2.1 In Ion Channel Diseases,"JALIFE, JOSE",UNIVERSITY OF MICHIGAN,MI,"$474,589"
Congenital Heart Disease,2017,NHLBI,5R01HL121700-03,,Numb Family Proteins Regulate Trabecular Development,"WU, MINGFU",ALBANY MEDICAL COLLEGE,NY,"$395,000"
Congenital Heart Disease,2017,NIEHS,5R01ES024744-03,,Gene-Environment Interactions in the Fetal Origin of Adult Cardiac Disease,"PUGA, ALVARO",UNIVERSITY OF CINCINNATI,OH,"$479,078"
Congenital Heart Disease,2017,NHLBI,5R01HL119967-04,,Endocardial Pathways Regulated by Tbx20,"NOBREGA, MARCELO",UNIVERSITY OF CHICAGO,IL,"$529,033"
Congenital Heart Disease,2017,NICHD,5R21HD085691-02,,Imaging Chylo- and Lympho-thorax in Children with Congenital Heart Defects,"SEVICK-MURACA, EVA",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,"$192,500"
Congenital Heart Disease,2017,NHLBI,5K08HL121182-04,,Comparative Effectiveness of N-said Treatment Versus No Treatment for PDA in Pret,"SLAUGHTER, JONATHAN",RESEARCH INST NATIONWIDE CHILDREN'S HOSP,OH,"$153,652"
Congenital Heart Disease,2017,NHLBI,5R01HL071670-14,,Arrhythmia Mechanisms in Sarcomeric Cardiomyopathies,"KNOLLMANN, BJORN",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,"$395,000"
Congenital Heart Disease,2017,NIGMS,5R01GM109762-04,,Modulation of KCNQ1 channel activity,"LARSSON, HANS",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$329,175"
Congenital Heart Disease,2017,NHLBI,5K01HL125521-03,,Outcome and Right Ventricular Remodeling After Repair of Tetralogy of Fallot,"MERCER-ROSA, LAURA",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$164,808"
Congenital Heart Disease,2017,NHLBI,5R01HL130020-02,,Elucidating Genotype-Phenotype Relationship of Congenital Cardiomyopathies,"WU, JOSEPH",STANFORD UNIVERSITY,CA,"$395,000"
Congenital Heart Disease,2017,NICHD,5R01HD079951-03,,Preventive Approach to Congenital Heart Block with Hydroxychloroquine (PATCH),"BUYON, JILL",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$275,348"
Congenital Heart Disease,2017,NHLBI,5R01HL121754-04,,The Cardiac Atlas Project,"MCCULLOCH, ANDREW",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$461,722"
Congenital Heart Disease,2017,NHLBI,5U01HL131003-02,,Administrative Coordinating Center:  Cardiovascular Development and Pediatric Cardiac Genomics Consortia,"KING, EILEEN",CINCINNATI CHILDRENS HOSP MED CTR,OH,"$5,680,000"
Congenital Heart Disease,2017,NICHD,5U01HL131003-02,,Administrative Coordinating Center:  Cardiovascular Development and Pediatric Cardiac Genomics Consortia,"KING, EILEEN",CINCINNATI CHILDRENS HOSP MED CTR,OH,"$825,000"
Congenital Heart Disease,2017,NINDS,5P01NS082330-04,8052,Repair in High Risk Newborns with Congential Heart Disease,"MCQUILLEN, PATRICK","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$229,622"
Congenital Heart Disease,2017,NHLBI,5R01HL115294-04,,Chromatin Regulation of Heart Valve Development,"STANKUNAS, KRYN",UNIVERSITY OF OREGON,OR,"$362,500"
Congenital Heart Disease,2017,NHLBI,5R01HL120920-04,,Endocardial mechanisms of cardiac trabeculation and septation,"FIRULLI, ANTHONY",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$477,360"
Congenital Heart Disease,2017,NHLBI,5R01HL122421-02,,Mechanisms of Long QT Syndrome 1 in Heart,"COLECRAFT, HENRY",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$442,274"
Congenital Heart Disease,2017,NHLBI,5K08HL121191-02,,Role of delta-like ligand-4 signaling in cardiac outflow tract development,"SUBRAMANYAN, RAM KUMAR",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$168,588"
Congenital Heart Disease,2017,NHLBI,5R01HL122123-04,,Cellular and Molecular Mechanisms of Left Ventricular Growth and Morphogenesis,"FIRULLI, ANTHONY",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$390,000"
Congenital Heart Disease,2017,NHLBI,5K23HL116652-05,,Genetic Determinants and Progression of Mitral Valve Prolapse,"DELLING, FRANCESCA","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$144,396"
Congenital Heart Disease,2017,NHLBI,5F32HL129711-02,,The Role of the Myocardin-Related Transcription Factors in Cardiac Development and Function,"CARROLL, KELLI",UT SOUTHWESTERN MEDICAL CENTER,TX,"$57,066"
Congenital Heart Disease,2017,NHLBI,5K99HL127295-02,,Molecular and Cellular Mechanisms of Neonatal Cardiac Development and Repair,"SERPOOSHAN, VAHID",STANFORD UNIVERSITY,CA,"$135,514"
Congenital Heart Disease,2017,NHLBI,5K99HL130523-02,,Genetic Mechanisms of Congenital Heart Disease,"PRIEST, JAMES",STANFORD UNIVERSITY,CA,"$93,530"
Congenital Heart Disease,2017,NHLBI,5R01HL114770-05,,Functional consequences of FHC mutations in cardiac MyBPC,"STELZER, JULIAN",CASE WESTERN RESERVE UNIVERSITY,OH,"$396,250"
Congenital Heart Disease,2017,NHLBI,1P01HL134599-01,5461,Administrative Core A,"FIRULLI, ANTHONY",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$182,566"
Congenital Heart Disease,2017,NHLBI,1P01HL134599-01,5462,Scientific Core B Cardiac Imaging Core,"RUBART-VAN DER LOHE, MICHAEL",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$390,001"
Congenital Heart Disease,2017,NHLBI,1P01HL134599-01,5464,Left-right patterning abnormalities and cardiac morphogenesis,"WARE, STEPHANIE",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$440,716"
Congenital Heart Disease,2017,NHLBI,1P01HL134599-01,5465,Transcriptional regulation of cardiac morphogenesis,"FIRULLI, ANTHONY",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$494,387"
Congenital Heart Disease,2017,NHLBI,1P01HL134599-01,5466,The Molecular regulation of ventricular compaction,"SHOU, WEINIAN",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$468,154"
Congenital Heart Disease,2017,NHLBI,5R01HL125918-03,,Exercise in Genetic Cardiovascular Conditions,"LAMPERT, RACHEL",YALE UNIVERSITY,CT,"$749,253"
Congenital Heart Disease,2017,NIGMS,1P20GM121334-01,6842,"Prenatal Screening and Mechanisms Responsible for Critical Congenital Heart Disease in Mississippi, a Rural and Medically Underserved Population","PARNELL, AIMEE",UNIVERSITY OF MISSISSIPPI MED CTR,MS,"$306,710"
Congenital Heart Disease,2017,NHLBI,5R01HL124402-03,,New mechanisms of heterotaxy and congenital heart disease: nucleoporins at cilia,"KHOKHA, MUSTAFA",YALE UNIVERSITY,CT,"$794,337"
Congenital Heart Disease,2017,NHLBI,5R01HL127640-03,,Functional investigation of the TBX20 cardiac interactome,"CONLON, FRANK",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$610,247"
Congenital Heart Disease,2017,NHLBI,5R01HL130391-02,,The Role of Cardiomyocyte Polarity in Cardiac Morphogenesis,"DOMIAN, IBRAHIM",MASSACHUSETTS GENERAL HOSPITAL,MA,"$416,850"
Congenital Heart Disease,2017,NHLBI,5K08HL116639-04,,Explaining Variation in Mortality after Pediatric Cardiac Surgery,"GAIES, MICHAEL",UNIVERSITY OF MICHIGAN,MI,"$167,400"
Congenital Heart Disease,2017,NHLBI,5R01HL126527-03,,Genome Editing of Human iPSCs to Study Inherited Hypertrophic Cardiomyopathy,"WU, JOSEPH",STANFORD UNIVERSITY,CA,"$515,616"
Congenital Heart Disease,2017,NHLBI,1R01HL135077-01,,Evaluation of Fiberoptic Confocal Microscopy for Pediatric Cardiac Surgery,"KAZA, ADITYA",BOSTON CHILDREN'S HOSPITAL,MA,"$513,708"
Congenital Heart Disease,2017,NHLBI,1R01HL135031-01,,Role of Rbfox2 in hypoplastic left heart syndrome,"KUYUMCU-MARTINEZ, MUGE",UNIVERSITY OF TEXAS MED BR GALVESTON,TX,"$393,267"
Congenital Heart Disease,2017,NHLBI,1R01HL135061-01,,The Boston Circulatory Arrest Study - Antecedents and Correlates of Well-Being in Adults with Congenital Heart Disease,"GURVITZ, MICHELLE",BOSTON CHILDREN'S HOSPITAL,MA,"$752,279"
Congenital Heart Disease,2017,NIEHS,5R44ES023521-03,,Stem cell toxicology assays for cardiac differentiation,"MCDONOUGH, PATRICK","VALA SCIENCES, INC.",CA,"$738,406"
Congenital Heart Disease,2017,NICHD,5R01HD085902-02,,Reconstruction of cardiovascular regulatory networks from large-scale single-cell analyses of cardiovascular lineages,"YEO, EUGENE",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$632,755"
Congenital Heart Disease,2017,NHLBI,1K99HL135442-01,,SCN5A (Nav1.5): Predicting the Consequence of Missense Single- Nucleotide Polymorphisms.,"KRONCKE, BRETT",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,"$122,526"
Congenital Heart Disease,2017,NICHD,1R21HD090608-01,,Engineering Tissue Mimics to Investigate Congenital Heart Disease,"SCHMIDT, CHRISTINE",UNIVERSITY OF FLORIDA,FL,"$184,700"
Congenital Heart Disease,2017,NHLBI,5R01HL064658-14,,Regulation of cardiovascular transcription,"BLACK, BRIAN","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$384,660"
Congenital Heart Disease,2017,NHLBI,5R33HL120783-04,,Cardiac phenotyping of CHD candidate genes in Xenopus,"KHOKHA, MUSTAFA",YALE UNIVERSITY,CT,"$529,803"
Congenital Heart Disease,2017,NHLBI,5R01HL122261-04,,Understanding Quality and Costs in Congenital Heart Surgery,"PASQUALI, SARA",UNIVERSITY OF MICHIGAN,MI,"$549,579"
Congenital Heart Disease,2017,NHLBI,5R01HL112893-05,,Coup-tf dependent mechanisms of ventricular and hemangioblast specification,"WAXMAN, JOSHUA",CINCINNATI CHILDRENS HOSP MED CTR,OH,"$344,250"
Congenital Heart Disease,2017,NHLBI,5R01HL121797-03,,Molecular Mechanisms of Aortic Valve Formation,"GARG, VIDU",RESEARCH INST NATIONWIDE CHILDREN'S HOSP,OH,"$373,750"
Congenital Heart Disease,2017,NHLBI,1UG1HL135665-01,,Pediatric Heart Network Regents of the University of Michigan,"GOLDBERG, CAREN",UNIVERSITY OF MICHIGAN,MI,"$340,964"
Congenital Heart Disease,2017,NHLBI,1UG1HL135666-01,,Baylor/Texas Children's Hospital Pediatric Heart Network,"PENNY, DANIEL",BAYLOR COLLEGE OF MEDICINE,TX,"$348,697"
Congenital Heart Disease,2017,NHLBI,1UG1HL135682-01,,Pediatric Heart Network Emory University,"MAHLE, WILLIAM",EMORY UNIVERSITY,GA,"$324,009"
Congenital Heart Disease,2017,NHLBI,5R01HL094570-09,,Dynamic changes in the chick developing heart in response to altered hemodynamics,"RUGONYI, SANDRA",OREGON HEALTH & SCIENCE UNIVERSITY,OR,"$414,360"
Congenital Heart Disease,2017,NHLBI,5R01HL126928-03,,Myocardial Effects of PDE5 Inhibition in Single Ventricle Heart Disease,"MIYAMOTO, SHELLEY",UNIVERSITY OF COLORADO DENVER,CO,"$491,787"
Congenital Heart Disease,2017,NHLBI,5R01HL122576-04,,Regulatory Mechanisms of Endothelial Development and Regeneration,"GARRY, DANIEL",UNIVERSITY OF MINNESOTA,MN,"$380,000"
Congenital Heart Disease,2017,NHLBI,5R01HL107046-07,,Computation to animal: thin filament mutations and genetic cardiomyopathy,"TARDIFF, JIL",UNIVERSITY OF ARIZONA,AZ,"$475,048"
Congenital Heart Disease,2017,NHLBI,1R01HL132213-01A1,,Role of Cardiac Troponin in Health and Disease,"DAVIS, JONATHAN",OHIO STATE UNIVERSITY,OH,"$375,900"
Congenital Heart Disease,2017,NHLBI,1R01HL131438-01A1,,Mechanisms of second heart field development regulated by Nkx genes,"TARGOFF, KIMARA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$400,000"
Congenital Heart Disease,2017,NHLBI,5R01HL122392-05,,All Cause Mortality 1-30 Years After Interventions for Congenital Heart Diseases,"KOCHILAS, LAZAROS",EMORY UNIVERSITY,GA,"$233,520"
Congenital Heart Disease,2017,NHLBI,1R35HL135742-01,,Pediatric Heart Disease: Getting from Mutations to Therapeutics,"GELB, BRUCE",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$856,106"
Congenital Heart Disease,2017,NHLBI,5F31HL131087-02,,Understanding Molecular Basis of Cardiac Calcium Channelopathy,"SONG, LOUJIN",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$20,735"
Congenital Heart Disease,2017,NHLBI,5R01HL128044-03,,Pannexin channels in cardiac arrhythmias,"HUKE, SABINE",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$367,500"
Congenital Heart Disease,2017,NHLBI,5U01HL131914-02,,Channelopathies and Cardiomyopathies Among Sudden Deaths in the Young,"GEORGE, ALFRED",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$829,012"
Congenital Heart Disease,2017,NHLBI,5R01HL116585-05,,Antecedents of Impaired Brain Development in Fetuses with Heart Disease,"LIMPEROPOULOS, CATHERINE",CHILDREN'S RESEARCH INSTITUTE,DC,"$697,823"
Congenital Heart Disease,2017,NHLBI,5K23HL130420-02,,Outcomes in children undergoing cardiac catheterization,"O'BYRNE, MICHAEL",CHILDREN'S RESEARCH INSTITUTE,DC,"$41,040"
Congenital Heart Disease,2017,NHLBI,5R01HL128847-02,,Development of an Improved Vascular Graft for Use in Congenital Heart Surgery,"BREUER, CHRISTOPHER",RESEARCH INST NATIONWIDE CHILDREN'S HOSP,OH,"$708,751"
Congenital Heart Disease,2017,NHLBI,5R01HL055438-20,,"Ryanodine Receptors, Calcium-dependent Arrhythmias & HCM","VALDIVIA, HECTOR",UNIVERSITY OF MICHIGAN,MI,"$387,500"
Congenital Heart Disease,2017,NHLBI,5R01HL126729-03,,Targeting Nav1.5 trafficking as a therapy for lethal genetic cardiac arrhythmias,"WANG, QING",CLEVELAND CLINIC LERNER COM-CWRU,OH,"$396,248"
Congenital Heart Disease,2017,NHLBI,5R01HL068854-16,,Pathogenesis of hERG Mutations in Human Long QT Syndrome,"ZHOU, ZHENGFENG",OREGON HEALTH & SCIENCE UNIVERSITY,OR,"$385,000"
Congenital Heart Disease,2017,NHLBI,5R01HL128598-03,,Arrhythmia Mechanisms from Inherited and Acquired Caveolin3 Dysregulation of IK1,"ECKHARDT, LEE",UNIVERSITY OF WISCONSIN-MADISON,WI,"$382,500"
Congenital Heart Disease,2017,NHLBI,1K08HL130592-01A1,,Functional Characterization of Phosphodiesterase 1 in Single Ventricle Heart Disease,"NAKANO, STEPHANIE",UNIVERSITY OF COLORADO DENVER,CO,"$165,240"
Congenital Heart Disease,2017,NHLBI,1R35HL135778-01,,A Gata456 Pipeline of Discovery,"EVANS, TODD",WEILL MEDICAL COLL OF CORNELL UNIV,NY,"$810,723"
Congenital Heart Disease,2017,NIBIB,5R01EB017337-04,,Advanced Fetal Imaging,"GRANT, PATRICIA",BOSTON CHILDREN'S HOSPITAL,MA,"$1,242,801"
Congenital Heart Disease,2017,NHLBI,1R35HL135831-01,,Cardiovascular Development and Regeneration in Zebrafish,"BURNS, CAROLINE",MASSACHUSETTS GENERAL HOSPITAL,MA,"$427,500"
Congenital Heart Disease,2017,NICHD,1R21HD090671-01,,Patient Specific Tissue Engineered Vascular Graft Creation Using 3D Printing Technology,"HIBINO, NARUTOSHI",JOHNS HOPKINS UNIVERSITY,MD,"$251,469"
Congenital Heart Disease,2017,NICHD,1R21HD090680-01,,Elastic printable biomaterials for 3-D bioprinting of vascular conduit,"DAI, GUOHAO",NORTHEASTERN UNIVERSITY,MA,"$240,526"
Congenital Heart Disease,2017,NHLBI,5R01HL128743-02,,Calmodulin Regulation Na Channels:  From Function and Structure to Disease,"TOMASELLI, GORDON",JOHNS HOPKINS UNIVERSITY,MD,"$1,057,247"
Congenital Heart Disease,2017,NIDDK,5K23DK106462-02,,Effects of cardiac ICU practice variation on intestinal epithelial barrier function and microbiome diversity,"TYPPO, KATRI",UNIVERSITY OF ARIZONA,AZ,"$199,692"
Congenital Heart Disease,2017,NHLBI,5R01HL128818-03,,SVRIII: Brain Connectome and Neurodevelopment Outcomes,"PANIGRAHY, ASHOK",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$506,200"
Congenital Heart Disease,2017,NICHD,5R03HD083674-02,,A Novel Trio-based Bayesian Method to Identify Rare Variants for Birth Defects,"SWARTZ, MICHAEL",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,"$77,000"
Congenital Heart Disease,2017,NHLBI,5F31HL126403-03,,Bringing Advanced Heart MRI to Pediatric Clinics Using an Interactive Videogame,"HAMLET, SEAN",UNIVERSITY OF KENTUCKY,KY,"$31,836"
Congenital Heart Disease,2017,NHLBI,5R01HL128694-03,,Understanding mitochondrial regulation of cardiac development and function through studies of Barth Syndrome,"PU, WILLIAM",BOSTON CHILDREN'S HOSPITAL,MA,"$492,523"
Congenital Heart Disease,2017,NHLBI,5R01HL131921-02,,Development of a Pediatric Total Artificial Heart,"WEISS, WILLIAM",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,PA,"$697,279"
Congenital Heart Disease,2017,NHLBI,1R43HL135916-01,,iCardioTox Profiler - Developing a Novel In Vitro Assay to Assess Cardiotoxicity Using a Panel of Patient-derived Cardiomyocytes,"KIM, KEVIN","STEM CELL THERANOSTICS, INC",CA,"$149,981"
Congenital Heart Disease,2017,NHLBI,5R01HL118100-05,,Regulation of Cardiac Development by Chromatin Modifying Enzymes,"TRIVEDI, CHINMAY",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,"$418,750"
Congenital Heart Disease,2017,NHLBI,5R01HL132211-02,,Hippo Signaling in Heart Development and Repair,"XIN, MEI",CINCINNATI CHILDRENS HOSP MED CTR,OH,"$390,000"
Congenital Heart Disease,2017,NHLBI,1R13HL135924-01,,Molecular Mechanisms of Heart Development,"JARVIS, THALE",KEYSTONE SYMPOSIA,CO,"$13,200"
