Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Congenital Heart Disease,2016,NHLBI,5R42HL112435-04,,"ECG Device for LQTS Screening in Newborns, Phase II","CHANG, RUEY-KANG","QT MEDICAL, INC.",CA,"$917,171"
Congenital Heart Disease,2016,NHLBI,5R01HL120920-03,,Endocardial mechanisms of cardiac trabeculation and septation,"FIRULLI, ANTHONY",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$477,360"
Congenital Heart Disease,2016,NHLBI,5R01HL122123-03,,Cellular and Molecular Mechanisms of Left Ventricular Growth and Morphogenesis,"FIRULLI, ANTHONY",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$390,000"
Congenital Heart Disease,2016,NHLBI,5R01HL122352-02,,Intermolecular Interactions of NaV1.5 and Kir2.1 In Ion Channel Diseases,"JALIFE, JOSE",UNIVERSITY OF MICHIGAN,MI,"$474,589"
Congenital Heart Disease,2016,NHLBI,5R42HL114206-03,,Development of Novel Compounds for Treatment of Heart Arrhythmias in CPVT,"ABRAMSON, JONATHAN","ELEX BIOTECH, LLC",OR,"$749,998"
Congenital Heart Disease,2016,NHLBI,5R01HL121700-02,,Numb Family Proteins Regulate Trabecular Development,"WU, MINGFU",ALBANY MEDICAL COLLEGE,NY,"$395,000"
Congenital Heart Disease,2016,NIEHS,5R01ES024744-02,,Gene-Environment Interactions in the Fetal Origin of Adult Cardiac Disease,"PUGA, ALVARO",UNIVERSITY OF CINCINNATI,OH,"$479,078"
Congenital Heart Disease,2016,NHLBI,5R01HL071670-12,,Arrhythmia Mechanisms in Sarcomeric Cardiomyopathies,"KNOLLMANN, BJORN",VANDERBILT UNIVERSITY,TN,"$78,019"
Congenital Heart Disease,2016,NHLBI,5K08HL121182-03,,Comparative Effectiveness of N-said Treatment Versus No Treatment for PDA in Pret,"SLAUGHTER, JONATHAN",RESEARCH INST NATIONWIDE CHILDREN'S HOSP,OH,"$153,652"
Congenital Heart Disease,2016,NHLBI,7R01HL115294-03,,Chromatin Regulation of Heart Valve Development,"STANKUNAS, KRYN",UNIVERSITY OF OREGON,OR,"$362,500"
