Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
HPV and/or Cervical Cancer Vaccines,2013,NCI,1U43CA165048-01A1,,Aluminum Oxide Nanoparticles Conjugated to Antigens Potently Induce Tumor Specifi,"HILTON, TRACI","UBIVAC, LLC",OR,"$271,683"
HPV and/or Cervical Cancer Vaccines,2013,NCI,5R01CA098803-09,,Natural History of HPV Infection in Men: The HIM Study,"GIULIANO, ANNA",H. LEE MOFFITT CANCER CTR & RES INST,FL,"$1,783,975"
HPV and/or Cervical Cancer Vaccines,2013,NCI,1R21CA163160-01A1,,Disparities in HPV vaccine completion: Identifying and quantifying the barriers,"NICCOLAI, LINDA",YALE UNIVERSITY,CT,"$189,714"
HPV and/or Cervical Cancer Vaccines,2013,NICHD,5K23HD068394-02,,Social Network Influences on Values Related to Parental HPV Vaccine Refusal,"FU, LINDA",CHILDREN'S RESEARCH INSTITUTE,DC,"$124,906"
HPV and/or Cervical Cancer Vaccines,2013,NIAID,5R01AI038382-20,,HPV Capsid Antibodies,"GALLOWAY, DENISE",FRED HUTCHINSON CAN RES CTR,WA,"$370,608"
HPV and/or Cervical Cancer Vaccines,2013,NIMHD,5R44MD005198-04,,HPV Vaccine Education Intervention for Medically Underserved High-risk Population,"VALDEZ, ARMANDO",VALDEZ AND ASSOCIATES,CA,"$500,000"
HPV and/or Cervical Cancer Vaccines,2013,NIAID,5R21AI095590-02,,"Optimizing HPV Vaccination: Parents, Providers and Pre-teen Boys","CATES, JOAN",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$111,000"
HPV and/or Cervical Cancer Vaccines,2013,NCI,5R01CA142691-04,,Mechanisms of mucosal immune evasion in high grade cervical dysplasia,"TRIMBLE, CORNELIA",JOHNS HOPKINS UNIVERSITY,MD,"$250,684"
HPV and/or Cervical Cancer Vaccines,2013,NCI,5R01CA047622-20,,Papillomavirus Host Interation,"CHRISTENSEN, NEIL",PENNSYLVANIA STATE UNIVERSITY,PA,"$293,863"
HPV and/or Cervical Cancer Vaccines,2013,NCI,5R01CA136847-05,,Diindolylmethane enhances the efficacy of preventive vaccines in an HPV transgeni,"SEPKOVIC, DANIEL",HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,"$329,774"
HPV and/or Cervical Cancer Vaccines,2013,NIGMS,1R01GM105033-01,,Narratives in the Informational Patient Society and their Association with Health,"ROYCHOWDHURY, VWANI",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$400,483"
