Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
HPV and/or Cervical Cancer Vaccines,2008,NIAID,5R37AI038382-14,,HPV CAPSID ANTIBODIES,"GALLOWAY, DENISE",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$316,257"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5R21CA114978-02,,A Therapeutic Vaccine for HPV 16-Positive Head and Neck Cancer,"GILLISON, MAURA",JOHNS HOPKINS UNIVERSITY,MD,"$265,009"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5R01CA114425-04,,ENHANCING HPV-16 E6-SPECIFIC ANTITUMOR IMMUNITY,"WU, T.-C.",JOHNS HOPKINS UNIVERSITY,MD,"$307,116"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5R01CA112512-04,,Immunogenetics of Cervical and Vulvar Cancer,"SCHWARTZ, STEPHEN",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$607,277"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5R01CA105181-04,,Natural History of HPV Infections in Men,"KOUTSKY, LAURA",UNIVERSITY OF WASHINGTON,WA,"$652,646"
HPV and/or Cervical Cancer Vaccines,2008,NIAID,1R01AI073713-01A2,,Behavioral and Virologic Impact of HPV Immunization,"KAHN, JESSICA",CHILDREN'S HOSPITAL MED CTR (CINCINNATI),OH,"$537,672"
HPV and/or Cervical Cancer Vaccines,2008,NIAID,5R01AI038383-14,,Acquisition and Natural History of Genital HPV Infection,"KOUTSKY, LAURA",UNIVERSITY OF WASHINGTON,WA,"$630,644"
HPV and/or Cervical Cancer Vaccines,2008,NIAID,5R41AI068159-02,,Antiviral Compounds that Target HPV18 DNA,"FISHER, CHRISTOPHER","NANOVIR, LLC.",MI,"$498,425"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1R21CA128232-01A1,,Therapeutic HPV vaccination for stage IB1 cervical cancer,"TRIMBLE, CORNELIA",JOHNS HOPKINS UNIVERSITY,MD,"$294,156"
HPV and/or Cervical Cancer Vaccines,2008,NIAID,5R01AI072204-02,,"Cervical, Anal, and Oral HPV Persistence and Risk Factors Among Adolescent Girls","DIAZ, ANGELA",MOUNT SINAI SCHOOL OF MEDICINE OF NYU,NY,"$818,235"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5R01CA047622-17,,Papillomavirus Host Interaction,"CHRISTENSEN, NEIL",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,PA,"$303,123"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1R01CA133749-01,,A Phase I Study to Evaluate the Safety and Immunogenicity of HPV 16 L2 11-200,"HUH, WARNER",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$411,728"
HPV and/or Cervical Cancer Vaccines,2008,FIC,5R03TW007662-03,,Men & Women's Social-Cultural Factors Assoc w/Cervical Cancer Prevention in Panam,"GIULIANO, ANNA",H. LEE MOFFITT CANCER CTR & RES INST,FL,"$34,577"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5R01CA069632-10,,Cancer immunotherapy with a live recombinant vaccine,"PATERSON, YVONNE",UNIVERSITY OF PENNSYLVANIA,PA,"$326,923"
HPV and/or Cervical Cancer Vaccines,2008,NCI,3U01CA114604-04S1,,Formative Research on Latinos and Leaders on HPV Vaccine Acceptance and Promotion,"ESPINOZA, PAULA",UNIVERSITY OF COLORADO DENVER,CO,"$77,000"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5K07CA113773-03,,An interdisciplinary use of models for cancer prevention,"KULASINGAM, SHALINI",DUKE UNIVERSITY,NC,"$103,518"
HPV and/or Cervical Cancer Vaccines,2008,NCI,3U01CA114644-04S2,,"Communication Inequalities on HPV, Cervical Cancer, and the HPV Vaccine","KOH, HOWARD",HARVARD UNIVERSITY (SCH OF PUBLIC HLTH),MA,"$80,117"
HPV and/or Cervical Cancer Vaccines,2008,NCI,3U01CA114633-04S2,,Radionovela to address cervical cancer and the HPV vaccine for rural Hispanics,"THOMPSON, BETI",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$82,342"
HPV and/or Cervical Cancer Vaccines,2008,NCI,3U01CA114594-04S2,,African American Attitudes Toward HPV Vaccination,"COLDITZ, GRAHAM",WASHINGTON UNIVERSITY,MO,"$74,577"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5R01CA118790-02,,Mechanisms of Papillomavirus Neutralization,"RODEN, RICHARD",JOHNS HOPKINS UNIVERSITY,MD,"$280,440"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5K07CA120040-02,,Mass Spectroscopy-based HPV Detection in Cervical Cancer Screening,"PATEL, DIVYA",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$135,681"
HPV and/or Cervical Cancer Vaccines,2008,NCI,2U01CA078527-11,,Persistent HPV in Women at Risk for Cervix Cancer,"BURK, ROBERT",YESHIVA UNIVERSITY,NY,"$527,561"
HPV and/or Cervical Cancer Vaccines,2008,NIDCR,1R01DE019075-01,,Develop an Oral HIV Vaccine Using Papilloma Virus-Like Particles as a Vector,"QIAO, LIANG",LOYOLA UNIVERSITY CHICAGO,IL,"$372,384"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5R03CA130724-02,,Translating an Efficaious HPV Vaccine into the Control of Cervical Cancer,"BOND, SHARON",MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,"$76,155"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1R21CA134259-01,,Participatory Research to Understand the Translation of HPV Vaccine Policy,"SUSSMAN, ANDREW",UNIVERSITY OF NEW MEXICO,NM,"$77,500"
HPV and/or Cervical Cancer Vaccines,2008,OD,1R21CA134259-01,,Participatory Research to Understand the Translation of HPV Vaccine Policy,"SUSSMAN, ANDREW",UNIVERSITY OF NEW MEXICO,NM,"$125,000"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5R01CA125069-02,,Effects of Mindfulness-Based Stress Reduction (MBSR) on Immune Response to HPV,"FANG, CAROLYN",FOX CHASE CANCER CENTER,PA,"$581,315"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5R44CA089772-05,,A-007: Immune Modulation of HPV - Associated Neoplasia,"NGUYEN, BINH","TIGRIS PHARMACEUTICALS, INC.",FL,"$718,126"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5R01CA093435-05,,Clinical & Cost Effectiveness of HPV Vaccination in the US,"GOLDIE, SUE",HARVARD UNIVERSITY (SCH OF PUBLIC HLTH),MA,"$373,147"
HPV and/or Cervical Cancer Vaccines,2008,NIDCR,5F31DE019028-02,,Role of MicroRNAs in Human Papillomavirus-Associated Cancers,"GARDINER, AMY",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$35,930"
HPV and/or Cervical Cancer Vaccines,2008,NIAID,1R01AI076440-01A1,,Recommendation of HPV Vaccination among U.S. Physicians,"VADAPARAMPIL, SUSAN",H. LEE MOFFITT CANCER CTR & RES INST,FL,"$578,307"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1R03CA130747-01A1,,Decision-Making about Childhood HPV Vaccination among Low SES Mothers,"FLOYD, TIFFANY",CITY COLLEGE OF NEW YORK,NY,"$88,874"
HPV and/or Cervical Cancer Vaccines,2008,NIAID,2R44AI071618-02,,ApoVax104-HPV as a Novel Vaccine for Cervical Cancer,"MACLEOD, KATHRYN","APOIMMUNE, INC",KY,"$919,441"
HPV and/or Cervical Cancer Vaccines,2008,NCI,4R44CA128858-02,,Rapid Point-of-Care Assay for detecting High Risk Human Papillomavirus,"DOLINGER, DAVID","IQUUM, INC.",MA,"$749,896"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1K07CA133099-01A1,,Predictors of HPV16 Status and Outcomes of Oropharyngeal Cancer Patients,"LI, GUOJUN",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$136,080"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1R43CA136357-01A1,,Multivalent HPV Capsomere Vaccines,"LIVENGOOD, JILL","INVIRAGEN, LLC",CO,"$373,315"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1R03CA138069-01,,Using Message Framing to Promote HPV Vaccination,"GEREND, MARY",FLORIDA STATE UNIVERSITY,FL,"$72,560"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5P01CA077839-10,0006,COX-2:  A Target for the Prevention of Cervical Cancer,"DANNENBERG, ANDREW",VANDERBILT UNIVERSITY,TN,"$464,357"
HPV and/or Cervical Cancer Vaccines,2008,NIDCR,7R01DE018386-03,,Mechanisms of invasion for an HIV related head and neck cancer,"LEE, JOHN",SANFORD RESEARCH/USD,SD,"$410,435"
HPV and/or Cervical Cancer Vaccines,2008,NCI,5P50DE019032-07,0003,HPV VACCINE THERAPY AND CORRELATES OF RESPONSE IN HEAD AND NECK SQUAMOUS CELL,"PAI, SARA",JOHNS HOPKINS UNIVERSITY,MD,$150
HPV and/or Cervical Cancer Vaccines,2008,NIDCR,5P50DE019032-07,0003,HPV VACCINE THERAPY AND CORRELATES OF RESPONSE IN HEAD AND NECK SQUAMOUS CELL,"PAI, SARA",JOHNS HOPKINS UNIVERSITY,MD,"$352,507"
HPV and/or Cervical Cancer Vaccines,2008,NCI,3P50CA098252-05S1,,SPORE in Cervical Cancer,"WU, T.-C.",JOHNS HOPKINS UNIVERSITY,MD,"$1,165,045"
HPV and/or Cervical Cancer Vaccines,2008,NIAID,5U19AI062150-05,0002,Mucosally Targeted Plant Based STI Vaccine,"MASON, HUGH",ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,AZ,"$349,576"
HPV and/or Cervical Cancer Vaccines,2008,NCI,3R01CA069632-10S1,,Cancer immunotherapy with a live recombinant vaccine,"PATERSON, YVONNE",UNIVERSITY OF PENNSYLVANIA,PA,"$41,786"
HPV and/or Cervical Cancer Vaccines,2008,NCI,3R01CA105181-04S1,,Natural History of HPV Infections in Men,"KOUTSKY, LAURA",UNIVERSITY OF WASHINGTON,WA,"$30,475"
HPV and/or Cervical Cancer Vaccines,2008,NCRR,5M01RR016500-07,8179,CLINICAL TRIAL: MAGE-A3/HPV16 PEPTIDE IMMUNOTHERAPEUTIC VACCINES FOR SQUAMOUS CE,"STROME, SCOTT",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$11,581"
HPV and/or Cervical Cancer Vaccines,2008,NCRR,5M01RR000096-47,8557,CLINICAL TRIAL: PACTG P1047: QUADRIVALENT HUMAN PAPILLOMAVIRUS VACCINE IN HIV-IN,"BORKOWSKY, WILLIAM",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$15,927"
HPV and/or Cervical Cancer Vaccines,2008,NCRR,5P20RR011126-14,6705,DETECTION OF HPV INFECTION IN THE ANOGENITAL AREA,"ORTIZ, ANA",UNIVERSITY OF PUERTO RICO MED SCIENCES,PR,"$29,901"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1Z01BC009052-19,,Papillomavirus Virion Proteins and Vaccines,"SCHILLER, JOHN",NIH,,"$1,351,543"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1Z01BC010579-05,,Papillomavirus Virion Proteins and Vaccines,"LOWY, DOUGLAS",NIH,,"$764,819"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1Z01BC010756-03,,Development a combined prophylactic and therapeutic cervical cancer vaccine u,"KHLEIF, SAMIR",NIH,,"$290,219"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1Z01BC010907-01,,Papillomavirus Infectious Entry,"BUCK, CHRISTOPHER",NIH,,"$318,263"
HPV and/or Cervical Cancer Vaccines,2008,NCI,1Z01CP010177-08,,HPV Vaccine Trials,"HILDESHEIM, ALLAN",NIH,,"$499,554"
