Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Heart Disease - Coronary Heart Disease,2012,NHLBI,5U01HL080416-03,,PACEmaker & Beta-Blocker Therapy Post-Myocardial Infarct,"GOLDBERGER, JEFFREY",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$810,565"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5R33HL089017-03,,Electro Gene Transfer for Coronary Artery Disease,"HELLER, RICHARD",OLD DOMINION UNIVERSITY,VA,"$689,793"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5U01HL087314-05,,Northeast Ohio Center for Cardiovascular Cell Therapy Research,"ELLIS, STEPHEN",THE CLEVELAND CLINC FOUNDATION,OH,"$438,909"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5U01HL087403-05,,Cell Therapy for Improving Cardiac Function,"ZHAO, DAVID",VANDERBILT UNIVERSITY MED CTR,TN,"$537,240"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5R01HL065577-09,,Bone Marrow and Cardiac Progenitor Cells in Cardiac Repair,"LERI, ANNAROSA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$371,250"
Heart Disease - Coronary Heart Disease,2012,NHLBI,2R01HL069000-10,,Modulation of MG53 Function in Cardiac Membrane Repair,"MA, JIANJIE",UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,NJ,"$390,000"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5R37HL074272-09,,Stem Cells in Cardiac Repair and Angiogenesis,"ASHRAF, MUHAMMAD",UNIVERSITY OF CINCINNATI,OH,"$606,194"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5R01HL059619-09,,Neurobehavioral Correlates of Mental Stress Ischemia,"SOUFER, ROBERT",YALE UNIVERSITY,CT,"$623,146"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5U01HL092040-03,,ROMICAT II - CCC - Lead Application,"HOFFMANN, UDO",MASSACHUSETTS GENERAL HOSPITAL,MA,"$1,045,138"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5U01HL088957-05,,Cardiac surgery techniques to treat ventricular and aortic remodeling,"ACKER, MICHAEL",UNIVERSITY OF PENNSYLVANIA,PA,"$393,696"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5R01HL088726-04,,Mechanisms of Depression in CVD,"BREMNER, JAMES",EMORY UNIVERSITY,GA,"$636,326"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5R01HL070828-08,,"Calcium Signaling, Metabolism, and EC Coupling in Heart","GOLDHABER, JOSHUA",CEDARS-SINAI MEDICAL CENTER,CA,"$397,375"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5U01HL088955-05,,Cleveland Clinic Cardiothoracic Collaborative Clinical Center - C6,"BLACKSTONE, EUGENE",THE CLEVELAND CLINC FOUNDATION,OH,"$401,904"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5P01HL088117-04,,"Depression, Biobehavioral Mechanisms, & CHD/Mortality Outcomes","DAVIDSON, KARINA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$2,575,728"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5R01HL098077-02,,Multi-Scale Biology of Atherosclerosis in the Cellular Adhesion Pathway,"BIELINSKI, SUZETTE",MAYO CLINIC,MN,"$710,837"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5R01HL067459-08,,Depression & CHD: Cellular-Molecular Mechanisms,"SUAREZ, EDWARD",DUKE UNIVERSITY,NC,"$748,390"
Heart Disease - Coronary Heart Disease,2012,NHLBI,1U54HL117798-01,8054,Core M: POPULATION PHARMACOLOGY,"STROM, BRIAN",UNIVERSITY OF PENNSYLVANIA,PA,"$311,358"
Heart Disease - Coronary Heart Disease,2012,NHLBI,1U54HL117798-01,8055,Pilot Study: POPULATION PHARMACOLOGY,"PLENGE, ROBERT",UNIVERSITY OF PENNSYLVANIA,PA,"$311,358"
Heart Disease - Coronary Heart Disease,2012,NHLBI,5U01HL096610-02,,Late Sodium Current Blockade in High-Risk ICD Patients - DCC,"MOSS, ARTHUR",UNIVERSITY OF ROCHESTER,NY,"$752,744"
