Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Heart Disease - Coronary Heart Disease,2008,NINDS,1R03NS048512-01A1,,A Murine Model for Inhibition of Farnesyltransferase,"ZIMMERMAN, GUY",UNIVERSITY OF UTAH,UT,"$74,750"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5K25HL074968-05,,A Peptide Approach to Improve Vein Graft Efficacy,"PANITCH, ALYSSA",PURDUE UNIVERSITY WEST LAFAYETTE,IN,"$148,781"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL080137-03,,Role of Progenitor Cells in Cardiovascular Medicine,"LOSORDO, DOUGLAS",NORTHWESTERN UNIVERSITY,IL,"$366,553"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL065455-08,,Oxidative Stress in Heart Failure: Mechanisms,"HARE, JOSHUA",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$326,412"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5F32HL085989-02,,Genetic Epidemiology of Vascular Calcified Plaque,"LEHTINEN, ALLISON",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$21,495"
Heart Disease - Coronary Heart Disease,2008,NCCAM,1R21AT003195-01A2,,Statin-Berberine Combination Therapy in Hyperlipidemia,"LIU, JINGWEN","PALO ALTO INSTITUTE FOR RES & EDU, INC.",CA,"$210,000"
Heart Disease - Coronary Heart Disease,2008,NHLBI,2R01HL074259-06,,Role of the Molecular Circadian Clock within the Heart,"YOUNG, MARTIN",BAYLOR COLLEGE OF MEDICINE,TX,"$335,061"
Heart Disease - Coronary Heart Disease,2008,NIMH,5K23MH064600-05,,"Coronary heart disease & Anxiety: Prevalence, Relationship","CARMIN, CHERYL",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$152,360"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5K99HL088048-02,,Role of Oxidative Stress in Stem Cell Differentiation and Survival,"RODRIGUEZ-PORCEL, MARTIN","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$87,696"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5K99HL087607-02,,Testosterone in TNFR1 Signaling During Acute Myocardial Injury,"WANG, MEIJING",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$90,000"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5K99HL088528-02,,Mechanisms For PPARdelta Agonist-Induced Elevation of HDL in Non-Human Primates,"TEMEL, RYAN",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$85,709"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL032788-22,,MICROCIRCULATORY DYNAMICS IN THE CORONARY CIRCULATION,"CHILIAN, WILLIAM",NORTHEASTERN OHIO UNIVERSITIES COLL MED,OH,"$853,942"
Heart Disease - Coronary Heart Disease,2008,NIDDK,5R01DK070790-03,,Renal Osteodystrophy and Vascular Calcification,"HRUSKA, KEITH",WASHINGTON UNIVERSITY,MO,"$296,512"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL078926-04,,Sulfonylurea KATP channels in vascular spasm,"MCNALLY, ELIZABETH",UNIVERSITY OF CHICAGO,IL,"$356,715"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL083236-03,,Mobilized Stem Cells in Cardiomyogenesis & Angiogenesis,"XU, MEIFENG",UNIVERSITY OF CINCINNATI,OH,"$372,621"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL073890-04,,Estrogen dual effects on coronary arteries,"WHITE, RICHARD",MEDICAL COLLEGE OF GEORGIA (MCG),GA,"$324,293"
Heart Disease - Coronary Heart Disease,2008,FIC,5R03TW007713-02,,Role of CaMKII in the irreversible ischemia-reperfusion cardiac injury,"MATTIAZZI, ALICIA",CENTRO DE INVESTIGACIONES CARDVIOVASCULA,ARGENT,"$32,498"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R37HL049434-15,,CARDIAC ISCHEMIA AND HSPS,"DILLMANN, WOLFGANG",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$324,278"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL081817-02,,"Obesity, Metabolic Syndrome, Meal-Related Glycemia","HURWITZ, BARRY",UNIVERSITY OF MIAMI CORAL GABLES,FL,"$731,552"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL063373-07,,3D & 4D Coronary Hemodynamics and Local Atherosclerosis,"SONKA, MILAN",UNIVERSITY OF IOWA,IA,"$322,251"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL079091-04,,Role of PKCbeta in Diet-induced Hypercholesterolemia,"MEHTA, KAMAL",OHIO STATE UNIVERSITY,OH,"$283,506"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5F32HL082435-03,,Impact of Vitamin D on Heart Disease and Total Mortality,"CHAN, JACQUELINE",LOMA LINDA UNIVERSITY,CA,"$58,803"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL076560-04,,Strain induced myopathy in post infarction heart failure,"GORMAN, JOSEPH",UNIVERSITY OF PENNSYLVANIA,PA,"$375,716"
Heart Disease - Coronary Heart Disease,2008,NIEHS,1P50ES015915-01,0001,Project 1: Vascular Response to Diesel Exhaust in Humans,"KAUFMAN, JOEL",UNIVERSITY OF WASHINGTON,WA,"$287,035"
Heart Disease - Coronary Heart Disease,2008,NIEHS,1P50ES015915-01,0003,"Project 3: Diesel Exhaust, Vascular Response & Systemic Inflammation","VAN EEDEN, STEPHAN",UNIVERSITY OF WASHINGTON,WA,"$312,236"
Heart Disease - Coronary Heart Disease,2008,NIEHS,1P50ES015915-01,0004,Project 4: Myocardial Inury and Apoptosis with DE Exposure,"CHIN, MICHAEL",UNIVERSITY OF WASHINGTON,WA,"$316,801"
Heart Disease - Coronary Heart Disease,2008,NHGRI,2R44HG002991-02A2,,System for genetic marker information delivery,"REESE, MARTIN","OMICIA, INC.",CA,"$506,657"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL038324-19,,Measurement of free radical generation in the heart,"ZWEIER, JAY",OHIO STATE UNIVERSITY,OH,"$552,071"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL044513-20,,Biological Activity of Oxidized Phospholipids,"MCINTYRE, THOMAS",CLEVELAND CLINIC LERNER COL/MED-CWRU,OH,"$326,412"
Heart Disease - Coronary Heart Disease,2008,NHLBI,5R01HL060849-08,,Mechanism of Myocardial Reperfusion Injury in Diabetes,"LEFER, DAVID",YESHIVA UNIVERSITY,NY,"$236,097"
