Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Heart Disease,2009,NHLBI,1K08HL085143-01,,Periostin in Myocardial Injury and Regeneration,"KUHN, BERNHARD",CHILDREN'S HOSPITAL BOSTON,MA,"$129,060"
Heart Disease,2009,NHLBI,5R01HL079173-03,,Financial Incentives to Translate ALLHAT into Practice,"PETERSEN, LAURA",BAYLOR COLLEGE OF MEDICINE,TX,"$703,820"
Heart Disease,2009,FIC,5R03TW007344-03,,Cardiac Energy Metabolism in Heart Failure,"STANLEY, WILLIAM",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$32,158"
Heart Disease,2009,NHLBI,5R01HL088255-03,,The Mechanistic Basis of Cyclin A2-Mediated Cardiac Repair,"CHAUDHRY, HINA",MOUNT SINAI SCHOOL OF MEDICINE OF NYU,NY,"$492,253"
Heart Disease,2009,NHLBI,5F32HL087478-02,,The Role of Apoptosis in CryABR120G Heart Failure,"PATTISON, JAMES",CHILDREN'S HOSPITAL MED CTR (CINCINNATI),OH,"$17,491"
Heart Disease,2009,NHLBI,5U01HL077221-04,,Claudication: Exercise Vs. Endoluminal Revascularization,"MURPHY, TIMOTHY",RHODE ISLAND HOSPITAL,RI,"$1,289,286"
Heart Disease,2009,NHLBI,5U01HL081656-05,,Claudication Exercise vs Endoluminal Revascularization,"CUTLIP, DONALD",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$269,090"
Heart Disease,2009,NHLBI,1R43HL091655-01A1,,Cardiac Cryoablation Catheter,"YARON, RAN","ADVANCED REFRIGERATION TECHNOLOGIES, INC",CO,"$150,000"
Heart Disease,2009,NHLBI,5F32HL087628-02,,Identification of MicroRNAs in the Mammalian Cardiac Conduction System,"VEDANTHAM, VASANTH",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$57,194"
Heart Disease,2009,NHLBI,5F32HL090260-02,,Targeting gap junctions and cardiac fibrosis in ventricular arrhythmias,"NGUYEN, DUY",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$57,194"
Heart Disease,2009,NHLBI,5R01HL090997-02,,Genetic Markers of GIK Effect in Acute Coronary Syndrome in the IMMEDIATE Trial,"PETER, INGA",TUFTS MEDICAL CENTER,MA,"$375,186"
Heart Disease,2009,NHLBI,1R01HL086580-01A2,,Patient and Intimate Partner Intervention to Improve Health Outcomes After an ICD,"DOUGHERTY, CYNTHIA",UNIVERSITY OF WASHINGTON,WA,"$778,506"
Heart Disease,2009,NHLBI,5R01HL037942-22,,Purification & Characterization of Adenosine Receptors,"LINDEN, JOEL",UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,VA,"$365,618"
Heart Disease,2009,NHLBI,5R01HL034708-22,,ANESTHETICS AND CARDIAC SIGNAL TRANSDUCTION,"BOSNJAK, ZELJKO",MEDICAL COLLEGE OF WISCONSIN,WI,"$287,299"
Heart Disease,2009,NIDCD,5R01DC007416-04,,KCNE1 Structure and Interaction with KCNQ1 Channel,"SANDERS, CHARLES",VANDERBILT UNIVERSITY,TN,"$312,612"
Heart Disease,2009,NHLBI,5R01HL049932-16,,Regulation of the Cardiac Na/Ca Exchanger,"REEVES, JOHN",UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,NJ,"$377,476"
Heart Disease,2009,NHLBI,5R01HL080017-04,,ANP Modulates Cardiac Remodeling via Cardiac Fibroblasts,"CHEN, YIU-FAI",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$353,201"
Heart Disease,2009,NHLBI,5R01HL055236-13,,Modulation of cardiac K+ channels by drugs,"SANGUINETTI, MICHAEL",UNIVERSITY OF UTAH,UT,"$362,911"
Heart Disease,2009,NHLBI,5R01HL028429-27,,Computer Assisted Mapping of Ventricular Fibrillation,"IDEKER, RAYMOND",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$353,201"
Heart Disease,2009,NHLBI,5R01HL075495-04,,Identification of Disease Genes for Atrial Fibrillation,"OLSON, TIMOTHY","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$284,983"
Heart Disease,2009,NHLBI,5R01HL078926-05,,Sulfonylurea KATP channels in vascular spasm,"MCNALLY, ELIZABETH",UNIVERSITY OF CHICAGO,IL,"$356,715"
Heart Disease,2009,NHLBI,5R01HL079275-05,,K+ channel trafficking and modulation in MinK and MiRP1,"ABBOTT, GEOFFREY",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$395,012"
Heart Disease,2009,NHLBI,5R01HL077480-04,,Novel Approaches for Burn Injury Cardiac Dysfunction,"YATANI, ATSUKO",UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,NJ,"$377,476"
Heart Disease,2009,NHLBI,5R01HL076334-05,,Structure and Function of the MEF2 Pathway,"CHEN, LIN",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$263,428"
Heart Disease,2009,NHLBI,5R01HL080632-04,,Long-Term Regulation of Potassium Channels,"LEVITAN, EDWIN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$360,484"
Heart Disease,2009,NHLBI,5R01HL078921-06,,INDUCTION OF CORONARY ENDOTHELIAL CELL LINEAGE,"MIKAWA, TAKASHI",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$366,235"
Heart Disease,2009,NHLBI,5R01HL083422-04,,Dysfunction in Ankyrin-based Pathways and Human Arrythmia,"MOHLER, PETER",UNIVERSITY OF IOWA,IA,"$286,445"
Heart Disease,2009,NIAID,5R01AI040459-12,,Post-Transplant Inflammatory Response,"FAIRCHILD, ROBERT",CLEVELAND CLINIC LERNER COL/MED-CWRU,OH,"$386,250"
Heart Disease,2009,NHLBI,5R01HL022231-31,,Modulation of Calcium Control of Cardiac Myofibrils,"SOLARO, R",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$348,750"
Heart Disease,2009,NHLBI,5R01HL088151-02,,NFATc3 in chronic hypoxic pulmonary hypertension,"GONZALEZ BOSC, LAURA",UNIVERSITY OF NEW MEXICO,NM,"$375,000"
Heart Disease,2009,NICHD,5R01HD012252-31,,"Adiposity, Disease Risk Factors, and Lifetime Health","SIERVOGEL, ROGER",WRIGHT STATE UNIVERSITY,OH,"$1,189,440"
Heart Disease,2009,NHLBI,5R01HL078951-05,,Gender Influence in Mice with Myocardial Infarction,"YANG, XIAO-PING",HENRY FORD HEALTH SYSTEM,MI,"$273,076"
Heart Disease,2009,NHLBI,5R01HL066115-07,,C. pneumoniae and atherosclerotic plaque destabilization,"ROSENFELD, MICHAEL",UNIVERSITY OF WASHINGTON,WA,"$373,500"
Heart Disease,2009,NHLBI,5R01HL063373-08,,3D & 4D Coronary Hemodynamics and Local Atherosclerosis,"SONKA, MILAN",UNIVERSITY OF IOWA,IA,"$322,251"
Heart Disease,2009,NHLBI,5R01HL047569-17,,Autocrine Role of Cytokines in Vascular Smooth Muscle,"BEASLEY, DEBBIE",TUFTS MEDICAL CENTER,MA,"$402,500"
Heart Disease,2009,NHLBI,5R01HL045637-16,,Regulation of ANP Receptor Activity in Vascular Cells,"GARDNER, DAVID",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$386,250"
Heart Disease,2009,NHLBI,5R01HL085109-02,,Targeting myofibroblast activation in chronic fibrotic disease,"STRAUCH, ARTHUR",OHIO STATE UNIVERSITY,OH,"$375,000"
Heart Disease,2009,NHLBI,5R01HL060723-09,,Determinants of Cardiac Repolarization,"JANUARY, CRAIG",UNIVERSITY OF WISCONSIN MADISON,WI,"$353,201"
Heart Disease,2009,NHLBI,5F31HL085914-03,,Human Embryonic Stem Cell Derived Cardiac Progenitors,"ESTESO, PAUL",JOHNS HOPKINS UNIVERSITY,MD,"$45,977"
Heart Disease,2009,NHLBI,5R01HL085119-04,,Role of Cytokine-Induced Inflammation in Endothelial Dysfunction in Diabetes,"ZHANG, CUIHUA",UNIVERSITY OF MISSOURI-COLUMBIA,MO,"$322,843"
Heart Disease,2009,NHLBI,5UH1HL073461-06,,Cardiovascular Disease Preventive Intervention Program,"DIN-DZIETHAM, REBECCA",MOREHOUSE SCHOOL OF MEDICINE,GA,"$710,000"
Heart Disease,2009,NHLBI,5R01HL046716-17,,Cardioplegia and coronary microvascular reactivity,"SELLKE, FRANK",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$330,140"
Heart Disease,2009,NHLBI,5R01HL080176-04,,Cardiovascular effects of endothelial-derived neuregulin,"RUSSELL, KERRY",YALE UNIVERSITY,CT,"$396,896"
Heart Disease,2009,NHLBI,5R01HL079137-06,,Myocardial Regeneration with Adult Stem Cells,"YOON, YOUNG-SUP",EMORY UNIVERSITY,GA,"$367,420"
Heart Disease,2009,NHLBI,5R01HL087201-03,,Gene Expression and Thrombosis in a Community Based Cohort Study,"FREEDMAN, JANE",BOSTON UNIVERSITY MEDICAL CAMPUS,MA,"$717,694"
Heart Disease,2009,NHLBI,5R01HL083236-04,,Mobilized Stem Cells in Cardiomyogenesis & Angiogenesis,"XU, MEIFENG",UNIVERSITY OF CINCINNATI,OH,"$372,621"
Heart Disease,2009,NHLBI,5R01HL083194-04,,Mechanisms of CMV latency in accelerated vascular disease,"STREBLOW, DANIEL",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$299,068"
Heart Disease,2009,NHLBI,5R01HL084178-03,,Hemodynamic and Cognitive Function in Cardiovascular Disease,"SWEET, LAWRENCE","BUTLER HOSPITAL (PROVIDENCE, RI)",RI,"$479,226"
Heart Disease,2009,NHLBI,5R01HL038324-20,,Measurement of free radical generation in the heart,"ZWEIER, JAY",OHIO STATE UNIVERSITY,OH,"$573,325"
Heart Disease,2009,NHLBI,5R01HL085690-02,,QT Interval Remodeling in Atrial Fibrillation,"DARBAR, DAWOOD",VANDERBILT UNIVERSITY,TN,"$383,750"
Heart Disease,2009,NIGMS,2R42GM079891-02,,Rapid homogeneous antibody-based detection of proteins,"HEYDUK, TOMASZ","MEDIOMICS, LLC",MO,"$490,255"
Heart Disease,2009,NIDDK,5R01DK070790-04,,Renal Osteodystrophy and Vascular Calcification,"HRUSKA, KEITH",WASHINGTON UNIVERSITY,MO,"$296,512"
Heart Disease,2009,NHLBI,5R01HL076312-05,,Long-Term Neural Determinants of Cardiovascular Diseases,"OSBORN, JOHN",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$1,154,053"
Heart Disease,2009,NHLBI,5R01HL080144-03,,HDAC Inhibition in Cardiac Hypertrophy and Failure,"HILL, JOSEPH",UNIVERSITY OF TEXAS SW MED CTR/DALLAS,TX,"$392,500"
Heart Disease,2009,NHLBI,5R21HL091417-02,,Mechanoregulation of endothelial mitochondrial function,"ALEVRIADOU, BARBARA",OHIO STATE UNIVERSITY,OH,"$187,500"
Heart Disease,2009,NHLBI,5R01HL080049-04,,Translational Development of Novel MMP Inhibitors,"COHEN, SETH",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$376,635"
Heart Disease,2009,NHLBI,5R01HL090905-02,,T-tubule remodeling and Ca2+-dependent arrhythmogenesis in cardiomyopathies.,"SONG, LONG-SHENG",UNIVERSITY OF IOWA,IA,"$375,000"
Heart Disease,2009,NHLBI,5R01HL079421-05,,"SOY, LIFE STAGE, STRESS AND ATHEROSCLEROSIS IN FEMALES","KAPLAN, JAY",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$641,728"
Heart Disease,2009,NIAID,5R01AI076248-02,,T. cruzi: pathogenesis modulation by eicosanoids,"TANOWITZ, HERBERT",ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NY,"$415,000"
Heart Disease,2009,NCCAM,5R21AT004460-02,,Molecular mechanisms of anti- & pro-arrhythmic effects of fish oil supplement,"TSENG, GEA-NY",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$223,500"
Heart Disease,2009,NICHD,5K23HD048637-06,,Testing the Pediatric Cardiac Quality of Life Inventory,"MARINO, BRADLEY",CHILDREN'S HOSPITAL MED CTR (CINCINNATI),OH,"$160,272"
Heart Disease,2009,NHLBI,5R01HL078806-03,,The Role of the KLF2 in Vascular Endothelial Cells,"LINGREL, JERRY",UNIVERSITY OF CINCINNATI,OH,"$390,000"
Heart Disease,2009,NHLBI,5R01HL088444-02,,Ventricular Fibrillation in a Globally Ischemic Heart: From Cell to ECG,"ZAITSEV, ALEXEY",UNIVERSITY OF UTAH,UT,"$338,625"
Heart Disease,2009,NIDDK,5R01DK064989-05,,CELLULAR MECHANISMS THAT PROMOTE OR PREVENT LIPOTOXICITY,"SCHAFFER, JEAN",WASHINGTON UNIVERSITY,MO,"$442,310"
Heart Disease,2009,NHLBI,5R01HL080704-04,,Flow-Mediated Dilation of Human Coronary Arterioles,"GUTTERMAN, DAVID",MEDICAL COLLEGE OF WISCONSIN,WI,"$367,766"
Heart Disease,2009,NHLBI,7R01HL086719-03,,Endothelial Dysfunction and the RV in the Multi-Ethnic Study of Atherosclerosis,"KAWUT, STEVEN",UNIVERSITY OF PENNSYLVANIA,PA,"$404,624"
Heart Disease,2009,NHLBI,5R00HL088317-04,,Role of SFRP2 in cardiac regeneration,"DEB, ARJUN",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$249,000"
Heart Disease,2009,NIAID,5R01AI054578-05,,Pathogenesis of Oxidative Stress in Chagasic Myocarditis,"GARG, NISHA",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$269,050"
Heart Disease,2009,NIAID,5R01AI067861-04,,Importance of adhesin-like proteins of Enteroccocus faecium,"MURRAY, BARBARA",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,"$353,635"
Heart Disease,2009,NHLBI,5F31HL079877-05,,Predoctoral Fellowship for Minority Students,"GUERRATY, MARIE",UNIVERSITY OF PENNSYLVANIA,PA,"$48,931"
Heart Disease,2009,NHLBI,5U01HL087403-03,,Cell Therapy for Improving Cardiac Function,"ZHAO, DAVID",VANDERBILT UNIVERSITY,TN,"$507,561"
Heart Disease,2009,NHLBI,5U01HL087314-03,,Northeast Ohio Center for Cardiovascular Cell Therapy Research,"ELLIS, STEPHEN",CLEVELAND CLINIC LERNER COL/MED-CWRU,OH,"$450,303"
Heart Disease,2009,NHLBI,5R01HL060714-11,,Molecular Mechanisms of Neural Crest-Related Heart Defects,"CONWAY, SIMON",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$371,995"
Heart Disease,2009,NHLBI,5R01HL070733-05,,Targets of Retinoid-Dependent Heart Development,"NIEDERREITHER, KAREN",BAYLOR COLLEGE OF MEDICINE,TX,"$320,012"
Heart Disease,2009,NHLBI,5R01HL080592-06,,Cardiac Defects/Cross-species analysis/Human Mutations,"SRIVASTAVA, DEEPAK",J. DAVID GLADSTONE INSTITUTES,CA,"$455,126"
Heart Disease,2009,NINDS,5R37NS032387-16,,Hereditary Defects in Human Sodium Channels,"GEORGE, ALFRED",VANDERBILT UNIVERSITY,TN,"$404,119"
Heart Disease,2009,NHLBI,5R01HL083439-04,,Cardioprotective Repair through Cardiopoiesis,"TERZIC, ANDRE","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$359,270"
Heart Disease,2009,NHLBI,5R01HL008311-43,,Effect of Drugs on Myocardial Hypoxia,"GROSS, GARRETT",MEDICAL COLLEGE OF WISCONSIN,WI,"$287,299"
