Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Heart Disease,2008,NINDS,1R03NS048512-01A1,,A Murine Model for Inhibition of Farnesyltransferase,"ZIMMERMAN, GUY",UNIVERSITY OF UTAH,UT,"$74,750"
Heart Disease,2008,NHLBI,5K25HL074968-05,,A Peptide Approach to Improve Vein Graft Efficacy,"PANITCH, ALYSSA",PURDUE UNIVERSITY WEST LAFAYETTE,IN,"$148,781"
Heart Disease,2008,NHLBI,5R01HL080137-03,,Role of Progenitor Cells in Cardiovascular Medicine,"LOSORDO, DOUGLAS",NORTHWESTERN UNIVERSITY,IL,"$366,553"
Heart Disease,2008,NHLBI,1R01HL087099-01,,Regulation of Calcium Channels by Calmodulin,"PEDERSEN, STEEN",BAYLOR COLLEGE OF MEDICINE,TX,"$383,750"
Heart Disease,2008,NIBIB,1F31EB006692-01A1,,DEVELOPMENT OF NOVEL HYPERPOLARIZATION TECHNIQUES FOR MR STUDY OF HEART,"SCHROEDER, MARIE",UNIVERSITY OF OXFORD,UK,"$36,772"
Heart Disease,2008,NHLBI,5R01HL080127-03,,RGS Regulation of Cardiac Signaling and Hypertrophy,"MENDE, ULRIKE","RHODE ISLAND HOSPITAL (PROVIDENCE, RI)",RI,"$364,125"
Heart Disease,2008,NHLBI,5R01HL074239-05,,Oxidized Lipids in Cardiovascular Disease,"SANTANAM, NALINI",MARSHALL UNIVERSITY,WV,"$331,863"
Heart Disease,2008,NHLBI,5K01HL076568-05,,Role of Id genes during cardiac development,"FRAIDENRAICH, DIEGO",UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,NJ,"$133,812"
Heart Disease,2008,NIDDK,5U01DK066013-03,,Live Unrelated Kidney Donor & Sibling Follow-up Study,"KASISKE, BERTRAM",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$429,448"
Heart Disease,2008,NHLBI,4R37HL071544-06,,Mechanism of Staphylocoagulase-activated Blood Clotting,"BOCK, PAUL",VANDERBILT UNIVERSITY,TN,"$345,375"
Heart Disease,2008,NHLBI,5R01HL065455-08,,Oxidative Stress in Heart Failure: Mechanisms,"HARE, JOSHUA",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$326,412"
Heart Disease,2008,NHLBI,5R01HL073824-05,,"Wounded Spirits, Ailing Hearts: PTSD and CVD in Indians","MANSON, SPERO",UNIVERSITY OF COLORADO DENVER,CO,"$595,937"
Heart Disease,2008,NHLBI,5R01HL074103-05,,Behavioral Treatment of High Blood Pressure,"BLUMENTHAL, JAMES",DUKE UNIVERSITY,NC,"$709,886"
Heart Disease,2008,NHLBI,5R01HL079376-03,,Depression and Biobehavioral Processes in Heart Failure,"KOP, WILLEM",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$483,393"
Heart Disease,2008,NHLBI,5F32HL085989-02,,Genetic Epidemiology of Vascular Calcified Plaque,"LEHTINEN, ALLISON",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$21,495"
Heart Disease,2008,NHLBI,1R01HL089340-01,,T-wave alternans and emotion in daily life,"LAMPERT, RACHEL",YALE UNIVERSITY,CT,"$423,256"
Heart Disease,2008,NINR,5F31NR009901-02,,Physical Activity Pre-/Post-Cardiac Resynchronization Therapy,"SHERRY, DAISY",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$34,865"
Heart Disease,2008,NCCAM,1R21AT003195-01A2,,Statin-Berberine Combination Therapy in Hyperlipidemia,"LIU, JINGWEN","PALO ALTO INSTITUTE FOR RES & EDU, INC.",CA,"$210,000"
Heart Disease,2008,NCCAM,1R21AT003833-01A1,,Cruciferous Indoles in the Amelioration of the Metabolic Syndrome,"THERIAULT, ANDRE",UNIVERSITY OF HAWAII AT MANOA,HI,"$196,080"
Heart Disease,2008,NIDA,1R21DA020804-01A2,,Opioidergic System in Development of Heart Failure,"SCHULTZ, JO EL",UNIVERSITY OF CINCINNATI,OH,"$248,641"
