Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Hypertension,2013,NINR,5R01NR010904-03,,Promoting Physical Activity in Older Adults with Comorbidity,"SCHLENK, ELIZABETH",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$494,740"
Hypertension,2013,NHLBI,5R01HL094378-04,,Calcium channels in arterial smooth muscle cells,"JAGGAR, JONATHAN",UNIVERSITY OF TENNESSEE HEALTH SCI CTR,TN,"$348,718"
Hypertension,2013,NHLBI,5R01HL105302-03,,Molecular Mechanism of Arterial Stiffening,"SUN, ZHONGJIE",UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OK,"$343,156"
Hypertension,2013,NHLBI,5R01HL098602-03,,Plasticity of nTS output neurons in acute and chronic hypoxia,"HASSER, EILEEN",UNIVERSITY OF MISSOURI-COLUMBIA,MO,"$662,440"
Hypertension,2013,NHLBI,7R01HL070985-10,,Salt-sensitive hypertension: Role of renal superoxide,"GARVIN, JEFFREY",CASE WESTERN RESERVE UNIVERSITY,OH,"$336,294"
Hypertension,2013,NHLBI,5R01HL105297-03,,Mechanisms Underlying the Progression of Arterial Stiffness in Hypertension,"HUMPHREY, JAY",YALE UNIVERSITY,CT,"$371,686"
Hypertension,2013,NIEHS,1R01ES023252-01A1,,"Environmental Toxicants, Race, and Cardiovascular Disease Risk in Children","GUMP, BROOKS",SYRACUSE UNIVERSITY,NY,"$479,495"
Hypertension,2013,NHLBI,5R01HL102866-03,,Developmental programming: influence of sex steroids and mechanisms,"YALLAMPALLI, CHANDRASEKHAR",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$364,140"
Hypertension,2013,NHLBI,5R01HL068728-09,,Prenatal Glucocorticoid and Postnatal Blood Pressure,"FIGUEROA, JORGE",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$344,670"
Hypertension,2013,NHLBI,5R01HL002334-56,,Renal Vascular Reactivity in Hypertension,"ARENDSHORST, WILLIAM",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$560,599"
Hypertension,2013,NHLBI,5P01HL051971-20,5574,NEUROHUMORAL AND RENAL MECHANISMS OF HYPERTENSION,"HALL, JOHN",UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,MS,"$283,768"
Hypertension,2013,NHLBI,5P01HL051971-20,5576,RENAL CONTROL OF BODY FLUID VOLUME AND CIRCULATORY DYNAMICS,"GRANGER, JOEY",UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,MS,"$283,763"
Hypertension,2013,NHLBI,5P01HL051971-20,5577,HORMONAL MECHANISMS OF POSTMENOPAUSAL HYPERTENSION,"RECKELHOFF, JANE",UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,MS,"$283,763"
Hypertension,2013,NHLBI,5P01HL051971-20,5579,Neural Mechanisms in Cardiorenal Regulation,"LOHMEIER, THOMAS",UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,MS,"$283,762"
Hypertension,2013,NHLBI,5R01HL091314-05,,Central actions of angiotensin II in the control of fluid balance,"YEE, DANIEL",UNIVERSITY OF PENNSYLVANIA,PA,"$371,102"
Hypertension,2013,NHLBI,5R01HL106042-03,,Renal Medullary Stem Cell Niche in Salt Sensitive Hypertension,"LI, NINGJUN",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$355,810"
Hypertension,2013,NHLBI,5R37HL048058-20,,Role of Enhancers Regulating Renin Gene Expression,"SIGMUND, CURT",UNIVERSITY OF IOWA,IA,"$453,903"
Hypertension,2013,NHLBI,5R01HL095846-04,,MicroRNA to decrease vascular CaV1.2 in hypertension,"PALADE, PHILIP",UNIV OF ARKANSAS FOR MED SCIS,AR,"$341,649"
Hypertension,2013,NHLBI,5R01HL108629-02,,Homeostatic regulation of autonomic physiology by chromogranin A,"VAINGANKAR, SUCHETA",UNIVERSITY OF CALIFORNIA,CA,"$368,900"
Hypertension,2013,NHLBI,5R01HL108880-02,,Mechanisms and relevance of ENaC regulation by EGF and Rac1,"STARUSHCHENKO, ALEXANDER",MEDICAL COLLEGE OF WISCONSIN,WI,"$364,140"
Hypertension,2013,NIMHD,5R01MD005849-03,,Adjunct vitamin D therapy as a means to reduce the disparity in subclinical targe,"LEVY, PHILLIP",WAYNE STATE UNIVERSITY,MI,"$355,300"
Hypertension,2013,NHLBI,5R01HL112641-02,,Innovative Models for Mechanistic Studies of Novel Hypertension Genes,"JOE, BINA",UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,OH,"$658,769"
Hypertension,2013,NHLBI,5R01HL107555-02,,"Alpha-2 Na+ Pumps, [Ca2+], Arterial Contraction & Hypertension","BLAUSTEIN, MORDECAI",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$365,330"
Hypertension,2013,NICHD,5R01HD067759-03,,Pluripotent human stem cells as models for normal and diseased trophoblast,"ROBERTS, ROBERT",UNIVERSITY OF MISSOURI-COLUMBIA,MO,"$330,178"
Hypertension,2013,NHLBI,5R01HL105113-03,,Genetics of Hypertension,"KUMAR, ASHOK",UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,OH,"$356,524"
Hypertension,2013,NIEHS,1F30ES022126-01,,Epidemiology of Perfluorinated Compounds in Pregnancy and Risk of Preeclampsia,"STARLING, ANNE",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$31,474"
Hypertension,2013,NIDDK,5R01DK078757-07,,(Pro)renin receptor and renovascular hypertension,"SIRAGY, HELMY",UNIVERSITY OF VIRGINIA,VA,"$323,226"
Hypertension,2013,NHLBI,5K23HL092060-05,,Variation in Antihypertensive Prescribing Patterns in Children,"YOON, ESTHER",UNIVERSITY OF MICHIGAN,MI,"$137,700"
Hypertension,2013,NHLBI,5R01HL106089-03,,Transcriptional Regulation by Angiotensin II in Vascular Smooth Muscle Cells,"NATARAJAN, RAMA",CITY OF HOPE/BECKMAN RESEARCH INSTITUTE,CA,"$395,080"
Hypertension,2013,NHLBI,5R01HL105440-03,,MODifiable Effectors of Renin System Activation: Treatment Evaluation,"FORMAN, JOHN",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$668,224"
Hypertension,2013,NHLBI,5R01HL096671-03,,Brain MAP Kinases - Substrate for Sympathetic Excitation in Heart Failure,"FELDER, ROBERT",UNIVERSITY OF IOWA,IA,"$359,380"
Hypertension,2013,NHLBI,5R01HL083297-07,,Regulation of Adrenal Vascular Tone by Steroidogenic Cells,"CAMPBELL, WILLIAM",MEDICAL COLLEGE OF WISCONSIN,WI,"$364,140"
Hypertension,2013,NHLBI,5P01HL074940-09,7005,Spatiotemporal transregulation of D1-like angiotensin receptors in genetically...,"FELDER, ROBIN",UNIVERSITY OF VIRGINIA,VA,"$420,244"
Hypertension,2013,NHLBI,5P01HL074940-09,7006,D1R and AT1R receptor interaction in human hypertension: clinical mechanisms,"CAREY, ROBERT",UNIVERSITY OF VIRGINIA,VA,"$420,242"
Hypertension,2013,NHLBI,5P01HL074940-09,7007,GRK4 and D3R regulation of NHE3 and NCC expression,"JOSE, PEDRO",UNIVERSITY OF VIRGINIA,VA,"$420,241"
Hypertension,2013,NHLBI,5P01HL074940-09,7008,Administrative Core,"FELDER, ROBIN",UNIVERSITY OF VIRGINIA,VA,"$420,240"
Hypertension,2013,NHLBI,5P01HL074940-09,7009,Analytical Methods,"GILDEA, JOHN",UNIVERSITY OF VIRGINIA,VA,"$420,239"
Hypertension,2013,NHLBI,5K24HL111315-02,,Midcareer Investigator Award in Patient-Oriented Research for Dr. Gbenga Ogedegbe,"OGEDEGBE, GBENGA",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$124,256"
Hypertension,2013,NHLBI,5R01HL102122-03,,Effect of Vitamin D and Omega-3 Fatty Acids on Blood Pressure and Hypertension,"SESSO, HOWARD",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$601,668"
Hypertension,2013,NHLBI,5R01HL089564-05,,KCNQ Channels and Vasoconstrictor Signal Transduction,"BYRON, KENNETH",LOYOLA UNIVERSITY CHICAGO,IL,"$362,300"
Hypertension,2013,NHLBI,5R01HL093238-04,,Essential Hypertension and Human Skin Blood Flow,"ALEXANDER, LACY",PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,PA,"$340,172"
Hypertension,2013,NHLBI,5R01HL098135-04,,"The cytokines, MCP-1 and TGF-beta, mediate renal autoregulatory impairment","INSCHO, EDWARD",GEORGIA  REGENTS UNIVERSITY,GA,"$346,361"
Hypertension,2013,NHLBI,5R01HL066072-10,,Humoral factors in gender differences in blood pressure control,"RECKELHOFF, JANE",UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,MS,"$355,810"
Hypertension,2013,NICHD,5R03HD068670-02,,Role of the Renin-Angiotensin system in placental insufficiency,"MATA-GREENWOOD, EUGENIA",LOMA LINDA UNIVERSITY,CA,"$70,463"
