Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Hypertension,2010,NHLBI,5U01HL071556-06,,CORAL: Clinical Coordinating Center,"COOPER, CHRISTOPHER",UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,OH,"$2,753,284"
Hypertension,2010,NHLBI,5U01HL072735-06,,CORAL Angiographic Core Laboratory,"MATSUMOTO, ALAN",UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,VA,"$121,668"
Hypertension,2010,NHLBI,5U01HL072734-06,,Coral: Central GFR and Biochemistry Laboratory,"STEFFES, MICHAEL",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$244,198"
Hypertension,2010,NHLBI,5U01HL072736-06,,CORAL: Economics and QOL Core Laboratory,"COHEN, DAVID",SAINT LUKE'S HOSPITAL,MO,"$440,741"
Hypertension,2010,NHLBI,5U01HL072737-06,,CORAL: Data Coordinating Center,"CUTLIP, DONALD",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$854,059"
Hypertension,2010,NHLBI,5P01HL088052-03,,Neurohumoral adaptations to chronic intermittent hypoxia,"MIFFLIN, STEVEN",UNIVERSITY OF NORTH TEXAS HLTH SCI CTR,TX,"$1,855,720"
Hypertension,2010,NHLBI,5R01HL080409-05,,Salt Absorption by the THAL: Role of NKCC2 trafficking,"ORTIZ, PABLO",HENRY FORD HEALTH SYSTEM,MI,"$244,692"
Hypertension,2010,NHLBI,5R37HL036153-20,,Thin Filaments and Muscle Regulation,"LEHMAN, WILLIAM",BOSTON UNIVERSITY MEDICAL CAMPUS,MA,"$406,250"
Hypertension,2010,NHLBI,5R37HL048058-17,,Role of Enhancers Regulating Renin Gene Expression,"SIGMUND, CURT",UNIVERSITY OF IOWA,IA,"$358,056"
Hypertension,2010,NHLBI,5R01HL060728-11,,Angiotensin II Receptor Signaling Domains,"ALEXANDER, ROBERT",EMORY UNIVERSITY,GA,"$344,250"
Hypertension,2010,NHLBI,5R01HL045637-17,,Regulation of ANP Receptor Activity in Vascular Cells,"GARDNER, DAVID",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$386,250"
Hypertension,2010,NHLBI,5R01HL048459-17,,Renin-expressing Cell Lines for Hypertension Research,"GROSS, KENNETH",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$464,126"
Hypertension,2010,NHLBI,5R01HL057502-11,,POSTTRANSCRIPTIONAL REGULATION OF ANGIOTENSIN RECEPTORS,"SANDBERG, KATHRYN",GEORGETOWN UNIVERSITY,DC,"$383,750"
Hypertension,2010,NHLBI,5R01HL065997-08,,Endothelial Barrier Function in Preeclampsia,"WANG, YUPING",LOUISIANA STATE UNIV HSC SHREVEPORT,LA,"$219,750"
Hypertension,2010,NICHD,5R01HD017644-24,,Fetal Endocrine-Cardiovascular Relations,"ROSE, JAMES",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$264,923"
Hypertension,2010,NINR,5F31NR010288-03,,Interaction between Oxidative Stress-Related Genes and Nutrients in Pre-eclampsia,"NGUYEN, MAI",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$38,014"
Hypertension,2010,NIDDK,5R01DK057718-08,,Trafficking and Regulation of the Epithelial Na+ Channel,"JOHNSON, JOHN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$236,283"
Hypertension,2010,NIDDK,5R01DK071152-05,,Tyrosine Kinases in Renal Vasoconstrictor Signaling,"CARMINES, PAMELA",UNIVERSITY OF NEBRASKA MEDICAL CENTER,NE,"$283,891"
Hypertension,2010,NHLBI,5R01HL064806-10,,Vascular Calcium Channel Expression in Hypertension,"RUSCH, NANCY",UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK,AR,"$390,702"
Hypertension,2010,NHLBI,5R01HL091535-08,,Prorenin Receptors Mediate Hypertension and Kidney Disease in Diabetes,"SIRAGY, HELMY",UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,VA,"$378,750"
Hypertension,2010,NHLBI,5R01HL071138-07,,"In the Penis, RhoA Activation is Enhanced by Guanine Nucleotide Exchange Factors","WEBB, R. CLINTON",MEDICAL COLLEGE OF GEORGIA (MCG),GA,"$367,500"
Hypertension,2010,NHLBI,5R01HL088559-02,,Regulation of Rho Signaling by S-Nitrosothiols,"WHORTON, A",DUKE UNIVERSITY,NC,"$312,000"
Hypertension,2010,NHLBI,5R01HL095086-02,,Effects of Somatic Growth and Sodium Retention on Blood Pressure,"TU, WANZHU",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$385,000"
Hypertension,2010,NHLBI,5R01HL072354-06,,Role of Serotonin in Smypathetic Function,"SCROGIN, KARIE",LOYOLA UNIVERSITY CHICAGO,IL,"$259,875"
Hypertension,2010,NHLBI,5R01HL091314-02,,Central actions of angiotensin II in the control of fluid balance,"YEE, DANIEL",UNIVERSITY OF PENNSYLVANIA,PA,"$393,750"
Hypertension,2010,NHLBI,5R01HL062846-06,,Sources and effects of angiotensin peptides in atherosclerosis,"DAUGHERTY, ALAN",UNIVERSITY OF KENTUCKY,KY,"$366,250"
Hypertension,2010,NHLBI,5R21HL092392-02,,Mechanisms Mediating Hypotension to Anthrax Lethal Toxin,"KENNEY, MICHAEL",KANSAS STATE UNIVERSITY,KS,"$222,000"
Hypertension,2010,NHLBI,5R21HL094668-02,,MYOCARDIAL FA METABOLISM GENE-GENE INTERACTIONS IN HYPERTENSIVE HEART DISEASE,"DE LAS FUENTES, LISA",WASHINGTON UNIVERSITY,MO,"$152,000"
Hypertension,2010,NIDDK,5R01DK039308-22,,Dopamine-1 Receptor Defect in Hypertension,"JOSE, PEDRO",CHILDREN'S RESEARCH INSTITUTE,DC,"$365,390"
Hypertension,2010,NIEHS,5R01ES014663-03,,Cardiovascular Effects of Particles:The Role of Oxidative Stress and Metal Pathw,"SCHWARTZ, JOEL",HARVARD UNIVERSITY (SCH OF PUBLIC HLTH),MA,"$503,107"
Hypertension,2010,NHLBI,5F32HL095284-02,,L-type calcium channels are silent during depolarization of venous smooth muscle,"THAKALI, KESHARI",UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK,AR,"$53,810"
Hypertension,2010,NIDDK,5R01DK067420-08,,Regulation of Intestinal Na Absorption,"SUNDARAM, UMA",WEST VIRGINIA UNIVERSITY,WV,"$348,084"
Hypertension,2010,NHLBI,1R01HL098135-01,,"The Inflammatory Cytokines, MCP-1 and TGF-Beta, Mediate Renal Autoregulatory Impa","INSCHO, EDWARD",MEDICAL COLLEGE OF GEORGIA (MCG),GA,"$367,500"
Hypertension,2010,NHLBI,5R01HL028573-26,,"NA,K-ATPase: Role of Alpha Isoforms","LINGREL, JERRY",UNIVERSITY OF CINCINNATI,OH,"$390,000"
Hypertension,2010,NHLBI,5R21HL088625-02,,Perceived Discrimination in Medical Care,"HALANYCH, JEWELL",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$217,500"
Hypertension,2010,NIDCD,5R01DC008371-04,,Characterization of Hearing Status in the Jackson Heart Study Cohort,"SCHWEINFURTH, JOHN",UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,MS,"$262,018"
Hypertension,2010,NHLBI,5K23HL092060-02,,Variation in Antihypertensive Prescribing Patterns in Children,"YOON, ESTHER",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$137,700"
Hypertension,2010,NHLBI,5R01HL084228-04,,"Metabolomics-Measured Urinary Metabolites, Diet & BP, 17 Population Samples: INTE","STAMLER, JEREMIAH",NORTHWESTERN UNIVERSITY,IL,"$519,428"
Hypertension,2010,NHLBI,5R01HL089564-02,,KCNQ Channels and Vasoconstrictor Signal Transduction,"BYRON, KENNETH",LOYOLA UNIVERSITY CHICAGO,IL,"$372,555"
Hypertension,2010,NIA,5R03AG031944-03,,CaMKII Inhibition as a New Therapeutic Strategy for Treating Hypertension-induced,"CHEN-IZU, YE",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$62,103"
Hypertension,2010,NICHD,5R01HD034130-13,,Preeclampsia and Autoimmunity,"KELLEMS, RODNEY",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,"$284,007"
