Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Hypertension,2008,NHLBI,5R01HL074103-05,,Behavioral Treatment of High Blood Pressure,"BLUMENTHAL, JAMES",DUKE UNIVERSITY,NC,"$709,886"
Hypertension,2008,NHLBI,2R01HL057502-09,,POSTTRANSCRIPTIONAL REGULATION OF ANGIOTENSIN RECEPTORS,"SANDBERG, KATHRYN",GEORGETOWN UNIVERSITY,DC,"$383,750"
Hypertension,2008,NHLBI,5U01HL054473-13,,The Family Blood Pressure Program (Program Data Center),"RAO, DABEERU",WASHINGTON UNIVERSITY,MO,"$661,448"
Hypertension,2008,NCMHD,2P60MD000206-06,0003,Counseling older Americans to control hypertension (COACH),"OGEDEGBE, GBENGA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$969,469"
Hypertension,2008,NIDDK,2K24DK063214-06,,"Renal blood flow, vascular stiffness, and the DASH diet","CONLIN, PAUL",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$193,458"
Hypertension,2008,NIDDK,5R01DK049870-14,,NITRIC OXIDE SYNTHASE IN THE JUXTAGLOMERULAR APPARATUS,"WILCOX, CHRISTOPHER",GEORGETOWN UNIVERSITY,DC,"$338,906"
Hypertension,2008,NIDDK,5R01DK056601-08,,Heme Oxygenase Regulation of Eicosanoid Biosynthesis,"ABRAHAM, NADER",NEW YORK MEDICAL COLLEGE,NY,"$340,653"
Hypertension,2008,NHLBI,5K99HL087927-02,,Paraventricular Nucleus Signaling Mechanisms in Hypertension,"NORTHCOTT, CARRIE",MICHIGAN STATE UNIVERSITY,MI,"$86,437"
Hypertension,2008,NHLBI,5K99HL088000-02,,Importance of the Two Catalytic Sites of ACE in Bleomycin-Induced Lung Injury,"FUCHS, SEBASTIEN",EMORY UNIVERSITY,GA,"$11,284"
Hypertension,2008,NIDDK,5R01DK069392-04,,Collecting duct endothelin-1 and hypertension,"KOHAN, DONALD",UNIVERSITY OF UTAH,UT,"$388,687"
Hypertension,2008,NHLBI,5R01HL080632-03,,Long-Term Regulation of Potassium Channels,"LEVITAN, EDWIN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$360,484"
Hypertension,2008,NHLBI,5R01HL062261-09,,Circumventricular Organs: Gender and Hypertension,"JOHNSON, ALAN",UNIVERSITY OF IOWA,IA,"$349,641"
Hypertension,2008,NHLBI,5F32HL086181-02,,Actions of Angiotensin II in Vascular Smooth Muscle,"PARSONS, KELLY",DUKE UNIVERSITY,NC,"$48,796"
Hypertension,2008,NHLBI,5K24HL004334-08,,Aldosterone in Vascular Remodeling and Dysfunction,"RAMACHANDRAN, VASAN",BOSTON UNIVERSITY MEDICAL CAMPUS,MA,"$97,456"
Hypertension,2008,NIDDK,5F32DK076241-02,,Role of mPGES1 in regulation of kidney function,"FACEMIRE, CARIE",DUKE UNIVERSITY,NC,"$48,796"
Hypertension,2008,NHLBI,5R01HL084228-02,,"Metabolomics-Measured Urinary Metabolites, Diet & BP, 17 Population Samples: INTE","STAMLER, JEREMIAH",NORTHWESTERN UNIVERSITY,IL,"$503,607"
Hypertension,2008,NHLBI,5R01HL020176-31,,Biochemistry and Genetics of Hypertension,"JOE, BINA",UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,OH,"$625,707"
Hypertension,2008,NHLBI,5R37HL048058-15,,Role of Enhancers Regulating Renin Gene Expression,"SIGMUND, CURT",UNIVERSITY OF IOWA,IA,"$358,056"
Hypertension,2008,NHLBI,5R01HL048459-15,,Renin-expressing Cell Lines for Hypertension Research,"GROSS, KENNETH",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$446,221"
Hypertension,2008,NHLBI,5R01HL076312-04,,Long-Term Neural Determinants of Cardiovascular Diseases,"OSBORN, JOHN",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$1,121,900"
Hypertension,2008,NHLBI,5R01HL080409-03,,Salt Absorption by the THAL: Role of NKCC2 trafficking,"ORTIZ, PABLO",HENRY FORD HEALTH SYSTEM,MI,"$244,692"
Hypertension,2008,NHLBI,5R01HL082733-03,,Renal tubular 20-HETE and EETs on sodium retention in,"WANG, MONG-HENG",MEDICAL COLLEGE OF GEORGIA (MCG),GA,"$285,474"
Hypertension,2008,NIEHS,1P50ES015915-01,0005,"Project 5: ROS, Glutathione and Vascular Response to Diesel Exhaust","KAVANAGH, TERRANCE",UNIVERSITY OF WASHINGTON,WA,"$291,805"
Hypertension,2008,NHLBI,1F32HL090203-01,,The role of the apelin-APJ pathway in vascular wall disease,"LEEPER, NICHOLAS",STANFORD UNIVERSITY,CA,"$54,842"
Hypertension,2008,NIDDK,5R01DK057718-06,,Trafficking and Regulation of the Epithelial Na+ Channel,"JOHNSON, JOHN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$238,669"
Hypertension,2008,NHLBI,5R01HL037981-20,,"Eicosanoids, Vascular Tone and Blood Pressure","CAMPBELL, WILLIAM",MEDICAL COLLEGE OF WISCONSIN,WI,"$323,212"
Hypertension,2008,NHLBI,5R01HL063886-08,,NO-induced vascular smooth muscle cell motility,"HASSID, AVIV",UNIVERSITY OF TENNESSEE HEALTH SCI CTR,TN,"$354,415"
Hypertension,2008,NIDDK,5R01DK039308-19,,Dopamine-1 Receptor Defect in Hypertension,"JOSE, PEDRO",GEORGETOWN UNIVERSITY,DC,"$301,079"
Hypertension,2008,NHLBI,5R01HL078216-04,,Stress Reduction: Impact on BP in African American Youth,"TREIBER, FRANK",MEDICAL COLLEGE OF GEORGIA (MCG),GA,"$381,999"
Hypertension,2008,FIC,5R03TW007452-03,,Explanatory Models of Hypertension in Nigeria,"OGEDEGBE, GBENGA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$30,835"
Hypertension,2008,NIDDK,5R01DK071152-03,,Tyrosine Kinases in Renal Vasoconstrictor Signaling,"CARMINES, PAMELA",UNIVERSITY OF NEBRASKA MEDICAL CENTER,NE,"$326,835"
Hypertension,2008,NHLBI,5R01HL083115-03,,Presynaptic Mechanisms of Neurotransmission in NTS,"ANDRESEN, MICHAEL",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$347,511"
Hypertension,2008,NHLBI,5R01HL038499-17,,Abnormal Pressure Natriuresis in Hypertension,"GRANGER, JOEY",UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,MS,"$237,690"
Hypertension,2008,NHLBI,5R01HL080682-02,,"Angiotensin II, IGF-1 and Skeletal Muscle Atrophy","DELAFONTAINE, PATRICE",TULANE UNIVERSITY OF LOUISIANA,LA,"$371,250"
Hypertension,2008,NHLBI,5R01HL028573-24,,Na+K+ATPase: Role of Alpha Isoforms,"LINGREL, JERRY",UNIVERSITY OF CINCINNATI,OH,"$390,000"
Hypertension,2008,NHLBI,5R01HL078782-04,,Neural Mechanism of Thiazide-Induced Insulin Resistance,"VONGPATANASIN, WANPEN",UNIVERSITY OF TEXAS SW MED CTR/DALLAS,TX,"$369,790"
Hypertension,2008,NIDDK,5R01DK065956-05,,Regulation of Podocyte Function By Angiotensin II,"SPURNEY, ROBERT",DUKE UNIVERSITY,NC,"$302,655"
Hypertension,2008,NHLBI,5R01HL053353-11,,Genetics of Hypertension in Blacks,"COOPER, RICHARD",LOYOLA UNIVERSITY CHICAGO,IL,"$402,431"
Hypertension,2008,NHLBI,5K23HL086558-02,,Metabolic Effects of Antihypertensive Drugs,"COOPER-DEHOFF, RHONDA",UNIVERSITY OF FLORIDA,FL,"$150,962"
