Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Hypertension,2009,NHLBI,5R01HL079173-03,,Financial Incentives to Translate ALLHAT into Practice,"PETERSEN, LAURA",BAYLOR COLLEGE OF MEDICINE,TX,"$703,820"
Hypertension,2009,NHLBI,5R01HL077234-04,,Cardiovascular and renal hemodynamics and the DASH diet,"CONLIN, PAUL",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$347,562"
Hypertension,2009,NIDDK,5R01DK049870-15,,NITRIC OXIDE SYNTHASE IN THE JUXTAGLOMERULAR APPARATUS,"WILCOX, CHRISTOPHER",GEORGETOWN UNIVERSITY,DC,"$338,906"
Hypertension,2009,NIDDK,5R01DK056601-09,,Heme Oxygenase Regulation of Eicosanoid Biosynthesis,"ABRAHAM, NADER",NEW YORK MEDICAL COLLEGE,NY,"$340,653"
Hypertension,2009,NHLBI,5R01HL045637-16,,Regulation of ANP Receptor Activity in Vascular Cells,"GARDNER, DAVID",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$386,250"
Hypertension,2009,NHLBI,5R01HL060728-10,,Angiotensin II Receptor Signaling Domains,"ALEXANDER, R",EMORY UNIVERSITY,GA,"$344,250"
Hypertension,2009,NHLBI,5R01HL065997-07,,Endothelial Barrier Function in Preeclampsia,"WANG, YUPING",LOUISIANA STATE UNIV HSC SHREVEPORT,LA,"$219,750"
Hypertension,2009,NICHD,5R01HD017644-23,,Fetal Endocrine-Cardiovascular Relations,"ROSE, JAMES",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$267,599"
Hypertension,2009,NHLBI,5R01HL048459-16,,Renin-expressing Cell Lines for Hypertension Research,"GROSS, KENNETH",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$459,808"
Hypertension,2009,NHLBI,5R01HL082733-04,,Renal tubular 20-HETE and EETs on sodium retention in,"WANG, MONG-HENG",MEDICAL COLLEGE OF GEORGIA (MCG),GA,"$285,474"
Hypertension,2009,NHLBI,5R01HL076312-05,,Long-Term Neural Determinants of Cardiovascular Diseases,"OSBORN, JOHN",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$1,154,053"
