Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Liver Cancer,2010,NIAID,5R01AI064844-05,,Role of Hepatitis B virus X protein in HBV replication.,"BOUCHARD, MICHAEL",DREXEL UNIVERSITY,PA,"$311,479"
Liver Cancer,2010,NCI,5R01CA124648-04,,An integrative approach to cancer gene discovery in hepatocellular carcinoma,"POWERS, SCOTT",COLD SPRING HARBOR LABORATORY,NY,"$435,804"
Liver Cancer,2010,NCI,5R01CA127387-04,,Role of the RB tumor suppressor in liver tumorigenesis,"KNUDSEN, ERIK",THOMAS JEFFERSON UNIVERSITY,PA,"$320,588"
Liver Cancer,2010,NCI,5R21CA137067-02,,IL-22 in HBV pathogenesis,"ROBEK, MICHAEL",YALE UNIVERSITY,CT,"$181,666"
Liver Cancer,2010,NCI,5R21CA133710-02,,Targeting proapoptotic PKCdelta signaling in hepatocellular carcinoma,"CHEN, CHING-SHIH",OHIO STATE UNIVERSITY,OH,"$198,000"
Liver Cancer,2010,NCI,5R01CA076183-08,,Targeting diffuse liver metastases with Herpes virus,"TANABE, KENNETH",MASSACHUSETTS GENERAL HOSPITAL,MA,"$388,804"
Liver Cancer,2010,NIDDK,5R01DK078686-03,,Genetic and epigenetic regulation of Hepatitis B contributes to liver cancer,"TORBENSON, MICHAEL",JOHNS HOPKINS UNIVERSITY,MD,"$345,015"
Liver Cancer,2010,NIEHS,5R01ES007800-14,,Ah Receptor Anatomy: Implications for Dioxin Toxicity,"ELFERINK, CORNELIS",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$327,399"
Liver Cancer,2010,NCI,5R01CA119028-06,,Mechanisms of As-Induced Carcinogenesis,"SHI, XIANGLIN",UNIVERSITY OF KENTUCKY,KY,"$227,247"
Liver Cancer,2010,NCI,7R01CA086978-08,,Molecular mechanism of diet induced carcinogenesis,"JACOB, SAMSON",OHIO STATE UNIVERSITY,OH,"$302,115"
Liver Cancer,2010,NIAID,5R01AI020001-27,,Pathogenesis of Liver Disease in Hepatitis,"CHISARI, FRANCIS",SCRIPPS RESEARCH INSTITUTE,CA,"$653,572"
Liver Cancer,2010,NCI,7R01CA135030-02,,MicroRNAs as Targets for the Treatment of Hepatocellular Carcinoma,"CROCE, CARLO",OHIO STATE UNIVERSITY,OH,"$480,411"
Liver Cancer,2010,NCI,5R01CA131426-02,,"The role of the Hippo pathway on mammalian organ size, progenitor cells and cance","BRUMMELKAMP, THIJN",WHITEHEAD INSTITUTE FOR BIOMEDICAL RES,MA,"$404,625"
Liver Cancer,2010,NIAID,5R01AI071084-02,,Probing the antibody response to HCV to facilitate rational immunogen design,"BURTON, DENNIS",SCRIPPS RESEARCH INSTITUTE,CA,"$614,982"
Liver Cancer,2010,NIAAA,5R21AA016360-02,,Mechanism of Alcohol/Alcoholism-induced Liver Neoplasia,"SCHMIDT, CHRISTIAN",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$228,690"
Liver Cancer,2010,NIEHS,5R01ES016313-03,,The Environment as a Variable to Calibrate Mouse Models of Human Disease,"ESSIGMANN, JOHN",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,"$568,985"
Liver Cancer,2010,NCI,5R01CA055578-15,,Role of PreS2 Mutants in Pathogenesis of Chronic Hepatitis B,"PULLIAM, LYNN",NORTHERN CALIFORNIA INSTITUTE RES & EDUC,CA,"$280,514"
Liver Cancer,2010,NIAID,5R21AI077513-02,,Host Partners and Virus Assembly,"ZLOTNICK, ADAM",INDIANA UNIVERSITY BLOOMINGTON,IN,"$185,880"
Liver Cancer,2010,NCI,5R01CA104025-05,,Beta-Catenin Signaling in HBxAg Mediated HCC.,"FEITELSON, MARK",TEMPLE UNIVERSITY,PA,"$258,530"
Liver Cancer,2010,NIDDK,5R01DK033765-27,,Cytochrome P450-Endogenous Substrate Metabolism,"WAXMAN, DAVID",BOSTON UNIVERSITY,MA,"$557,729"
Liver Cancer,2010,NIA,5R01AG016927-12,,The Role of Akt in Cell Survival and Cell Growth,"HAY, NISSIM",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$407,215"
Liver Cancer,2010,NCI,5R01CA124488-04,,Cell Penetrating Peptide Inhibitor of FoxM1 in Hepatocellular Carcinoma Treatment,"RAYCHAUDHURI, PRADIP",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$225,787"
Liver Cancer,2010,NIGMS,5R01GM073937-03,,Biodegradable Micelles for Liver-Targeted Gene Delivery,"MAO, HAI-QUAN",JOHNS HOPKINS UNIVERSITY,MD,"$396,339"
Liver Cancer,2010,NIDDK,5R01DK080010-02,,Folate and S-adenosyimethionine in Methyl Group and One-carbon Metabolism,"WAGNER, CONRAD",VANDERBILT UNIVERSITY,TN,"$333,754"
Liver Cancer,2010,NIAID,5R01AI040696-13,,Regulation of HBV Replication by the Immune System,"GUIDOTTI, LUCA",SCRIPPS RESEARCH INSTITUTE,CA,"$469,013"
Liver Cancer,2010,NCI,5R01CA114403-05,,Biliary oxysterols and cholangiocarcinoma,"KUVER, RAHUL",SEATTLE INST FOR BIOMEDICAL/CLINICAL RES,WA,"$212,356"
Liver Cancer,2010,NIAID,5R21AI081058-02,,Intrahepatic IRF-3 and NF-kB Signaling and Interferon Responses in Hepatitis C,"LEMON, STANLEY",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$224,235"
Liver Cancer,2010,NIDDK,5R01DK080789-02,,"Role of Uhrf1 in Liver Development, Regeneration and Carciogenesis","UKOMADU, CHINWEIKE",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$408,198"
Liver Cancer,2010,NCI,5R01CA118165-04,,Role of inflammation in tumor promotion and progression,"KARIN, MICHAEL",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$459,777"
Liver Cancer,2010,NCI,5R01CA121171-05,,Molecular mediators of metastasis in hepatocellular carcinoma,"LEWIS, BRIAN",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,"$280,074"
Liver Cancer,2010,NCI,5R01CA125642-03,,Urine Biomarker Discovery for Early Detection of Liver Cancer,"SU, YING-HSIU",DREXEL UNIVERSITY,PA,"$372,769"
Liver Cancer,2010,NIEHS,5R21ES014911-02,,The role of LXR/RXR heterodimers in arsenic-induced atherosclerosis.,"MANN, KOREN",SIR MORTIMER B. DAVIS JEWISH GEN HOSP,CANADA,"$136,772"
Liver Cancer,2010,NCI,1R01CA143204-01,,"The role of glutaminase 2, a novel p53 target gene in metabolism, in liver cancer","FENG, ZHAOHUI",UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,NJ,"$334,695"
Liver Cancer,2010,NIDDK,5R01DK053804-10,,ErbB Signaling in Liver Ontogeny and Regeneration,"RUSSELL, WILLIAM",VANDERBILT UNIVERSITY,TN,"$364,716"
Liver Cancer,2010,NIAID,1R03AI085226-01,,Development of real time fluorescence-based assays for elucidating HCV entry dyna,"UPRICHARD, SUSAN",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$78,500"
Liver Cancer,2010,NIAID,5R01AI069285-05,,Role of TLR3 Signaling in Control of HCV,"LI, KUI",UNIVERSITY OF TENNESSEE HEALTH SCI CTR,TN,"$251,538"
Liver Cancer,2010,NCI,5R01CA129414-03,,Evaluation of novel FoxM1 inhibitors against liver cancer,"GARTEL, ANDREI",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$325,775"
