Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Liver Cancer,2017,NCI,5R01CA178063-04,,Role of beta-catenin in apoptosis resistance of hepatocellular carcinoma,"RANA, BASABI",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$331,793"
Liver Cancer,2017,NCI,5R03CA191978-02,,Optimization of radiofrequency ablation with electrically conductive particles,"KIM, CHARLES",DUKE UNIVERSITY,NC,"$79,500"
Liver Cancer,2017,NIAAA,1R01AA024169-01A1,,Molecular mechanism of alcohol-associated liver tumor development,"ZHONG, SHUPING",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$371,250"
Liver Cancer,2017,NCI,5R21CA190945-02,,Novel Point-of-Care Tool to Predict Response to Sorafenib in Hepatocellular Carcinoma,"KASEB, AHMED",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,"$208,800"
Liver Cancer,2017,NCI,5R01CA184456-02,,VDAC Regulation of Warburg Metabolism in Hepatocarcinoma,"MALDONADO, EDUARDO",MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,"$341,981"
Liver Cancer,2017,NCI,5R03CA201988-02,,Role of Nucleostemin in Conferring The Drug Resistance of Hepatocellular Carcinoma,"TSAI, ROBERT",TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,TX,"$74,250"
Liver Cancer,2017,NCI,5R01CA175380-04,,FoxM1 in liver cancer.,"RAYCHAUDHURI, PRADIP",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$405,146"
Liver Cancer,2017,NCI,5R01CA181658-03,,MRI-Monitored Delivery of Sorafenib-Eluting Microspheres to Liver Tumors,"LARSON, ANDREW",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$449,254"
Liver Cancer,2017,NIDDK,5R01DK056621-16,,"Hepatic autophagy, Stem cells and Fibrosis","FRIEDMAN, SCOTT",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$381,375"
Liver Cancer,2017,NCI,5R01CA190844-03,,Hepatic Stellate Cells and Liver Cancer,"SCHWABE, ROBERT",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$356,751"
Liver Cancer,2017,NIAAA,5P50AA011999-19,8467,Functional Dissection of EtOH-med Self-renew of Liver Tumor-Int Cells via TLR4,"MACHIDA, KEIGO",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$206,355"
Liver Cancer,2017,NCI,5R01CA172086-04,,PROHIBITIN 1 IN LIVER INJURY AND CANCER,"LU, SHELLY",CEDARS-SINAI MEDICAL CENTER,CA,"$312,404"
Liver Cancer,2017,NCATS,1R21TR001743-01,,Targeting glucose metabolism for the treatment of Hepatocellular Carcinoma,"CHEN, BIN","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$292,022"
Liver Cancer,2017,NCI,5R01CA102325-11,,15-PGDH in Cholangiocarcinogenesis,"WU, TONG",TULANE UNIVERSITY OF LOUISIANA,LA,"$344,269"
Liver Cancer,2017,NIA,5R01AG016927-19,,The Role of Akt in Cell Survival and Cell Growth,"HAY, NISSIM",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$455,327"
Liver Cancer,2017,NCI,5R01CA190776-03,,A New Lab Based Algorithm for HCC Surveillance in Patients with Cirrhosis,"EL-SERAG, HASHEM",BAYLOR COLLEGE OF MEDICINE,TX,"$636,729"
Liver Cancer,2017,NCI,5R01CA193244-07,,Role of microR-122 in Hepatocarcinogenesis using Conditional Knockout Mice,"GHOSHAL, KALPANA",OHIO STATE UNIVERSITY,OH,"$365,750"
Liver Cancer,2017,NIDDK,5R01DK074932-11,,LDL Receptor Related Protein-1 in Metabolic and Cardiovascular Disease,"HUI, DAVID",UNIVERSITY OF CINCINNATI,OH,"$355,500"
Liver Cancer,2017,NCI,1R01CA211794-01,,Role of p62/SQSTM1 in obesity-induced liver cancer,"KARIN, MICHAEL",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$739,996"
Liver Cancer,2017,NIBIB,5R21EB022291-02,,Transarterial Immunomodulatory Embolization: A novel approach to cancer therapy,"AMEER, GUILLERMO",NORTHWESTERN UNIVERSITY,IL,"$188,128"
Liver Cancer,2017,NCI,1UG3CA211232-01,,Smartphone Enabled Point-of-Care Detection of Serum Markers of Liver Cancer,"CHILKOTI, ASHUTOSH",DUKE UNIVERSITY,NC,"$399,986"
Liver Cancer,2017,NCI,5U01CA172320-05,,Evaluation of HCC Response to Systemic Therapy with Quantitative MRI,"TAOULI, BACHIR",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$485,638"
Liver Cancer,2017,NCI,1UG3CA211551-01,,Field-deployable platform for prognostic hepatic cancer screening in low-resource settings,"PORTER, MARC",UNIVERSITY OF UTAH,UT,"$399,914"
