Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Liver Cancer,2008,NCI,4R37CA053394-17,,Mechanism of action of the v-erb A oncogene of AEV.,"PRIVALSKY, MARTIN",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$300,645"
Liver Cancer,2008,NCI,5R01CA082723-09,,K Vitamins- A New Class of Liver Cell Growth Inhibitors,"CARR, BRIAN",THOMAS JEFFERSON UNIVERSITY,PA,"$263,832"
Liver Cancer,2008,NIAID,2R01AI020001-25,,Pathogenesis of Liver Disease in Hepatitis,"CHISARI, FRANCIS",SCRIPPS RESEARCH INSTITUTE,CA,"$685,357"
Liver Cancer,2008,NIEHS,5F32ES014777-02,,Role of estrogen receptor beta in cancer prevention by dietary indole-3-carbinol,"BENNINGHOFF, ABBY",OREGON STATE UNIVERSITY,OR,"$24,398"
Liver Cancer,2008,NIAID,5R01AI064844-03,,Role of Hepatitis B virus X protein in HBV replication.,"BOUCHARD, MICHAEL",DREXEL UNIVERSITY,PA,"$315,019"
Liver Cancer,2008,NIEHS,5R01ES007800-12,,Ah Receptor Anatomy: Implications for Dioxin Toxicity,"ELFERINK, CORNELIS",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$330,706"
Liver Cancer,2008,NCI,5R01CA124648-02,,An integrative approach to cancer gene discovery in hepatocellular carcinoma,"POWERS, SCOTT",COLD SPRING HARBOR LABORATORY,NY,"$419,084"
Liver Cancer,2008,NIDDK,5R01DK048252-15,,Pathophysiology of Distal Tyrosine Pathway Disorders,"GROMPE, MARKUS",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$308,500"
Liver Cancer,2008,NCI,5R01CA102325-04,,"cPLA2, COX-2 and PPAR-gamma in Cholangiocarcinoma","WU, TONG",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$224,802"
Liver Cancer,2008,NCI,5F32CA111040-03,,Modulation of Hepatic N-Myristoyltransferases by Dioxins,"WORMKE, MARK",NATL RESEARCH CTR/ENVIRONMENT & HEALTH,GERM,"$45,048"
Liver Cancer,2008,NCI,5R01CA106280-04,,Prostaglandin Signaling Pathway in Liver Cancer,"WU, TONG",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$224,802"
Liver Cancer,2008,NIGMS,5R01GM031555-25,,Factors in the Prevention of Toxic Liver Injury,"BOYER, THOMAS",UNIVERSITY OF ARIZONA,AZ,"$343,622"
Liver Cancer,2008,NICHD,5R01HD035831-09,,Nutritional Regulation of Fetal Liver Development,"GRUPPUSO, PHILIP","RHODE ISLAND HOSPITAL (PROVIDENCE, RI)",RI,"$225,382"
Liver Cancer,2008,NIDDK,5R01DK062277-05,,Role of Wnt/Beta-Catenin Signaling in Liver Development,"MONGA, SATDARSHAN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$218,911"
Liver Cancer,2008,NCI,5R01CA039416-23,,Molecular Mechanisms of Chemoprevention: Dithiolethiones,"KENSLER, THOMAS",JOHNS HOPKINS UNIVERSITY,MD,"$502,144"
Liver Cancer,2008,NCI,5R01CA083650-09,,ALTERED GROWTH FACTOR PATHWAYS IN BILIARY CANCER,"SIRICA, ALPHONSE",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$302,232"
Liver Cancer,2008,NIAID,5R01AI030070-16,,Regulation of Hepatitis B Virus Transcription,"MCLACHLAN, ALAN",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$512,408"
Liver Cancer,2008,NCI,5R01CA100908-04,,Role of Kupffer Cell in Hepatic Carcinogenesis,"KLAUNIG, JAMES",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$226,529"
Liver Cancer,2008,NCI,5R01CA076183-06,,Targeting diffuse liver metastases with Herpes virus,"TANABE, KENNETH",MASSACHUSETTS GENERAL HOSPITAL,MA,"$375,113"
Liver Cancer,2008,NCI,5R01CA114403-03,,Biliary oxysterols and cholangiocarcinoma,"KUVER, RAHUL",SEATTLE INST FOR BIOMEDICAL/CLINICAL RES,WA,"$212,356"
Liver Cancer,2008,NCI,5R37CA023226-37,,GENE EXPRESSION IN REGENERATING AND NEOPLASTIC LIVERS,"FAUSTO, NELSON",UNIVERSITY OF WASHINGTON,WA,"$378,690"
Liver Cancer,2008,NCI,5R01CA111355-04,,Low birth weight & other risk factors for hepatoblastoma,"SPECTOR, LOGAN",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$492,347"
Liver Cancer,2008,NIEHS,1R01ES016313-01,,The Environment as a Variable to Calibrate Mouse Models of Human Disease,"ESSIGMANN, JOHN",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,"$544,391"
Liver Cancer,2008,NCI,5R01CA115625-02,,Proteomic Analysis of Serum in Liver Cancer,"GOLDMAN, RADOSLAV",GEORGETOWN UNIVERSITY,DC,"$340,569"
Liver Cancer,2008,NIAID,1R21AI076706-01,,Impact of NK Cell Immune Pressures on HCV Evolution and Viral Fitness,"ALTFELD, MARCUS",MASSACHUSETTS GENERAL HOSPITAL,MA,"$263,250"
Liver Cancer,2008,NIDDK,2R01DK063947-06,,Organelle Dysfunction and Apoptosis in Liver Epithelia,"GORES, GREGORY","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$288,979"
Liver Cancer,2008,NIDDK,5R03DK077707-02,,Early Detection and Prognosis of Patients with Hepatocellular Carcinoma,"MARRERO, JORGE",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$74,480"
Liver Cancer,2008,NCI,5R01CA109733-04,,Molecular Target(s) for Interruption of HBV Infection,"LI, JISU","RHODE ISLAND HOSPITAL (PROVIDENCE, RI)",RI,"$214,052"
Liver Cancer,2008,NCI,5R37CA081301-10,,Metabolism of Carcinogenic Tobacco-Specific Nitrosamines,"HECHT, STEPHEN",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$477,962"
Liver Cancer,2008,NCI,5R01CA121171-03,,Molecular mediators of metastasis in hepatocellular carcinoma,"LEWIS, BRIAN",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,"$280,074"
Liver Cancer,2008,NIAID,5R21AI067455-02,,Resolution of Acute Hepatitis B Virus Infections in Chimpanzees,"LANFORD, ROBERT",SOUTHWEST FOUNDATION FOR BIOMEDICAL RES,TX,"$222,579"
Liver Cancer,2008,NIAID,5R01AI069285-02,,Role of TLR3 Signaling in Control of HCV,"LI, KUI",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$126,887"
Liver Cancer,2008,NCI,5R03CA119313-02,,Novel Machine Learning Methods for Analysis of MALDI-TOF Mass Spectrometry Data,"RESSOM, HABTOM",GEORGETOWN UNIVERSITY,DC,"$77,600"
Liver Cancer,2008,NCI,5R01CA103958-05,,HGF and Signaling Pathways in Hepatic Tissue Assembly,"MICHALOPOULOS, GEORGE",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$282,995"
Liver Cancer,2008,NIDDK,5R01DK066939-05,,Modulation of HCV Gene Expression,"BRANCH, ANDREA",MOUNT SINAI SCHOOL OF MEDICINE OF NYU,NY,"$370,132"
Liver Cancer,2008,NCI,5R01CA102575-04,,Mechanism of gallbladder tumorigenesis in BK5.erbB2 mice,"KIGUCHI, KAORU",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$224,720"
Liver Cancer,2008,NCI,1R01CA126807-01A1,,HCV genetic variation and hepatocellular carcinoma,"TAVIS, JOHN",SAINT LOUIS UNIVERSITY,MO,"$274,523"
Liver Cancer,2008,NCI,5R37CA090426-08,,Metabolism of Carcinogens and Drugs by Human P450s,"GUENGERICH, F",VANDERBILT UNIVERSITY,TN,"$353,556"
