Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Lung Cancer,2011,NCI,1K22CA140719-01A1,,Asymmetric Cell Division and Notch Signaling in Lung Cancer Stem Cells,"PINE, SHARON",UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,NJ,"$179,582"
Lung Cancer,2011,NCI,5R01CA077429-12,,Basis for Lymphomagenesis in Akt2 Transgenic Mice,"TESTA, JOSEPH",FOX CHASE CANCER CENTER,PA,"$419,987"
Lung Cancer,2011,NCI,5R01CA078814-13,,New Triterpenoids for Chemoprevention and Therapy of Cancer,"SPORN, MICHAEL",DARTMOUTH COLLEGE,NH,"$340,825"
Lung Cancer,2011,NCI,5R01CA127580-04,,Molecular Mechanisms of EGF Signaling & Iressa/Tarceva Inhibition in NSCLC,"ANDERSON, KAREN",YALE UNIVERSITY,CT,"$314,248"
Lung Cancer,2011,NIEHS,5R01ES015339-05,,Protein Kinase Signaling and Cell Cycle Control,"YAFFE, MICHAEL",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,"$344,968"
Lung Cancer,2011,NCI,2R01CA120528-06,,Validation of Prognostic and Diagnostic Molecular Tests in Mesothelioma,"BUENO, RAPHAEL",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$343,781"
Lung Cancer,2011,NCI,5R01CA127105-04,,FGF-2 Autocrine Signaling in Lung Cancer,"HEASLEY, LYNN",UNIVERSITY OF COLORADO DENVER,CO,"$303,684"
Lung Cancer,2011,NIAID,5R01AI073919-05,,Helicase Regulation of dsRNA Signaling and Innate Antiviral Immune Responses,"HORVATH, CURT",NORTHWESTERN UNIVERSITY,IL,"$378,146"
Lung Cancer,2011,NCI,5R01CA116527-05,,Role of JNK Pathway in Lung Tumorigenesis,"HEASLEY, LYNN",UNIVERSITY OF COLORADO DENVER,CO,"$247,478"
Lung Cancer,2011,NCI,5R01CA118015-04,,Role of PP2A in Lung Cancer,"WALTER, GERNOT",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$310,970"
Lung Cancer,2011,NCI,5R01CA125541-05,,Studies of a Novel Therapeutic Target in Non-Small Cell Lung Cancer (NSCLC),"SALGIA, RAVI",UNIVERSITY OF CHICAGO,IL,"$254,610"
