Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Lung Cancer,2008,NCI,1R43CA114924-01A2,,Nanoparticles for the Treatment of Lung Cancer,"CHADA, SUNIL","INTROGEN RESEARCH INSTITUTE, INC.",TX,"$234,382"
Lung Cancer,2008,NIEHS,5F32ES014777-02,,Role of estrogen receptor beta in cancer prevention by dietary indole-3-carbinol,"BENNINGHOFF, ABBY",OREGON STATE UNIVERSITY,OR,"$24,398"
Lung Cancer,2008,NCI,5R01CA115707-02,,Targeting Notch3 in Lung Cancer,"DANG, THAO",VANDERBILT UNIVERSITY,TN,"$262,485"
Lung Cancer,2008,NCI,5R01CA107972-04,,Survival Signaling After Genotoxic Insult,"CERYAK, SUSAN",GEORGE WASHINGTON UNIVERSITY,DC,"$237,918"
Lung Cancer,2008,NIEHS,5R01ES012720-04,,Gonadal vs. Genomic Influences on Xenobiotic Metabolism,"VAN WINKLE, LAURA",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$234,813"
Lung Cancer,2008,NCI,5R01CA120174-02,,Lung Epithelial-Mesenchymal Interactions in Adenocarcinoma Invasion,"POWELL, CHARLES",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$410,977"
Lung Cancer,2008,NIGMS,5R01GM076343-03,,Structural Basis of Cytochrome P450 2A13 Activity,"SCOTT, EMILY",UNIVERSITY OF KANSAS LAWRENCE,KS,"$270,737"
Lung Cancer,2008,NCI,5R01CA112183-04,,Nicotine/NNK Signaling in Human Lung Cancer Cells,"DENG, XINGMING",UNIVERSITY OF FLORIDA,FL,"$217,978"
Lung Cancer,2008,NCI,5R01CA113793-03,,Chemoprevention with mTOR & Farnesyltransferase Inhibitors,"YOU, MING",WASHINGTON UNIVERSITY,MO,"$261,976"
Lung Cancer,2008,NIDCR,7R01DE013123-07,,Genomic Scanning for Genetic and Epigenetic alterations in head and neck cancer,"PLASS, CHRISTOPH",GERMAN CANCER RESEARCH CENTER,GERM,"$189,470"
Lung Cancer,2008,NIEHS,5R01ES006717-12,,Biomarkers of Lung Cancer Susceptibility in Minorities,"WIENCKE, JOHN",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$1,384,656"
Lung Cancer,2008,NCI,5R01CA105155-05,,Kinase Signaling in Lung Tumorigenesis,"KURIE, JONATHAN",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$234,808"
Lung Cancer,2008,NCI,5R01CA112405-04,,A Molecular Basis for Neuroendocrine Carcinogenesis,"GRIMES, H",CHILDREN'S HOSPITAL MED CTR (CINCINNATI),OH,"$233,253"
Lung Cancer,2008,NCI,5R01CA125541-02,,Studies of a Novel Therapeutic Target in Non-Small Cell Lung Cancer (NSCLC),"SALGIA, RAVI",UNIVERSITY OF CHICAGO,IL,"$262,485"
Lung Cancer,2008,NCI,5R01CA058554-14,,Molecular genetics of Mouse Lung Tumors,"YOU, MING",WASHINGTON UNIVERSITY,MO,"$248,200"
Lung Cancer,2008,NCI,5R01CA120409-03,,Immunotherapy of mesothelin expressing tumors with lentiviral engineered T cells,"JUNE, CARL",UNIVERSITY OF PENNSYLVANIA,PA,"$266,186"
Lung Cancer,2008,NCI,5R01CA113519-03,,Targeting TGF-beta Signaling in Lung Cancer,"DATTA, PRAN",VANDERBILT UNIVERSITY,TN,"$238,105"
Lung Cancer,2008,NCI,5R01CA112278-04,,Glycoside Inhibitors of Tumor Metastasis,"ESKO, JEFFREY",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$279,017"
Lung Cancer,2008,NCI,5R01CA106815-05,,Lung cancer molecular markers by sex: intergroup study,"AMBROSONE, CHRISTINE",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$559,505"
Lung Cancer,2008,NCI,5R01CA119028-04,,Mechanisms of As-Induced Carcinogenesis,"SHI, XIANGLIN",UNIVERSITY OF KENTUCKY,KY,"$227,247"
Lung Cancer,2008,NCI,5R01CA104397-05,,Role of IKK in NSCLC Modulation of SMRT and NF-kappab,"MAYO, MARTY",UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,VA,"$264,670"
Lung Cancer,2008,NCI,5R01CA112385-04,,Pharmacodynamic Assessment of RTK Inhibitors in Cancer,"HALLAHAN, DENNIS",VANDERBILT UNIVERSITY,TN,"$258,707"
Lung Cancer,2008,NCI,5R01CA084354-07,,Genetic Determinants of Lung Cancer Survival,"YANG, PING","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$339,822"
Lung Cancer,2008,NCI,2P01CA087971-06A1,0005,Enhancing Direct Tumor Cell Cytotoxicity By Manipulating Growth Factor Signaling,"HAHN, STEPHEN",UNIVERSITY OF PENNSYLVANIA,PA,"$200,411"
Lung Cancer,2008,NCI,2P01CA087971-06A1,0008,PDT for NSCLC with pleural carcinomatosis,"FRIEDBERG, JOSEPH",UNIVERSITY OF PENNSYLVANIA,PA,"$157,808"
Lung Cancer,2008,NCI,2P01CA087971-06A1,9003,Biostatistics and Data Coordinating Core (BDCC),"PUTT, MARY",UNIVERSITY OF PENNSYLVANIA,PA,"$176,468"
Lung Cancer,2008,NCI,5R01CA116020-03,,Inhibitor-sensitive and -resistant EGFR mutants from lung cancer and glioblastoma,"MEYERSON, MATTHEW",DANA-FARBER CANCER INSTITUTE,MA,"$326,489"
Lung Cancer,2008,NCI,5R01CA107510-05,,The Role of p53 and 14-3-3 in Genomic Instability,"MARTINEZ, JESSE",UNIVERSITY OF ARIZONA,AZ,"$264,158"
Lung Cancer,2008,NCI,5R01CA106314-05,,Roles of DMP1 in Ras signaling and lung cancer,"INOUE, KAZUSHI",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$251,038"
Lung Cancer,2008,NCI,5R01CA116697-02,,Oxidative Stress in Cr(VI)-induced Carcinogenesis,"SHI, XIANGLIN",UNIVERSITY OF KENTUCKY,KY,"$278,350"
Lung Cancer,2008,NCI,5R01CA033497-24,,Lung Tumor Promotion by BHT,"MALKINSON, ALVIN",UNIVERSITY OF COLORADO DENVER,CO,"$326,580"
Lung Cancer,2008,NCI,5R01CA113559-03,,The function of RhoBTB proteins,"SOLTOFF, STEPHEN",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$293,000"
Lung Cancer,2008,NCI,5R01CA039566-23,,Labeled Thymidine -- Development as A PET Imaging Agent,"SHIELDS, ANTHONY",WAYNE STATE UNIVERSITY,MI,"$322,173"
Lung Cancer,2008,NCI,1R01CA132012-01,,Nanoimmunoliposome-Complexed SPIO: Tumor-Specific Detection of Early Lung Cancer,"CHANG, ESTHER",GEORGETOWN UNIVERSITY,DC,"$614,637"
Lung Cancer,2008,NCI,5R01CA111851-03,,Novel COX-2 and PGE2-dependent pathways in lung cancer,"DUBINETT, STEVEN",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$239,656"
Lung Cancer,2008,NCI,5R01CA111766-03,,Molecular Targeting of Drug Delivery System to Cancer,"MINKO, TAMARA",RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK,NJ,"$266,286"
Lung Cancer,2008,NCI,5R01CA121182-02,,Stat3 in EGFR Driven Non-Small Cell Lung Cancer,"HAURA, ERIC",H. LEE MOFFITT CANCER CTR & RES INST,FL,"$315,400"
Lung Cancer,2008,NCI,5R37CA081301-10,,Metabolism of Carcinogenic Tobacco-Specific Nitrosamines,"HECHT, STEPHEN",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$477,962"
Lung Cancer,2008,NIEHS,5R01ES008801-08,,Tumor Suppressor Gene Methylation in Lung Adenocarcinoma,"BELINSKY, STEVEN",LOVELACE BIOMEDICAL & ENVIRONMENTAL RES,NM,"$604,386"
Lung Cancer,2008,NCI,1R01CA122474-01A2,,Mechanistic Studies on Lung Cancer Prevention by Tea Polyphenols,"YANG, CHUNG",RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK,NJ,"$319,457"
Lung Cancer,2008,NCI,2R01CA095568-06,,Biomarkers to Assess Selenium Chemoprevention for NSCLC,"BELINSKY, STEVEN",LOVELACE BIOMEDICAL & ENVIRONMENTAL RES,NM,"$661,128"
Lung Cancer,2008,NCI,5R01CA116527-02,,Role of JNK Pathway in Lung Tumorigenesis,"HEASLEY, LYNN",UNIVERSITY OF COLORADO DENVER,CO,"$255,132"
Lung Cancer,2008,NCI,5R01CA107264-05,,FLT PET to Plan the Best Therapy for Lung Cancer,"VESSELLE, HUBERT",UNIVERSITY OF WASHINGTON,WA,"$412,936"
Lung Cancer,2008,NIDCR,2R01DE014173-07A1,,EPITHELIAL ACETYLCHOLINE IN ORAL BIOLOGY AND PATHOLOGY,"GRANDO, SERGEI",UNIVERSITY OF CALIFORNIA IRVINE,CA,"$369,813"
