Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Lymphoma,2011,NIDCR,5F31DE019599-03,,Early events in infection of epithelial cells with Epstein-Barr Virus,"VALENCIA, SARAH",LOUISIANA STATE UNIV HSC SHREVEPORT,LA,"$27,059"
Lymphoma,2011,NCI,5R01CA131354-03,,Inhibitors of Epstein-Barr Virus Nuclear Protein 1 Mediated Latent Infection,"KIEFF, ELLIOTT",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$358,438"
Lymphoma,2011,NCI,5R01CA096856-08,,Novel role of STAT3 in NPM/ALK-induced oncogenesis,"WASIK, MARIUSZ",UNIVERSITY OF PENNSYLVANIA,PA,"$290,381"
Lymphoma,2011,NCI,5R01CA077429-12,,Basis for Lymphomagenesis in Akt2 Transgenic Mice,"TESTA, JOSEPH",FOX CHASE CANCER CENTER,PA,"$419,987"
Lymphoma,2011,NCI,5R01CA129330-03,,Origin of CD5+ B cell Lymphoma/Leukemia in Mice,"HAYAKAWA, KYOKO",INSTITUTE FOR CANCER RESEARCH,PA,"$351,225"
Lymphoma,2011,NCI,5R01CA100603-09,,Regulation and Role of Ornithine Decarboxylase in Cell Proliferation and Cancer,"CLEVELAND, JOHN",SCRIPPS RESEARCH INSTITUTE,CA,"$417,344"
Lymphoma,2011,NCI,4R37CA031845-31,,Synthetic Studies Related to Cancer Research/Treatment,"WENDER, PAUL",STANFORD UNIVERSITY,CA,"$423,345"
Lymphoma,2011,NCI,5R01CA052004-22,,Control of Gammaherpesvirus Replication,"SPECK, SAMUEL",EMORY UNIVERSITY,GA,"$310,549"
Lymphoma,2011,NCI,5R01CA138891-02,,In vivo targeting of hematopoetic cells with glycan ligands of siglecs,"PAULSON, JAMES",SCRIPPS RESEARCH INSTITUTE,CA,"$384,203"
Lymphoma,2011,NCI,5R01CA124621-06,,Role of Arsenic Trioxide in Primary Effusion Lymphoma,"CHAUDHARY, PREET",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$298,566"
Lymphoma,2011,NCI,5R21CA141275-02,,Characterizing Clonogenic Populations in Mantle Cell Lymphoma,"MCCARTY, NAMI",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,"$189,878"
Lymphoma,2011,NCI,5R01CA139389-02,,Lymphoma Therapy with Reprogrammed Measles Viruses,"CATTANEO, ROBERTO",MAYO CLINIC,MN,"$304,127"
Lymphoma,2011,NIAID,5R01AI065529-05,,Regulatory Networks of Helicobacter pylori,"MERRELL, D",HENRY M. JACKSON FDN FOR THE ADV MIL/MED,MD,"$367,285"
Lymphoma,2011,NIAID,5R01AI079732-09,,Accessibility Control of Antigen Receptor Gene Assembly,"OLTZ, EUGENE",WASHINGTON UNIVERSITY,MO,"$372,438"
Lymphoma,2011,NCI,5R01CA116093-05,,Effects of human SWI/SNF-associated PRMT5 on lymphomagenesis,"SIF, SAID",OHIO STATE UNIVERSITY,OH,"$248,805"
