Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Lymphoma,2010,NCI,5R01CA076287-12,,Pretargeted Radioimmunotherapy of CD20+ Lymphomas,"PRESS, OLIVER",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$364,467"
Lymphoma,2010,NCI,7R01CA116093-04,,Effects of human SWI/SNF-associated PRMT5 on lymphomagenesis,"SIF, SAID",OHIO STATE UNIVERSITY,OH,"$256,500"
Lymphoma,2010,NIAID,5R01AI079732-08,,Accessibility Control of Antigen Receptor Gene Assembly,"OLTZ, EUGENE",WASHINGTON UNIVERSITY,MO,"$376,200"
Lymphoma,2010,NCI,5R01CA100603-08,,Regulation and Role of Ornithine Decarboxylase in Cell Proliferation and Cancer,"CLEVELAND, JOHN",SCRIPPS RESEARCH INSTITUTE,CA,"$422,647"
Lymphoma,2010,NCI,5R01CA077429-11,,Basis for Lymphomagenesis in Akt2 Transgenic Mice,"TESTA, JOSEPH",FOX CHASE CANCER CENTER,PA,"$452,084"
Lymphoma,2010,NCI,5R01CA124621-04,,Role of Arsenic Trioxide in Primary Effusion Lymphoma,"CHAUDHARY, PREET",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$12,225"
Lymphoma,2010,NCI,5R01CA031534-26,,MAR Mediated Control of The IgH Enhancer,"TUCKER, PHILIP",UNIVERSITY OF TEXAS AUSTIN,TX,"$257,359"
Lymphoma,2010,NCI,5R01CA096856-07,,Novel role of STAT3 in NPM/ALK-induced oncogenesis,"WASIK, MARIUSZ",UNIVERSITY OF PENNSYLVANIA,PA,"$299,362"
Lymphoma,2010,NCI,5R01CA078384-12,,E2A as a Tumor Suppressor,"MURRE, CORNELIS",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$410,326"
Lymphoma,2010,NCI,5R01CA131354-02,,Inhibitors of Epstein-Barr Virus Nuclear Protein 1 Mediated Latent Infection,"KIEFF, ELLIOTT",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$369,350"
Lymphoma,2010,NCI,5R21CA133781-02,,DNA Damage Responses in B Cell Development,"MANIS, JOHN",CHILDREN'S HOSPITAL BOSTON,MA,"$186,235"
Lymphoma,2010,NCI,5R01CA073507-13,,In Vivo Model of Epstein-Barr Virus Latency,"LONGNECKER, RICHARD",NORTHWESTERN UNIVERSITY,IL,"$499,500"
Lymphoma,2010,NCI,5R01CA137894-02,,EBV Antigen and Cell Cycle Regulation,"ROBERTSON, ERLE",UNIVERSITY OF PENNSYLVANIA,PA,"$294,131"
Lymphoma,2010,NCI,5R01CA122539-03,,Lymphoproliferative Disorders in Primary Immunodeficiencies,"ROUTES, JOHN",MEDICAL COLLEGE OF WISCONSIN,WI,"$314,363"
Lymphoma,2010,NIDDK,5K01DK080894-03,,DNA EXCHANGE DURING STOMACH COLONIZATION BY HELICOBACTER PYLORI,"DORER, MARION",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$102,604"
