Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Lymphoma,2008,NIAID,1K22AI070317-01A1,,Essential role of transcription factor Foxp1 in B cell development and function,"HU, HUI",WISTAR INSTITUTE,PA,"$162,000"
Lymphoma,2008,NCI,4R37CA054281-16,,Multiethnic Cohort Study of Diet and Cancer,"KOLONEL, LAURENCE",UNIVERSITY OF HAWAII AT MANOA,HI,"$2,292,128"
Lymphoma,2008,NCI,4R37CA042245-23,,Regulation of replication and latency EBV EBNAs,"HAYWARD, S",JOHNS HOPKINS UNIVERSITY,MD,"$367,373"
Lymphoma,2008,NCI,5F31CA126523-02,,Contributions of Epstein-Barr Virus EBNA2 and EBNA-LP to B cell immortalization,"ECHENDU, CHISAROKA",BAYLOR COLLEGE OF MEDICINE,TX,"$35,140"
Lymphoma,2008,NIAID,5R01AI058057-05,,Function of the gammaHV68 M2 Antigen,"SPECK, SAMUEL",EMORY UNIVERSITY,GA,"$353,697"
Lymphoma,2008,NIEHS,5F32ES014777-02,,Role of estrogen receptor beta in cancer prevention by dietary indole-3-carbinol,"BENNINGHOFF, ABBY",OREGON STATE UNIVERSITY,OR,"$24,398"
Lymphoma,2008,NIAID,5R01AI057947-05,,IKK Signals in Lymphocyte Physiology and Pathology,"RAJEWSKY, KLAUS","IMMUNE DISEASE INSTITUTE, INC.",MA,"$439,502"
Lymphoma,2008,NIGMS,5R37GM032741-26,,INTRACHROMOSOMAL RECOMBINATION IN MAMMALIAN CELLS,"LISKAY, R",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$354,186"
Lymphoma,2008,NCI,5R01CA100925-04,,Role of P80 pro-IL-16 in T Cell Malignancy,"ZHANG, YUJUN",BOSTON UNIVERSITY MEDICAL CAMPUS,MA,"$282,526"
Lymphoma,2008,NCI,5R01CA116093-02,,Effects of human SWI/SNF-associated PRMT5 on lymphomagenesis,"SIF, SAID",OHIO STATE UNIVERSITY,OH,"$256,500"
Lymphoma,2008,NCI,5R01CA124621-02,,Role of Arsenic Trioxide in Primary Effusion Lymphoma,"CHAUDHARY, PREET",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$278,353"
Lymphoma,2008,NIAID,1R13AI075650-01,,Keystone Symposium on Lymphocyte Activation and Signaling,"ROBERTSON, ANDREW",KEYSTONE SYMPOSIA,CO,"$10,000"
Lymphoma,2008,NCI,5R01CA100266-03,,Tumor Suppressors in Lymphocytes,"WABL, MATTHIAS",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$265,854"
Lymphoma,2008,NCI,5R01CA106662-04,,Dendritic Cell Threapy for Cutaneous T-Cell Lymphoma,"FALO, LOUIS",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$288,651"
Lymphoma,2008,NCI,5R01CA036327-25,,N-Ras Signaling in Tumorigenesis and Physiology,"PELLICER, ANGEL",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$458,935"
Lymphoma,2008,NIAID,5R01AI063058-04,,Roles of the Artemis nuclease in DNA repair and disease,"SEKIGUCHI, JOANN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$279,700"
Lymphoma,2008,NIAID,5R01AI063345-03,,Trophic Regulation in T Cell Homeostasis and Disease,"RATHMELL, JEFFREY",DUKE UNIVERSITY,NC,"$371,495"
