Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Lymphoma,2009,NCI,5R01CA113969-05,,RhoH GTPase in Hematopoiesis and Cancer,"WILLIAMS, DAVID",CHILDREN'S HOSPITAL BOSTON,MA,"$318,664"
Lymphoma,2009,NIAID,9R01AI079732-06,,Accessibility Control of Antigen Receptor Gene Assembly,"OLTZ, EUGENE",VANDERBILT UNIVERSITY,TN,"$208,750"
Lymphoma,2009,NIGMS,5R37GM032741-27,,INTRACHROMOSOMAL RECOMBINATION IN MAMMALIAN CELLS,"LISKAY, ROBERT",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$364,729"
Lymphoma,2009,NCI,5R01CA116093-03,,Effects of human SWI/SNF-associated PRMT5 on lymphomagenesis,"SIF, SAID",OHIO STATE UNIVERSITY,OH,"$256,500"
Lymphoma,2009,NCI,5R01CA124621-03,,Role of Arsenic Trioxide in Primary Effusion Lymphoma,"CHAUDHARY, PREET",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$278,239"
Lymphoma,2009,NCI,5F32CA123777-04,,Understanding the Role of Autophagy in Cancer,"DORSEY, FRANK",SCRIPPS RESEARCH INSTITUTE,CA,"$53,354"
Lymphoma,2009,NIAID,5K22AI070317-02,,Essential role of transcription factor Foxp1 in B cell development and function,"HU, HUI",WISTAR INSTITUTE,PA,"$108,000"
Lymphoma,2009,NIAID,5R21AI073627-02,,Novel Carrier for Polysaccharide Conjugates and an EBV Vaccine,"SNAPPER, CLIFFORD",HENRY M. JACKSON FDN FOR THE ADV MIL/MED,MD,"$230,850"
Lymphoma,2009,NCI,5R01CA084069-10,,Mechanisms of Cell Cycle Associated Neoplasia,"CLURMAN, BRUCE",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$348,574"
Lymphoma,2009,NIAID,5R01AI018757-27,,Host Immunity to EBV Infection in Vitro and in VIvo,"THORLEY-LAWSON, DAVID",TUFTS UNIVERSITY BOSTON,MA,"$411,979"
Lymphoma,2009,NCI,5R01CA033192-22,,Transformation by Reticuloendotheliosis Virus,"BOSE, HENRY",UNIVERSITY OF TEXAS AUSTIN,TX,"$302,402"
Lymphoma,2009,NCI,5R01CA076287-11,,Pretargeted Radioimmunotherapy of CD20+ Lymphomas,"PRESS, OLIVER",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$364,467"
Lymphoma,2009,NIAID,5R01AI063345-04,,Trophic Regulation in T Cell Homeostasis and Disease,"RATHMELL, JEFFREY",DUKE UNIVERSITY,NC,"$371,495"
Lymphoma,2009,NCI,5R01CA122539-02,,Lymphoproliferative Disorders in Primary Immunodeficiencies,"ROUTES, JOHN",MEDICAL COLLEGE OF WISCONSIN,WI,"$314,363"
