Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Neuroblastoma,2017,NINDS,1R01NS094218-01A1,,Focal Sustained Release Chemotherapy-Loaded Biomaterials at Tumor Sites,"KAPLAN, DAVID",TUFTS UNIVERSITY MEDFORD,MA,"$355,019"
Neuroblastoma,2017,NCI,5R21CA187548-02,,Second generation MIBG analogs that cotarget DNA for high risk neuroblastoma,"BARANOWSKA-KORTYLEWICZ, JANINA",UNIVERSITY OF NEBRASKA MEDICAL CENTER,NE,"$163,669"
Neuroblastoma,2017,NCI,5P01CA094237-15,7520,VACCINATION TO ENHANCE T CELL IMMUNOTHERAPY,"HESLOP, HELEN",BAYLOR COLLEGE OF MEDICINE,TX,"$295,519"
Neuroblastoma,2017,NCI,5P01CA094237-15,7522,ENGINEERING T CELLS FOR PANCREATIC CANCER,"HESLOP, HELEN",BAYLOR COLLEGE OF MEDICINE,TX,"$254,484"
Neuroblastoma,2017,NCI,5P01CA094237-15,7530,CHIMERIC T CELLS TARGETING NEUROBLASTOMA,"HESLOP, HELEN",BAYLOR COLLEGE OF MEDICINE,TX,"$295,506"
Neuroblastoma,2017,NCI,5P30CA008748-51,7572,Research Pharmacy,"MULLER, RAYMOND",SLOAN-KETTERING INST CAN RESEARCH,NY,"$239,419"
Neuroblastoma,2017,NCI,1R01CA211328-01,,Regulation of the LIN28/let-7 pathway in cancer,"GREGORY, RICHARD",BOSTON CHILDREN'S HOSPITAL,MA,"$404,888"
Neuroblastoma,2017,NCI,1R01CA204093-01A1,,A First-in-Human Pilot Study of 18F-MFBG Imaging for Evaluation of Neuroblastoma,"PANDIT-TASKAR, NEETA",SLOAN-KETTERING INST CAN RESEARCH,NY,"$392,078"
Neuroblastoma,2017,NCI,5P30CA021765-38,6709,Early Phase Clinical Research Support,"GILBERTSON, RICHARD",ST. JUDE CHILDREN'S RESEARCH HOSPITAL,TN,"$256,191"
Neuroblastoma,2017,NCI,5P30CA014089-42,5251,Core-009,"GRUBER, STEPHEN",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$570,611"
Neuroblastoma,2017,NCI,5R01CA180692-03,,Role of LMO1 in Neuroblastoma Initiation and Maintenance,"MARIS, JOHN",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$606,838"
Neuroblastoma,2017,NCI,5R01CA197336-02,,Transcriptional CDKs as therapeutic targets in MYC-dependent cancers,"GEORGE, RANI",DANA-FARBER CANCER INST,MA,"$407,748"
Neuroblastoma,2017,NCI,5K08CA194162-03,,The Role of LIN28B Signaling in Mediating the Oncogenic Phenotype in Neuroblas,"SCHNEPP, ROBERT",EMORY UNIVERSITY,GA,"$168,264"
Neuroblastoma,2017,NCI,5R01CA197903-02,,Molecular Characteristics of Treatment-resistant High-risk Neuroblastoma,"ZHONG, JOHN",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$378,357"
Neuroblastoma,2017,NCI,5K99CA197484-02,,Identification of novel cooperating partners of MYCN in neuroblastoma tumorigenesis,"HUANG, MILLER","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$160,773"
Neuroblastoma,2017,NCI,5R01CA172067-06,,Optimizing 131I-mIBG Therapy for Children with Advanced Neuroblastoma,"DUBOIS, STEVEN",DANA-FARBER CANCER INST,MA,"$363,425"
Neuroblastoma,2017,NCI,5R01CA116548-12,,THE INITIATION AND REGULATION OF INFLAMMATION IN NEUROBLASTOMA,"METELITSA, LEONID",BAYLOR COLLEGE OF MEDICINE,TX,"$249,637"
Neuroblastoma,2017,NINDS,5R01NS088355-03,,Targeting BET-bromodomains in neuroblastoma,"WEISS, WILLIAM","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$675,172"
Neuroblastoma,2017,NCI,5R01CA166749-06,,The Role of Growth Factor Receptor Trafficking in Tumorigenesis,"ZAGE, PETER",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$315,213"
Neuroblastoma,2017,NIDDK,5R01DK061470-14,,Surgical Studies on the Role on Gastrin-releasing Peptide in Neuroblastoma,"CHUNG, DAI",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,"$409,278"
Neuroblastoma,2017,NCI,5R01CA124709-10,,The Genetic Basis of Neuroblastoma Tumorigenesis,"MARIS, JOHN",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$614,290"
Neuroblastoma,2017,NCI,5R01CA193890-03,,HAUSP inhibitors in p53-wild type and p53-mutant tumors,"GU, WEI",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$366,000"
Neuroblastoma,2017,NIA,5R21AG052195-02,,Screening for enhancers of sAPPalpha,"JOHN, VARGHESE",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$192,500"
Neuroblastoma,2017,NCI,5U10CA180884-04,,COG NCTN Solid Malignancy Integrated Translational Science Center,"ADAMSON, PETER",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$400,000"
Neuroblastoma,2017,NCI,5R01CA140198-09,,Targeting Oncogenic ALK Signaling in Neuroblastoma,"MOSSE, YAEL",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$374,324"
Neuroblastoma,2017,OD,1S10OD021818-01A1,,PRISM: Precision Radiotherapy and Imaging of Small Mammals,"FADDEGON, BRUCE","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$530,754"
Neuroblastoma,2017,NINDS,5R21NS094654-02,,TMEM108 IS A NOVEL TARGET IN NEUROBLASTOMA,"YANG, JIANHUA",BAYLOR COLLEGE OF MEDICINE,TX,"$237,750"
Neuroblastoma,2017,NIGMS,2SC3GM102050-04,,Formulation of Fenretinide Nanoparticles for Enhanced Bioavailability,"BOSTANIAN, LEVON",XAVIER UNIVERSITY OF LOUISIANA,LA,"$105,768"
Neuroblastoma,2017,NCI,1R01CA215452-01,,Identifying and targeting oncogenic Myc enhancer control in pediatric tumors,"LIN, CHARLES",BAYLOR COLLEGE OF MEDICINE,TX,"$362,569"
Neuroblastoma,2017,NCI,1R01CA215610-01,,ABT-199 based therapies to treat  neuroblastoma,"FABER, ANTHONY",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$371,856"
Neuroblastoma,2017,NCI,5R01CA057138-26,,Employing the Myc Transcriptional Network to Reveal Oncogenic Pathways,"EISENMAN, ROBERT",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$635,460"
Neuroblastoma,2017,NCI,5U01CA199287-03,,Pediatric Preclinical Testing Consortium,"MARIS, JOHN",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$357,000"
Neuroblastoma,2017,NCI,5R01CA174808-04,,Targeting the G-CSF/STAT3 signaling pathway in neuroblastoma cancer stem cells,"SHOHET, JASON",BAYLOR COLLEGE OF MEDICINE,TX,"$326,348"
Neuroblastoma,2017,NCI,5R01CA197964-03,,Neuropeptide Y (NPY) as a hypoxia-driven metastatic factor,"KITLINSKA, JOANNA",GEORGETOWN UNIVERSITY,DC,"$348,597"
Neuroblastoma,2017,NCI,5P30CA125123-11,8013,Cancer Cell and Gene Therapy Program (Project-005),"HESLOP, HELEN",BAYLOR COLLEGE OF MEDICINE,TX,"$43,684"
Neuroblastoma,2017,NIGMS,5F32GM120956-02,,Role of Ubiquitination in Neurocristopathies and Neural Crest-Derived Cancers,"MARK, KEVIN",UNIVERSITY OF CALIFORNIA BERKELEY,CA,"$57,066"
Neuroblastoma,2017,NCI,2R01CA148688-06A1,,The ALK receptor tyrosine kinase as a therapeutic target in neuroblastoma,"GEORGE, RANI",DANA-FARBER CANCER INST,MA,"$413,844"
Neuroblastoma,2017,NCI,1R01CA207983-01A1,,Exosomes in tumor cell-mesenchymal stromal cell interaction,"DECLERCK, YVES",CHILDREN'S HOSPITAL OF LOS ANGELES,CA,"$423,016"
Neuroblastoma,2017,NICHD,1R03HD089190-01A1,,Examining Signals That Sculpt Cranial Neural Crest Migration,"KULESA, PAUL",STOWERS INSTITUTE FOR MEDICAL RESEARCH,MO,"$82,500"
Neuroblastoma,2017,NCI,5R01CA204974-02,,Structural Variation in Neuroblastoma,"DISKIN, SHARON",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$384,300"
Neuroblastoma,2017,NCI,5R35CA197078-03,,Enhancing Antibody-directed Innate Immunity to Improve Cancer Outcome,"SONDEL, PAUL",UNIVERSITY OF WISCONSIN-MADISON,WI,"$917,202"
Neuroblastoma,2017,NIDCD,5K23DC014291-02,,Prevention of Cisplatin-induced Hearing Loss in Children with Cancer,"ORGEL, ETAN",CHILDREN'S HOSPITAL OF LOS ANGELES,CA,"$193,191"
Neuroblastoma,2017,NCI,5K22CA201103-02,,Targeting nutrient-sensing pathways in cancer,"LAZARUS, MICHAEL",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$191,360"
Neuroblastoma,2017,NIGMS,5P30GM106396-05,8530,Animal Model Core,"CHESNEY, JASON",UNIVERSITY OF LOUISVILLE,KY,"$235,461"
Neuroblastoma,2017,NINDS,5U01NS082328-04,,Neural Stem Cell Mediated CE-CPT11 Therapy for Neuroblastoma,"ABOODY, KAREN",BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,CA,"$949,003"
Neuroblastoma,2017,NCI,5P30CA093373-15,8697,Clinical Protocol and Data Management,"KELLY, KAREN",UNIVERSITY OF CALIFORNIA AT DAVIS,CA,"$292,034"
Neuroblastoma,2017,NCI,5R35CA210030-02,,Integrating Transforming Approaches to Identify and Target New Vulnerabilities in Cancer,"STEGMAIER, KIMBERLY",DANA-FARBER CANCER INST,MA,"$1,046,441"
Neuroblastoma,2017,NCI,5R00CA178189-05,,Pathogenic Roles of SHP2 & PTPRD Tyrosine Phosphatases in High-Risk Neuroblastoma,"ZHU, SHIZHEN",MAYO CLINIC ROCHESTER,MN,"$249,000"
Neuroblastoma,2017,NCI,5R01CA195732-02,,The Role of MMSET in the Pathogenesis and Progression of Lymphoid Malignancy,"LICHT, JONATHAN",UNIVERSITY OF FLORIDA,FL,"$348,844"
Neuroblastoma,2017,NINDS,5R01NS095411-03,,Targeting Tumors with NF1 Loss,"SANCHEZ, YOLANDA",DARTMOUTH COLLEGE,NH,"$544,581"
Neuroblastoma,2017,NCI,5R01CA182526-04,,Targeting Neuroblastoma with armed T cells,"LUM, LAWRENCE",UNIVERSITY OF VIRGINIA,VA,"$765,563"
Neuroblastoma,2017,NCI,5R50CA211437-02,,Revealing cancer metabolism via mass spectrometry and isotope tracers,"LU, WENYUN",PRINCETON UNIVERSITY,NJ,"$108,427"
