Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Neuroblastoma,2011,NCI,2U24CA114766-06,,Support for Human Specimen Banking in NCI-Sponsored Clinical Trials-(CGB),"RAMIREZ, NILSA",NATIONAL CHILDHOOD CANCER FOUNDATION,CA,"$817,102"
Neuroblastoma,2011,NINDS,5R01NS055750-04,,Modifiers of Tumor Susceptibility in Murine Neuroblastoma,"WEISS, WILLIAM",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$331,209"
Neuroblastoma,2011,NCI,5R01CA138466-02,,Intermittent hypoxia on the progression of neuroblastoma,"MOHANAM, SANJEEVA",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$316,002"
Neuroblastoma,2011,NCI,5R01CA082830-10,,Enhancing Activity of Alkylating Agents in Neuroblastoma,"REYNOLDS, CHARLES",TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,TX,"$229,187"
Neuroblastoma,2011,NCI,5R01CA124644-04,,VEGF blockade and alternative angiogenic pathways in neuroblastoma,"YAMASHIRO, DARRELL",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$324,053"
Neuroblastoma,2011,NCI,5R01CA124709-04,,The Genetic Basis of Neuroblastoma Tumorigenesis,"MARIS, JOHN",CHILDRENS HOSPITAL OF PHILADELPHIA,PA,"$625,023"
Neuroblastoma,2011,NIGMS,5R01GM072611-06,,Statistical Methods for Ultrahigh-dimensional Biomedical Data,"FAN, JIANQING",PRINCETON UNIVERSITY,NJ,"$267,323"
Neuroblastoma,2011,NCI,5R01CA094194-09,,Trk Expression and Inhibition in Human Neuroblastomas,"BRODEUR, GARRETT",CHILDRENS HOSPITAL OF PHILADELPHIA,PA,"$369,828"
Neuroblastoma,2011,NCI,5R01CA039771-23,,Molecular Genetic Analysis of Human Neuroblastoma,"BRODEUR, GARRETT",CHILDRENS HOSPITAL OF PHILADELPHIA,PA,"$377,150"
Neuroblastoma,2011,NCI,1R01CA154754-01,,Engineering and Evaluation of Human L-Methionase for Cancer Therapy,"GEORGIOU, GEORGE",UNIVERSITY OF TEXAS AUSTIN,TX,"$442,512"
Neuroblastoma,2011,NINDS,1R01NS072420-01,,DUSP26: A Novel Therapeutic Target in Neuroblastoma,"YANG, JIANHUA",BAYLOR COLLEGE OF MEDICINE,TX,"$342,344"
Neuroblastoma,2011,NCI,5R01CA127496-04,,MiRNA Expression in Neuroblastoma,"STALLINGS, RAYMOND",ROYAL COLLEGE OF SURGEONS IN IRELAND,IRELAN,"$187,983"
Neuroblastoma,2011,NCI,2R01CA116548-06A1,,Localization and Function of NKT Cells in Neuroblastoma,"METELITSA, LEONID",BAYLOR COLLEGE OF MEDICINE,TX,"$234,457"
Neuroblastoma,2011,NCI,1R01CA148688-01A1,,The ALK receptor tyrosine kinase as a therapeutic target in neuroblastoma,"GEORGE, RANI",DANA-FARBER CANCER INSTITUTE,MA,"$363,125"
Neuroblastoma,2011,NCI,5R01CA125021-05,,Role of Hypoxia in the regulation of cancer cell differentiation,"YUN, ZHONG",YALE UNIVERSITY,CT,"$305,017"
Neuroblastoma,2011,NCI,5R03CA141973-02,,Screening of inhibitors of SIRT1 and SIRT2 for the prevention of neuroblastoma,"LIU, TAO",UNIVERSITY OF NEW SOUTH WALES,AUSTRA,"$52,380"
Neuroblastoma,2011,NCI,5R01CA142636-02,,Improving T-cell therapies for neuroblastoma,"DOTTI, GIANPIETRO",BAYLOR COLLEGE OF MEDICINE,TX,"$447,592"
Neuroblastoma,2011,NIGMS,5F31GM087951-03,,Characterizing the Role of Tspan18 in Neural Crest Development,"FAIRCHILD, CORINNE",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$33,420"
Neuroblastoma,2011,NCI,5R01CA140198-03,,Targeting Oncogenic ALK Signaling in Neuroblastoma,"MOSSE, YAEL",CHILDRENS HOSPITAL OF PHILADELPHIA,PA,"$331,098"
Neuroblastoma,2011,NCI,5R01CA100030-08,,Optimizing Immunotherapy for Neuroblastoma after BMT,"JOHNSON, BRYON",MEDICAL COLLEGE OF WISCONSIN,WI,"$295,189"
Neuroblastoma,2011,NCI,5R21CA141297-02,,Notch in Neuroblastoma,"ZWEIDLER-MCKAY, PATRICK",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$166,669"
