Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Ovarian Cancer,2010,NCI,5R01CA103937-06,,Molecular Diagnostics for Malignant Effusion,"SHIH, IE-MING",JOHNS HOPKINS UNIVERSITY,MD,"$338,148"
Ovarian Cancer,2010,NCI,5R01CA131407-03,,Re-activating Memory T Cells in the Microenvironment of Human Tumors,"BANKERT, RICHARD",STATE UNIVERSITY OF NEW YORK AT BUFFALO,NY,"$345,843"
Ovarian Cancer,2010,NCI,5R01CA104996-06,,Promoting Tumor Immunity by Cross-linking B7-DC,"PEASE, LARRY",MAYO CLINIC,MN,"$246,712"
Ovarian Cancer,2010,NCI,5R01CA119200-04,,Optical Imaging of Ovarian Carcinogenesis in a Rat Menopause Model,"BARTON, JENNIFER",UNIVERSITY OF ARIZONA,AZ,"$282,610"
Ovarian Cancer,2010,NCI,5R01CA124630-04,,PTTG Role in Ovarian Tumorigenesis and Matastasis,"KAKAR, SHAM",UNIVERSITY OF LOUISVILLE,KY,"$253,080"
Ovarian Cancer,2010,NCI,5R01CA123249-03,,Regulation of Serine Protease HtrA1 and Chemoresponse,"SHRIDHAR, VIJI",MAYO CLINIC,MN,"$313,533"
Ovarian Cancer,2010,NCI,5R01CA114343-04,,Haplotype-Based Genome Screen for Ovarian Cancer Loci,"SELLERS, THOMAS",H. LEE MOFFITT CANCER CTR & RES INST,FL,"$1,105,238"
Ovarian Cancer,2010,NCI,5R01CA132091-03,,Targeted Nanoparticle DNA Therapy for Ovarian Cancer,"SAWICKI, JANET",LANKENAU INSTITUTE FOR MEDICAL RESEARCH,PA,"$275,202"
Ovarian Cancer,2010,NCI,5R21CA132987-02,,Risk of Cancer with Incidental Findings Identified on Ultrasound Imaging,"SMITH-BINDMAN, REBECCA",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$172,697"
Ovarian Cancer,2010,NCI,5R01CA129080-03,,The Roles of HBXAP Gene in Ovarian Cancer,"SHIH, IE-MING",JOHNS HOPKINS UNIVERSITY,MD,"$340,300"
