Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Ovarian Cancer,2008,NCI,5K08CA106597-03,,Chromatin structure and BRCA1 Checkpoint Function,"GREENBERG, ROGER",UNIVERSITY OF PENNSYLVANIA,PA,"$135,677"
Ovarian Cancer,2008,NCI,5R01CA119200-02,,Optical Imaging of Ovarian Carcinogenesis in a Rat Menopause Model,"BARTON, JENNIFER",UNIVERSITY OF ARIZONA,AZ,"$282,857"
Ovarian Cancer,2008,NCI,5R37CA034992-26,,CHEMISTRY AND BIOLOGY OF PLATINUM ANTICANCER DRUGS,"LIPPARD, STEPHEN",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,"$672,247"
Ovarian Cancer,2008,NCI,5R21CA125227-02,,Microvascular Perfusion Sonographic Imaging to Detect Early Stage Ovarian Cancer,"FISHMAN, DAVID",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$164,859"
Ovarian Cancer,2008,NIGMS,5R01GM073823-03,,Functions for Myosin VI in the kidney proximal tubule,"MOOSEKER, MARK",YALE UNIVERSITY,CT,"$324,848"
Ovarian Cancer,2008,NCI,5R21CA116525-02,,Design of targeted native tropism-ablated adenovirus,"DMITRIEV, IGOR",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$145,500"
Ovarian Cancer,2008,NCI,5R21CA115568-02,,Design of targeted cell vehicles to ovarian carcinoma,"PEREBOEVA, LARISA",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$174,600"
Ovarian Cancer,2008,NCI,5R01CA120409-03,,Immunotherapy of mesothelin expressing tumors with lentiviral engineered T cells,"JUNE, CARL",UNIVERSITY OF PENNSYLVANIA,PA,"$266,186"
Ovarian Cancer,2008,NCI,5R01CA079756-08,,P53-Mediated G1/M Checkpoint Controls Altered by PPM1D,"MERCER, W",THOMAS JEFFERSON UNIVERSITY,PA,"$238,892"
Ovarian Cancer,2008,NCI,1R01CA131407-01,,Re-activating Memory T Cells in the Microenvironment of Human Tumors,"BANKERT, RICHARD",STATE UNIVERSITY OF NEW YORK AT BUFFALO,NY,"$370,088"
Ovarian Cancer,2008,NCI,5R01CA101826-05,,HOX genes in ovarian neoplasia,"NAORA, HONAMI",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$234,808"
Ovarian Cancer,2008,NCI,5R01CA109619-04,,Polyamine Catabolism in Platinum Drug Action,"PENDYALA, LAKSHMI",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$297,716"
Ovarian Cancer,2008,NCI,5R01CA049449-19,,Biochemical Markers in the nurses' Health Study Cohort,"HANKINSON, SUSAN",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$1,213,763"
Ovarian Cancer,2008,NCI,2P01CA070970-10A1,0006,Cancer Stem Cells in Acute Lymphoblastic Leukemia and Ovarian Carcinoma,"JONES, RICHARD",JOHNS HOPKINS UNIVERSITY,MD,"$337,575"
Ovarian Cancer,2008,NCI,5R01CA111882-03,,Regulation of Adhesion and Proteolysis in Ovarian Cancer,"LENGYEL, ERNST",UNIVERSITY OF CHICAGO,IL,"$264,562"
Ovarian Cancer,2008,NCI,5R01CA060651-16,,Mouse Models to Study Gonadal Tumor Development,"MATZUK, MARTIN",BAYLOR COLLEGE OF MEDICINE,TX,"$265,968"
Ovarian Cancer,2008,NINR,1R21NR010571-01,,The Feasibility of Earlier Detection of Ovarian Cancer Using Symptom Reports,"ANDERSEN, M",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$224,927"
Ovarian Cancer,2008,NCI,5R01CA111914-04,,Ovarian Cancer and Mismatch Repair Deficiency,"PAL, TUYA",H. LEE MOFFITT CANCER CTR & RES INST,FL,"$414,533"
Ovarian Cancer,2008,NCI,5R01CA039742-24,,Epidemiology of Cancer in a Cohort of Older Women,"FOLSOM, AARON",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$522,496"
Ovarian Cancer,2008,NCI,5R01CA104378-05,,Therapeutic targeting of HSP90-dependent signaling,"KARNITZ, LARRY","MAYO CLINIC COLL OF MEDICINE, ROCHESTER",MN,"$258,036"
Ovarian Cancer,2008,NCI,5R01CA103920-05,,BRCA1 and the Inactive X Chromosome,"LIVINGSTON, DAVID",DANA-FARBER CANCER INSTITUTE,MA,"$329,983"
Ovarian Cancer,2008,NCI,5U10CA013612-35,,SOUTHWEST ONCOLOGY GROUP,"MILLER, THOMAS",UNIVERSITY OF ARIZONA,AZ,"$266,506"
Ovarian Cancer,2008,NCI,1R01CA132091-01,,Targeted Nanoparticle DNA Therapy for Ovarian Cancer,"SAWICKI, JANET",LANKENAU INSTITUTE FOR MEDICAL RESEARCH,PA,"$304,559"
Ovarian Cancer,2008,NCI,1R01CA122728-01A2,,Treatment of Chemotherapy-Resistant Human Ovarian Cancer by Administration of CPE,"SANTIN, ALESSANDRO",YALE UNIVERSITY,CT,"$346,272"
Ovarian Cancer,2008,NCI,1R01CA123233-01A2,,Regulation of JNK-signaling molecules by the gep oncogenes,"DHANASEKARAN, DANNY",TEMPLE UNIVERSITY,PA,"$280,125"
Ovarian Cancer,2008,NIGMS,2R01GM052418-09,,Mass Spectrometry Studies on Radical Reactions of DNA,"KENTTAMAA, HILKKA",PURDUE UNIVERSITY WEST LAFAYETTE,IN,"$216,530"
Ovarian Cancer,2008,NCI,1R01CA127239-01A1,,pBACH1 binding site on BRCT(BRCA1): A novel approach to cancer therapeutics,"NATARAJAN, AMARNATH",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$270,000"
Ovarian Cancer,2008,NCI,5R01CA114343-02,,Haplotype-Based Genome Screen for Ovarian Cancer Loci,"SELLERS, THOMAS",H. LEE MOFFITT CANCER CTR & RES INST,FL,"$1,510,342"
Ovarian Cancer,2008,NCI,5R01CA109298-04,,Ovarian Cancer: Mechanisms of Neuroendocrine Regulation,"SOOD, ANIL",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$271,595"
Ovarian Cancer,2008,NCI,1R01CA123219-01A2,,The Role of Aberrant Splicing of EVl1 in Ovarian Cancer Pathophysiology,"MILLS, GORDON",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$327,989"
Ovarian Cancer,2008,NCI,5F31CA126474-02,,Role of Src in Stress-Mediated Progression of Ovarian Cancer,"ARMAIZ-PENA, GUILLERMO",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$38,115"
Ovarian Cancer,2008,NCI,5R01CA116674-03,,Epigenetic regulation of cancer/germ-line antigen gene expression,"KARPF, ADAM",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$275,878"
Ovarian Cancer,2008,NCI,1R44CA123785-01A2,,Fast-Track:Biomagnetic In-vivo Imaging of Ovarian Cancer,"FLYNN, EDWARD",SENIOR SCIENTIFIC,NM,"$208,371"
Ovarian Cancer,2008,NCI,2R01CA103937-04,,Molecular Diagnostics for Malignant Effusion,"SHIH, IE-MING",JOHNS HOPKINS UNIVERSITY,MD,"$338,148"
Ovarian Cancer,2008,NCI,5R01CA124630-02,,PTTG Role in Ovarian Tumorigenesis and Matastasis,"KAKAR, SHAM",UNIVERSITY OF LOUISVILLE,KY,"$253,080"
Ovarian Cancer,2008,NCI,5R01CA106713-04,,Mechanism of SHeA2 Action in Ovarian Cancer,"BENBROOK, DORIS",UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OK,"$272,533"
Ovarian Cancer,2008,NCI,5R01CA087660-09,,Chemical Approaches for Activity Based Proteomics,"CRAVATT, BENJAMIN",SCRIPPS RESEARCH INSTITUTE,CA,"$323,425"
Ovarian Cancer,2008,NCI,5R01CA112291-04,,"BRIT 1: Roles in Immortalization, Checkpoints and Cancer","LIN, SHIAW-YIH",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$252,809"
Ovarian Cancer,2008,NCI,5R01CA103924-05,,Molecular characterization of ovarian cancer in a mouse model,"ORSULIC, SANDRA",MASSACHUSETTS GENERAL HOSPITAL,MA,"$305,173"
Ovarian Cancer,2008,NCI,7R01CA079716-11,,Ovarian Cancer: Epithelial Dedifferentiation,"XU, XIANGXI",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$326,412"
Ovarian Cancer,2008,NCI,5R01CA051578-16,,A POLYMERIC DRUG DELIVERY SYSTEM FOR CANCER THERAPY,"KOPECEK, JINDRICH",UNIVERSITY OF UTAH,UT,"$236,153"
Ovarian Cancer,2008,NCI,5R01CA111786-04,,Novel Targets for Protection of T Cells From Tumor-Induced Dysfunction,"RABINOWICH, HANNAH",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$268,039"
Ovarian Cancer,2008,NCI,5R01CA111334-04,,Vitamin D and Ovarian Cancer Prevention and Treatment,"BAI, WENLONG",UNIVERSITY OF SOUTH FLORIDA,FL,"$244,382"
Ovarian Cancer,2008,NCI,5R01CA123197-02,,Death Receptor-mediated Apoptosis and Therapy Strategies in Ovarian Cancer,"ZHOU, TONG",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$439,913"
Ovarian Cancer,2008,NCI,5R01CA107195-04,,Loss of Vitamin A Metabolism in Ovarian Oncogenesis,"HAMILTON, THOMAS",FOX CHASE CANCER CENTER,PA,"$284,831"
