Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Pancreatic Cancer,2012,NHLBI,1U54HL117798-01,8060,Core N: MOLECULAR PROFILING,"BLAIR, IAN",UNIVERSITY OF PENNSYLVANIA,PA,"$311,358"
Pancreatic Cancer,2012,NCI,5F32CA153524-02,,Multipotent mesenchymal stem cell-like cells in pancreatic tumorigenesis,"ISACHENKO, NADEZDA",UNIV OF CALIFORNIA AT SAN FRANCISCO,CA,"$59,432"
Pancreatic Cancer,2012,NCI,5R01CA112537-08,,Embryonic signaling pathways in pancreatic cancer,"HEBROK, MATTHIAS",UNIV OF CALIFORNIA AT SAN FRANCISCO,CA,"$269,757"
Pancreatic Cancer,2012,NCI,5R01CA078814-14,,New Triterpenoids for Chemoprevention and Therapy of Cancer,"SPORN, MICHAEL",DARTMOUTH COLLEGE,NH,"$340,825"
Pancreatic Cancer,2012,NCI,5R01CA127494-04,,Proteasome Inhibition and ER Stress,"MCCONKEY, DAVID",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$247,971"
Pancreatic Cancer,2012,NCI,5R01CA133774-05,,Smoking and pancreatic cancer,"BATRA, SURINDER",UNIVERSITY OF NEBRASKA MEDICAL CENTER,NE,"$307,952"
Pancreatic Cancer,2012,NCI,5R01CA132794-04,,FoxM1: A molecular target in pancreatic cancer,"SARKAR, FAZLUL",WAYNE STATE UNIVERSITY,MI,"$305,938"
Pancreatic Cancer,2012,NCI,5R21CA155393-02,,MCM Helicase as a Novel Target for Pancreatic Cancer Treatment,"ALEXANDROW, MARK",H. LEE MOFFITT CANCER CTR & RES INST,FL,"$181,613"
Pancreatic Cancer,2012,NCI,5R01CA136526-04,,Hedgehog and EGF interaction: a novel therapeutic approach for pancreatic cancer,"FERNANDEZ-ZAPICO, MARTIN",MAYO CLINIC,MN,"$273,714"
Pancreatic Cancer,2012,NCI,5R01CA140182-03,,Protein Kinase D in oncogenic oxidative stress signaling,"STORZ, PETER",MAYO CLINIC  JACKSONVILLE,FL,"$307,951"
Pancreatic Cancer,2012,NCI,5F32CA144579-02,,The Role of glypican-1 in Pancreatic Cancer Development and Progression,"WHIPPLE, CHERY",DARTMOUTH COLLEGE,NH,"$60,482"
Pancreatic Cancer,2012,NCI,5R01CA140290-02,,Role of PKC iota in metaplasia and initiation of pancreatic cancer,"MURRAY, NICOLE",MAYO CLINIC  JACKSONVILLE,FL,"$321,625"
Pancreatic Cancer,2012,NCI,5R21CA156088-02,,Targeted therapy of pancreatic cancer with in vivo radionuclide generator,"DADACHOVA, EKATERINA",ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NY,"$216,630"
Pancreatic Cancer,2012,NCI,5R01CA132971-04,,Color-Coded Imaging of Pancreatic Cancer Microenvironment for Drug Discovery,"BOUVET, MICHAEL",UNIVERSITY OF CALIFORNIA AT SAN DIEGO,CA,"$296,378"
Pancreatic Cancer,2012,NIDDK,5R01DK059578-09,,Dietary Regulation of Pancreatic Digestive Enzymes,"WILLIAMS, JOHN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$323,774"
Pancreatic Cancer,2012,NCI,5R21CA149869-02,,Virotherapy for pancreatic cancer with wildtype and armed Myxoma viruses,"MCFADDEN, GRANT",UNIVERSITY OF FLORIDA,FL,"$159,319"
Pancreatic Cancer,2012,NCI,5R21CA149772-02,,Aberrant Glycosylation Signature in Pancreatic Cancer,"PAN, SHENG",UNIVERSITY OF WASHINGTON,WA,"$208,128"
Pancreatic Cancer,2012,NCI,5R01CA095137-09,,NK Cell Biology,"LANIER, LEWIS",UNIV OF CALIFORNIA AT SAN FRANCISCO,CA,"$288,866"
Pancreatic Cancer,2012,NCI,5R01CA129357-04,,Genetic progression of pancreatic mucinous cystic neoplasms to invasive carcinoma,"HINGORANI, SUNIL",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$353,000"
Pancreatic Cancer,2012,NIEHS,5K08ES019615-02,,Biomarkers of exposure and response to environmental tobacco smoke in the pancrea,"YU, KENNETH",SLOAN-KETTERING INSTITUTE FOR CANCER RES,NY,"$180,684"
Pancreatic Cancer,2012,NCI,5R01CA154455-02,,Serum glycoprotein markers of cancer using an ion mobility/mass spec approach,"LUBMAN, DAVID",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$313,429"
Pancreatic Cancer,2012,NCI,5R21CA155649-02,,The Role of Dendritic Cells in Pancreatic Tumorigenesis,"MILLER, GEORGE",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$183,788"
Pancreatic Cancer,2012,NCI,5R01CA140940-03,,Enhancing the Biomedical Computing Platform for Pancreatic Cancer Research,"SHERMAN, SIMON",UNIVERSITY OF NEBRASKA MEDICAL CENTER,NE,"$299,181"
