Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Pancreatic Cancer,2011,NCI,5R01CA129963-05,,Tailoring New Drugs in Pancreatic Cancer,"HIDALGO, MANUEL",SPANISH NATIONAL CANCER CENTER,SPAIN,"$121,828"
Pancreatic Cancer,2011,NIGMS,1R21GM086689-01A2,,Bayesian hierarchical nonlinear models for pharmacogenomic cytotoxicity studies,"FRIDLEY, BROOKE",MAYO CLINIC,MN,"$118,275"
Pancreatic Cancer,2011,NCI,5R01CA078814-13,,New Triterpenoids for Chemoprevention and Therapy of Cancer,"SPORN, MICHAEL",DARTMOUTH COLLEGE,NH,"$340,825"
Pancreatic Cancer,2011,NCI,5R21CA143474-02,,New molecular target and its inhibitors for use against pancreatic cancer,"SUN, DUXIN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$125,770"
Pancreatic Cancer,2011,NCI,5R01CA113669-07,,Developmental Signaling Pathways in Pancreatic Cancer,"MAITRA, ANIRBAN",JOHNS HOPKINS UNIVERSITY,MD,"$306,839"
Pancreatic Cancer,2011,NCI,5R01CA112537-07,,Embryonic signaling pathways in pancreatic cancer,"HEBROK, MATTHIAS",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$264,683"
Pancreatic Cancer,2011,NCI,5R01CA127494-03,,Proteasome Inhibition and ER Stress,"MCCONKEY, DAVID",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$247,971"
Pancreatic Cancer,2011,NCI,5R01CA132971-03,,Color-Coded Imaging of Pancreatic Cancer Microenvironment for Drug Discovery,"BOUVET, MICHAEL",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$296,378"
Pancreatic Cancer,2011,NCI,5R21CA127098-02,,Selective sensitization of pancreatic tumor cells to chemotherapy,"SCHNEIDER, ERASMUS",WADSWORTH CENTER,NY,"$172,921"
Pancreatic Cancer,2011,NCI,5R01CA133774-04,,Smoking and pancreatic cancer,"BATRA, SURINDER",UNIVERSITY OF NEBRASKA MEDICAL CENTER,NE,"$307,952"
Pancreatic Cancer,2011,NCI,5R21CA143755-02,,Assessing pancreatic cancer susceptibility to ceramide-mediated cell death.,"CABOT, MYLES",JOHN WAYNE CANCER INSTITUTE,CA,"$198,950"
Pancreatic Cancer,2011,NCI,5R01CA129357-03,,Genetic progression of pancreatic mucinous cystic neoplasms to invasive carcinoma,"HINGORANI, SUNIL",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$353,000"
Pancreatic Cancer,2011,NCI,5R01CA132794-03,,FoxM1: A molecular target in pancreatic cancer,"SARKAR, FAZLUL",WAYNE STATE UNIVERSITY,MI,"$305,938"
Pancreatic Cancer,2011,NCI,5R21CA149554-02,,Cx43 phosphorylation modulates Kras mediated pancreas cancer progression,"LAMPE, PAUL",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$7,698"
Pancreatic Cancer,2011,NHLBI,5K23HL084052-05,,Bloodborne tissue factor-bearing microparticles in Trousseau's syndrome,"ZWICKER, JEFFREY",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$154,758"
Pancreatic Cancer,2011,NCI,5R01CA126888-04,,Fibrosis-Protease Cross-Talk Regulating Pancreatic Cancer Invasion,"MUNSHI, HIDAYATULLAH",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$273,533"
Pancreatic Cancer,2011,NCI,5R01CA095137-08,,NK Cell Biology,"LANIER, LEWIS",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$288,989"
Pancreatic Cancer,2011,NCI,5R01CA138461-03,,Pharmacogenomics and Mechanisms of Cytidine Analogues,"WANG, LIEWEI",MAYO CLINIC,MN,"$304,127"
Pancreatic Cancer,2011,NIDDK,5R01DK059578-08,,Dietary Regulation of Pancreatic Digestive Enzymes,"WILLIAMS, JOHN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$323,774"
Pancreatic Cancer,2011,NIDDK,5R01DK075072-05,,Wnt/beta-catenin signaling in exocrine pancreas developoment and regeneration,"MURTAUGH, LEWIS",UNIVERSITY OF UTAH,UT,"$294,368"
Pancreatic Cancer,2011,NCI,1R01CA154455-01,,Serum glycoprotein markers of cancer using an ion mobility/mass spec approach,"LUBMAN, DAVID",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$312,911"
Pancreatic Cancer,2011,NCI,5R01CA131199-04,,Small Animal Image-Guided Radiotherapy,"GRAVES, EDWARD",STANFORD UNIVERSITY,CA,"$318,163"
Pancreatic Cancer,2011,NCI,5R01CA097022-09,,Survival Mechanisms of Invasive Carcinoma Cells,"KLEMKE, RICHARD",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$288,667"
Pancreatic Cancer,2011,NCI,2U10CA011488-41,,EORTC HEADQUARTERS,"SYLVESTER, RICHARD",EUROPEAN ORG/RES/TREATMENT/CANCER,BELGIU,"$232,518"
Pancreatic Cancer,2011,NCI,5R21CA138280-03,,Technology for sensitive and reliable mutational profiling in pancreatic cancer,"MAKRIGIORGOS, G.",DANA-FARBER CANCER INSTITUTE,MA,"$256,242"
