Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Pediatric Cancer,2017,NIAMS,5R21AR066938-02,,Human artificial chromosome as vectors for gene therapy of a model skin disease,"MONACO, ZOIA",TUFTS UNIVERSITY MEDFORD,MA,"$208,548"
Pediatric Cancer,2017,NCI,5R01CA158768-06,,The Function of rpL5 and rpL11 in induction of p53,"THOMAS, GEORGE",FUNDACIO PRIVADA INT D'VEST BIOMEDICA,SPAIN,"$224,100"
Pediatric Cancer,2017,NCI,5R01CA181050-04,,KIR-FAVORABLE HAPLOIDENTICAL TRANSPLANTATION IN CHILDREN,"PULSIPHER, MICHAEL",CHILDREN'S HOSPITAL OF LOS ANGELES,CA,"$90,772"
Pediatric Cancer,2017,NCI,5R21CA187412-03,,Impact of primary tumor development stage on prognosis and outcome in B-ALL,"CARLSON, CHRISTOPHER",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$100,931"
Pediatric Cancer,2017,NCI,5R01CA190980-03,,Contribution of development and age to breast cancer etiology,"BARCELLOS-HOFF, MARY","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$501,556"
Pediatric Cancer,2017,NIEHS,5U13ES026496-02,,Childhood Leukemia International Consortium Scientific Annual Meetings,"METAYER, CATHERINE",UNIVERSITY OF CALIFORNIA BERKELEY,CA,"$15,000"
Pediatric Cancer,2017,NINDS,7K08NS083626-03,,Elucidating Signaling Pathways for GABA-A Receptor Alpha5 in an Aggressive Subtype of Medulloblastomas,"SENGUPTA, SOMA",EMORY UNIVERSITY,GA,"$182,201"
Pediatric Cancer,2017,NINDS,1R01NS094218-01A1,,Focal Sustained Release Chemotherapy-Loaded Biomaterials at Tumor Sites,"KAPLAN, DAVID",TUFTS UNIVERSITY MEDFORD,MA,"$355,019"
Pediatric Cancer,2017,NCI,5R00CA178207-05,,Genome instability and epigenetic deregulation in retinoblastoma and osteosarcoma,"BENAVENTE ARIAS, CLAUDIA",UNIVERSITY OF CALIFORNIA-IRVINE,CA,"$236,243"
Pediatric Cancer,2017,NCI,5R01CA132640-16,,Role of heat shock factors (Hsfs) in tumorigenesis,"MIVECHI, NAHID",AUGUSTA UNIVERSITY,GA,"$270,000"
