Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Pediatric Cancer,2014,NCI,5R01CA163394-02,,Impact of chlorhexidine bathing on reducing infections in children with cancer,"ZERR, DANIELLE",SEATTLE CHILDREN'S HOSPITAL,WA,"$353,172"
Pediatric Cancer,2014,NCI,1U43CA179468-01,,Micellar Daunorubicin for the Treatment of Bone Cancer,"SILL, KEVIN","INTEZYNE TECHNOLOGIES, LLC",FL,"$156,868"
Pediatric Cancer,2014,NCI,5R01CA116548-09,,Localization and Function of NKT Cells in Neuroblastoma,"METELITSA, LEONID",BAYLOR COLLEGE OF MEDICINE,TX,"$227,424"
Pediatric Cancer,2014,NCI,5R01CA137625-05,,Adolescents' Long-Term Adaptation to Familial Cancer Risks,"TERCYAK, KENNETH",GEORGETOWN UNIVERSITY,DC,"$546,162"
Pediatric Cancer,2014,NCI,5U01HG006485-03,,Incorporation of Genomic Sequencing into Pediatric Cancer Care,"PLON, SHARON",BAYLOR COLLEGE OF MEDICINE,TX,"$754,032"
Pediatric Cancer,2014,NHGRI,5U01HG006485-03,,Incorporation of Genomic Sequencing into Pediatric Cancer Care,"PLON, SHARON",BAYLOR COLLEGE OF MEDICINE,TX,"$921,596"
Pediatric Cancer,2014,NCI,5R01CA139633-05,,Role of Genetic Susceptibility in Therapy-related Subsequent Malignancies,"BHATIA, SMITA",CITY OF HOPE/BECKMAN RESEARCH INSTITUTE,CA,"$559,582"
Pediatric Cancer,2014,NCI,5R01CA157838-03,,Longitudinal Cardiotoxicity in Adult Survivors Childhood Cancer,"ARMSTRONG, GREGORY",ST. JUDE CHILDREN'S RESEARCH HOSPITAL,TN,"$573,170"
Pediatric Cancer,2014,NCI,5R01CA155743-04,,The role of PHF6 in T-cell acute lymphoblastic leukemia,"FERRANDO, ADOLFO",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$322,040"
Pediatric Cancer,2014,NCI,5P30CA014089-39,5489,Senior Leadership,"JONES, PETER",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$435,694"
Pediatric Cancer,2014,NCI,5P30CA014089-39,5500,Translational Pathology Core,"JONES, PETER",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$631,729"
Pediatric Cancer,2014,NCI,5R01CA143082-04,,Elucidating the role of NF-kB signaling in rhabdomyocarcoma,"GUTTRIDGE, DENIS",OHIO STATE UNIVERSITY,OH,"$304,913"
Pediatric Cancer,2014,NCI,5P30CA016520-38,5509,Program Leaders,"LERMAN, CARYN",UNIVERSITY OF PENNSYLVANIA,PA,"$486,723"
Pediatric Cancer,2014,NCI,5P30CA016520-38,5518,Pediatric Oncology Program,"LERMAN, CARYN",UNIVERSITY OF PENNSYLVANIA,PA,"$135,765"
Pediatric Cancer,2014,NCI,5R01CA148867-06,,Using mouse models to understand retinoblastoma initiation and progression,"MACPHERSON, DAVID",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$386,570"
Pediatric Cancer,2014,NCI,5P30CA016520-38,5534,Biostatistics Core Facility,"LERMAN, CARYN",UNIVERSITY OF PENNSYLVANIA,PA,"$398,632"
Pediatric Cancer,2014,NCI,5R21CA167833-02,,Unmetabolized folic acid and retinoblastoma.,"ORJUELA, MANUELA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$171,403"
Pediatric Cancer,2014,NCI,5R21CA161666-02,,Replication Profiling as a Diagnostic Tool in B-cell Acute Lymphoblastic Leukemia,"GILBERT, DAVID",FLORIDA STATE UNIVERSITY,FL,"$95,744"
Pediatric Cancer,2014,NCI,5R01CA157537-04,,Targeted Improvement in Stem Cell Therapy for Leukemia and Bone Marrow Failure Sy,"PANG, QISHEN",CINCINNATI CHILDRENS HOSP MED CTR,OH,"$307,951"
Pediatric Cancer,2014,NCI,5R01CA112093-09,,Structural Biology of XPB and XPD Helicases,"TAINER, JOHN",UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB,CA,"$318,384"
Pediatric Cancer,2014,NCI,5R01CA134794-05,,"Pediatric Cancer, Family Conflict and Child Adjustment","KATZ, LYNN",UNIVERSITY OF WASHINGTON,WA,"$281,660"
Pediatric Cancer,2014,NCI,5R01CA142665-05,,Glucocorticoids in Lymphoblastic Leukemia,"RELLING, MARY",ST. JUDE CHILDREN'S RESEARCH HOSPITAL,TN,"$377,484"
Pediatric Cancer,2014,NCI,5R01CA133881-05,,Genetic Predictors of AML Treatment Response,"APLENC, RICHARD",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$455,264"
Pediatric Cancer,2014,NCI,5R01CA138466-05,,Intermittent hypoxia on the progression of neuroblastoma,"MOHANAM, SANJEEVA",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$306,522"
Pediatric Cancer,2014,NCI,5R01CA148688-04,,The ALK receptor tyrosine kinase as a therapeutic target in neuroblastoma,"GEORGE, RANI",DANA-FARBER CANCER INST,MA,"$352,231"
Pediatric Cancer,2014,NCI,5R03CA172985-02,,"Family Functioning, Parenting Characteristics and Obesity in Chinese Adolescents","XIE, BIN",CLAREMONT GRADUATE UNIVERSITY,CA,"$64,166"
Pediatric Cancer,2014,NCI,5R01CA143107-05,,Berberine downregulates MDM2 by interaction with DAXX in cancer cells,"ZHOU, MUXIANG",EMORY UNIVERSITY,GA,"$65,349"
Pediatric Cancer,2014,NCI,5R01CA143167-05,,DICER1 and the Pleuropulmonary Blastoma Family Cancer Syndrome,"HILL, DANA",CHILDREN'S RESEARCH INSTITUTE,DC,"$321,058"
Pediatric Cancer,2014,NCI,5R01CA138744-05,,Tyrosine kinase inhibitors for the treatment of childhood AML,"BAKER, SHARYN",ST. JUDE CHILDREN'S RESEARCH HOSPITAL,TN,"$327,998"
Pediatric Cancer,2014,NCI,5R01CA155056-04,,Targeting hypoxic microenvironment in Acute Lymphocytic Leukemia,"KONOPLEVA, MARINA",UNIVERSITY OF TX MD ANDERSON CAN CTR,TX,"$317,049"
Pediatric Cancer,2014,NCI,5R03CA162089-02,,Epigenetic profiling of hepatoblastoma tumors with respect to low birth weight,"POYNTER, JENNY",UNIVERSITY OF MINNESOTA,MN,"$73,720"
Pediatric Cancer,2014,NICHD,5R01HD074553-02,,Harnessing p27 for Prognostication of Pediatric Osteosarcoma,"MAN, TSZ-KWONG",BAYLOR COLLEGE OF MEDICINE,TX,"$285,533"
Pediatric Cancer,2014,NCI,5R01CA118332-07,,Parent-Child Communication About Cancer,"COMPAS, BRUCE",VANDERBILT UNIVERSITY,TN,"$424,520"
Pediatric Cancer,2014,NCI,5R01CA134891-05,,An Appearance-Based Intervention to Reduce Teen Skin Cancer Risk,"HILLHOUSE, JOEL",EAST TENNESSEE STATE UNIVERSITY,TN,"$501,986"
Pediatric Cancer,2014,NICHD,5U10HD063106-05,,Collaborative Pediatric Research Critical Care Network(U10),"SHANLEY, THOMAS",UNIVERSITY OF MICHIGAN,MI,"$256,590"
Pediatric Cancer,2014,NCI,5P30CA006516-49,6056,Neuro-Oncology,"MARTUZA, ROBERT",MASSACHUSETTS GENERAL HOSPITAL,MA,"$88,410"
Pediatric Cancer,2014,NICHD,5R01HD062484-04,,Pharmacogenetic Determinants of Vincristine Toxicity and Response,"RENBARGER, JAMIE",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,IN,"$485,538"
Pediatric Cancer,2014,NIMH,5R01MH085849-05,,Risk for Psychopathology and Neurocognitive Impairment in Leukemia Survivors,"KRULL, KEVIN",ST. JUDE CHILDREN'S RESEARCH HOSPITAL,TN,"$490,478"
Pediatric Cancer,2014,NHLBI,5R01HL079571-10,,A Vital Tool for the Study of DBA:The Diamond Blackfan Anemia Registry,"LIPTON, JEFFREY",FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,NY,"$402,633"
Pediatric Cancer,2014,NCI,5R21CA168218-02,,IGF1R gene 3'UTR variants in high-risk pediatric neuroblastoma,"THOMAS-TIKHONENKO, ANDREI",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$212,030"
Pediatric Cancer,2014,NCI,1U10CA180886-01,,COG NCTN Network Group Operations Center,"ADAMSON, PETER",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$26,616,497"
Pediatric Cancer,2014,NCI,1U10CA180899-01,,Children's Oncology Group Statistics and Data Center,"DEVIDAS, MEENAKSHI",UNIVERSITY OF FLORIDA,FL,"$6,735,202"
Pediatric Cancer,2014,NCI,1U10CA180884-01,,COG NCTN Solid Malignancy Integrated Translational Science Center,"ADAMSON, PETER",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$400,000"
Pediatric Cancer,2014,NCI,1U10CA180866-01,,Network Lead Academic Participating Site Grant from the Roswell Cancer Inst.,"LEVINE, ELLIS",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$616,000"
Pediatric Cancer,2014,NCI,5F30CA174154-02,,Targeting the translational apparatus in MYCN-driven pediatric solid tumors,"MEYEROWITZ, JUSTIN","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$35,307"
Pediatric Cancer,2014,NCI,5U24CA055727-20,,Childhood Cancer Survivor Study,"ARMSTRONG, GREGORY",ST. JUDE CHILDREN'S RESEARCH HOSPITAL,TN,"$4,071,218"
