Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Pediatric Cardiomyopathy,2017,NHLBI,5R01HL071670-14,,Arrhythmia Mechanisms in Sarcomeric Cardiomyopathies,"KNOLLMANN, BJORN",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,"$395,000"
Pediatric Cardiomyopathy,2017,NHLBI,5R01HL130020-02,,Elucidating Genotype-Phenotype Relationship of Congenital Cardiomyopathies,"WU, JOSEPH",STANFORD UNIVERSITY,CA,"$395,000"
Pediatric Cardiomyopathy,2017,NHLBI,7R01HL130356-02,,Molecular mechanism of hypertrophic cardiomyopathy in populations of South Asian descendants,"SADAYAPPAN, SAKTHIVEL",UNIVERSITY OF CINCINNATI,OH,"$405,408"
Pediatric Cardiomyopathy,2017,NHLBI,5R01HL114770-05,,Functional consequences of FHC mutations in cardiac MyBPC,"STELZER, JULIAN",CASE WESTERN RESERVE UNIVERSITY,OH,"$396,250"
Pediatric Cardiomyopathy,2017,NHLBI,5R01HL126527-03,,Genome Editing of Human iPSCs to Study Inherited Hypertrophic Cardiomyopathy,"WU, JOSEPH",STANFORD UNIVERSITY,CA,"$515,616"
Pediatric Cardiomyopathy,2017,NHLBI,1R01HL134932-01,,Developing nicorandil and companion biomarkers for DMD cardiomyopathy therapy,"STRANDE, JENNIFER",MEDICAL COLLEGE OF WISCONSIN,WI,"$443,780"
Pediatric Cardiomyopathy,2017,NHLBI,1R01HL134885-01,,Sleep Apnea and Hypertrophic Cardiomyopathy - Implications for Arrhythmia and Sudden Death,"SOMERS, VIREND",MAYO CLINIC ROCHESTER,MN,"$785,928"
Pediatric Cardiomyopathy,2017,NHLBI,1K01HL135455-01,,Modeling Endothelial Dysfunction in LMNA-related Dilated Cardiomyopathy,"SAYED, NAZISH",STANFORD UNIVERSITY,CA,"$173,556"
Pediatric Cardiomyopathy,2017,NHLBI,5F31HL131230-02,,The role of the C3 domain of myosin binding protein-C in the pathogenesis of hypertrophic cardiomyopathy,"SMELTER, DAN",UNIVERSITY OF WISCONSIN-MADISON,WI,"$31,027"
Pediatric Cardiomyopathy,2017,NIGMS,2R01GM033289-33A1,,Myosin Movement in Vitro-Molecular Characterization,"SPUDICH, JAMES",STANFORD UNIVERSITY,CA,"$579,832"
Pediatric Cardiomyopathy,2017,NHLBI,5R01HL107046-07,,Computation to animal: thin filament mutations and genetic cardiomyopathy,"TARDIFF, JIL",UNIVERSITY OF ARIZONA,AZ,"$475,048"
Pediatric Cardiomyopathy,2017,NHLBI,1R01HL130417-01A1,,Human heart-on-a-chip for screening cardiomyopathy and chemotherapeutic cardiotoxicity,"HEALY, KEVIN",UNIVERSITY OF CALIFORNIA BERKELEY,CA,"$592,275"
Pediatric Cardiomyopathy,2017,NHLBI,5R01HL063038-16,,Molecular Physiolog of Myocardial Troponin I Variants.,"MURPHY, ANNE",JOHNS HOPKINS UNIVERSITY,MD,"$357,447"
Pediatric Cardiomyopathy,2017,NHLBI,5K08HL127294-03,,Cardiolipin Biosynthesis and Mitochondrial Energy Production in Pediatric Idiopathic Dilated Cardiomyopathy,"CHATFIELD, KATHRYN",UNIVERSITY OF COLORADO DENVER,CO,"$165,240"
Pediatric Cardiomyopathy,2017,NHLBI,5R01HL055438-20,,"Ryanodine Receptors, Calcium-dependent Arrhythmias & HCM","VALDIVIA, HECTOR",UNIVERSITY OF MICHIGAN,MI,"$387,500"
Pediatric Cardiomyopathy,2017,NHLBI,5R01HL095780-08,,The molecular mechanisms underlying arrhythmogenic right ventricular dysplasia/cardiomyopathy,"SHEIKH, FARAH",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$387,500"
