Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Pediatric Cardiomyopathy,2016,NHLBI,5R01HL109090-04,,Cardiac Biomarkers in Pediatric Cardiomyopathy,"LIPSHULTZ, STEVEN",WAYNE STATE UNIVERSITY,MI,"$1,302,791"
Pediatric Cardiomyopathy,2016,NHLBI,5R01HL071670-12,,Arrhythmia Mechanisms in Sarcomeric Cardiomyopathies,"KNOLLMANN, BJORN",VANDERBILT UNIVERSITY,TN,"$78,019"
Pediatric Cardiomyopathy,2016,NHLBI,4R01HL107715-05,,Molecular and Functional Mechanisms of Pediatric Heart Failure,"STAUFFER, BRIAN",UNIVERSITY OF COLORADO DENVER,CO,"$597,248"
Pediatric Cardiomyopathy,2016,NHLBI,4R01HL071207-14,,Molecular Basis of Noonan Syndrome and Related Disorder,"GELB, BRUCE",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$465,369"
Pediatric Cardiomyopathy,2016,NHLBI,2P01HL062426-16A1,7603,Project 1:  Molecular Signalling in Cardiac Sarcomeres,"SOLARO, R",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$390,956"
Pediatric Cardiomyopathy,2016,NHLBI,4R01HL114770-04,,Functional consequences of FHC mutations in cardiac MyBPC,"STELZER, JULIAN",CASE WESTERN RESERVE UNIVERSITY,OH,"$396,250"
Pediatric Cardiomyopathy,2016,NHLBI,4R01HL113006-05,,Human Induced Pluripotent Stem Cells for Cardiovascular Disease Modeling,"WU, JOSEPH",STANFORD UNIVERSITY,CA,"$393,018"
Pediatric Cardiomyopathy,2016,NHLBI,1R01HL130020-01,,Elucidating Genotype-Phenotype Relationship of Congenital Cardiomyopathies,"WU, JOSEPH",STANFORD UNIVERSITY,CA,"$395,000"
Pediatric Cardiomyopathy,2016,NHLBI,1R01HL130356-01,,Molecular mechanism of hypertrophic cardiomyopathy in populations of South Asian descendants,"SADAYAPPAN, SAKTHIVEL",LOYOLA UNIVERSITY CHICAGO,IL,"$374,279"
Pediatric Cardiomyopathy,2016,NHLBI,4R01HL109209-05,,Whole genome DNA sequencing to identify novel genes in dilated cardiomyopathy,"TAYLOR, MATTHEW",UNIVERSITY OF COLORADO DENVER,CO,"$410,109"
Pediatric Cardiomyopathy,2016,NHLBI,5R24HL117756-03,,Biorepository of Human iPSCs for Studying Dilated and Hypertrophic Cardiomyopathy,"WU, JOSEPH",STANFORD UNIVERSITY,CA,"$1,861,860"
Pediatric Cardiomyopathy,2016,NHLBI,5R01HL126527-02,,Genome Editing of Human iPSCs to Study Inherited Hypertrophic Cardiomyopathy,"WU, JOSEPH",STANFORD UNIVERSITY,CA,"$515,616"
Pediatric Cardiomyopathy,2016,NHLBI,5R01HL095780-07,,The molecular mechanisms underlying arrhythmogenic right ventricular dysplasia/cardiomyopathy,"SHEIKH, FARAH",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$387,500"
Pediatric Cardiomyopathy,2016,NHLBI,5R01HL055438-19,,"Ryanodine Receptors, Calcium-dependent Arrhythmias & HCM","VALDIVIA, HECTOR",UNIVERSITY OF MICHIGAN,MI,"$387,500"
Pediatric Cardiomyopathy,2016,NHLBI,5R01HL088498-08,,Canonical Wnt Signaling in Pathogenesis and Rescue of ARVC,"MARIAN, ALI",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,"$380,000"
Pediatric Cardiomyopathy,2016,NHLBI,5K08HL127294-02,,Cardiolipin Biosynthesis and Mitochondrial Energy Production in Pediatric Idiopathic Dilated Cardiomyopathy,"CHATFIELD, KATHRYN",UNIVERSITY OF COLORADO DENVER,CO,"$165,240"
Pediatric Cardiomyopathy,2016,NHLBI,5R01HL063038-15,,Molecular Physiolog of Myocardial Troponin I Variants.,"MURPHY, ANNE",JOHNS HOPKINS UNIVERSITY,MD,"$370,654"
Pediatric Cardiomyopathy,2016,NHLBI,1F31HL131230-01,,The role of the C3 domain of myosin binding protein-C in the pathogenesis of hypertrophic cardiomyopathy,"SMELTER, DAN",UNIVERSITY OF WISCONSIN-MADISON,WI,"$30,559"
Pediatric Cardiomyopathy,2016,NHLBI,1F31HL131327-01,,The role of Hsp70 chaperones in MYBPC3-linked hypertrophic cardiomyopathy,"GLAZIER, AMELIA",UNIVERSITY OF MICHIGAN,MI,"$34,838"
