Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Prostate Cancer,2017,NCI,5R01CA172603-05,,A novel strategy to identify prostate cancer biomarkers for patient management,"HUANG, JIAOTI",DUKE UNIVERSITY,NC,"$329,925"
Prostate Cancer,2017,NIMHD,5R01MD007783-04,,A Health IT based Psychoeducational Intervention for African American Prostate Cancer,"RIVERS, BRIAN",MOREHOUSE SCHOOL OF MEDICINE,GA,"$263,848"
Prostate Cancer,2017,NCI,5R01CA166894-05,,A New Mechanism for Castration Resistant Prostate Cancer,"SUN, ZIJIE",BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,CA,$1
Prostate Cancer,2017,NCI,5U01CA194393-03,,Quantifying and Characterizing the shared genetic contribution to common cancers,"LINDSTROEM, SARA",UNIVERSITY OF WASHINGTON,WA,"$566,464"
Prostate Cancer,2017,NCI,5F31CA200163-02,,Determining the mechanisms of selective miRNA packaging for extracellular miRNA secretion in prostate cancer,"HU, TIANYI","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$35,511"
Prostate Cancer,2017,NCI,1K22CA207578-01,,INVESTIGATING THE ROLE OF THE TRANSCRIPTIONAL COREGULATOR SRC-2 IN CASTRATION RESISTANT PROSTATE CANCER,"DASGUPTA, SUBHAMOY",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$206,685"
Prostate Cancer,2017,NCI,5R21CA191913-02,,"Auger Electron Radiotherapy of Late-Stage, Castration-Resistant Prostate Cancer using a Brominated Dihydrotestosterone Analogue","VEACH, DARREN",SLOAN-KETTERING INST CAN RESEARCH,NY,"$229,550"
Prostate Cancer,2017,NCI,5R01CA195476-02,,Reproducibility of Hyperpolarized Pyruvate Metabolic Imaging in Prostate Cancer,"KESHARI, KAYVAN",SLOAN-KETTERING INST CAN RESEARCH,NY,"$287,816"
Prostate Cancer,2017,NCI,5R01CA192669-03,,Dual Targeting of AR and HIF1 to promote radiosensitization of prostate cancer,"LARNER, JAMES",UNIVERSITY OF VIRGINIA,VA,"$412,055"
Prostate Cancer,2017,NCI,5K05CA175147-04,,Aggressive Prostate Cancer: Linking Epigenomics and Genetics for Prevention,"STANFORD, JANET",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$88,959"
