Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Prostate Cancer,2008,NCI,5R13CA121807-02,,CSHL Conference on PTEN Pathways,"STEWART, DAVID",COLD SPRING HARBOR LABORATORY,NY,"$7,000"
Prostate Cancer,2008,NCI,1R01CA116379-01A1,,3-D Transrectal Ultrasound with 2-D Arrays,"YEN, JESSE",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$248,168"
Prostate Cancer,2008,NCI,5R01CA112310-04,,Role of Raf Kinase Inhibitory Protein in Prostate Cancer,"ROSNER, MARSHA",UNIVERSITY OF CHICAGO,IL,"$297,116"
Prostate Cancer,2008,NCI,7K99CA125937-02,,Characterization of prostatic stem cells and prostate cancer-initiating cells,"XIN, LI",BAYLOR COLLEGE OF MEDICINE,TX,"$89,179"
Prostate Cancer,2008,NIDDK,5R37DK047556-14,,HEPARIN-BINDING EGF-LIKE FACTORS IN PROSTATE GROWTH,"FREEMAN, MICHAEL",CHILDREN'S HOSPITAL BOSTON,MA,"$361,146"
Prostate Cancer,2008,NCI,5F31CA113285-04,,Mechanism of ART-27 Function in Prostate Cancer,"NWACHKWU, JEROME",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$46,864"
Prostate Cancer,2008,NIDDK,5R37DK051193-13,,Role of U19/Eaf2 in androgen-dependent prostate homeostasis,"WANG, ZHOU",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$289,685"
Prostate Cancer,2008,NCI,5R01CA111868-04,,Interactions and Functions of p14ARF in Cancer,"GJERSET, RUTH",SIDNEY KIMMEL CANCER CENTER,CA,"$370,484"
Prostate Cancer,2008,NIDDK,5R37DK045370-11,,Prevention and Treatment of Impotence,"LUE, TOM",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$330,824"
Prostate Cancer,2008,NCI,5R33CA118591-03,,An RNA Sensor for Detection of Circulating Tumor Cells,"CLAWSON, GARY",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,PA,"$284,503"
Prostate Cancer,2008,NCI,5F32CA112988-03,,Deciphering Beta-Catenin Contributions in Prostate Cance,"MULHOLLAND, DAVID",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$48,796"
Prostate Cancer,2008,NCI,5R01CA120451-02,,Pomegranate for Chemoprevention and Chemotherapy of Prostate Cancer,"MUKHTAR, HASAN",UNIVERSITY OF WISCONSIN MADISON,WI,"$279,300"
Prostate Cancer,2008,NCI,5R01CA102751-04,,MR Based Molecular Imaging of Prostate Cancer,"KURHANEWICZ, JOHN",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$252,330"
Prostate Cancer,2008,NCI,5R33CA110518-03,,PSA BASED EARLY DETECTION OF PROSTATE CANCER RECURRENCE,"TAYLOR, JEREMY",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$319,472"
Prostate Cancer,2008,NCI,5R01CA116673-02,,Clinical Trial of Selenium and Prostate Biomarkers,"MARSHALL, JAMES",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$410,787"
Prostate Cancer,2008,NCI,5R01CA075284-09,,Improved Cryosurgical Destruction of Prostate Cancer,"BISCHOF, JOHN",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$319,374"
Prostate Cancer,2008,NCI,5R01CA109460-03,,PI3K Pathway in Prostate Tumorigenesis and Angiogenesis,"JIANG, BING-HUA",WEST VIRGINIA UNIVERSITY,WV,"$227,246"
Prostate Cancer,2008,NCI,5R01CA103943-05,,Role of RNase L in the Biology of Prostate Cancer,"SILVERMAN, ROBERT",CLEVELAND CLINIC LERNER COL/MED-CWRU,OH,"$297,398"
Prostate Cancer,2008,NCI,7R01CA104334-05,,PREVENTION OF PROSTATIC CARCINOGENESIS BY ANTIOXIDANTS,"BOSLAND, MAARTEN",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$244,138"
Prostate Cancer,2008,NCI,5R01CA109147-03,,AR and RUNX2 target genes in prostate cancer,"COETZEE, GERHARD",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$252,841"
Prostate Cancer,2008,NCI,5R01CA105125-04,,Ceramide synthase as a therapy target in prostate cancer,"HAIMOVITZ-FRIEDMAN, ADRIANA",SLOAN-KETTERING INSTITUTE FOR CANCER RES,NY,"$319,439"
Prostate Cancer,2008,NCI,5R21CA118362-02,,Targeting Relaxin Signaling in Prostate Cancer,"AGOULNIK, ALEXANDER",BAYLOR COLLEGE OF MEDICINE,TX,"$150,000"
Prostate Cancer,2008,NCI,5R01CA116242-02,,Tea Polyphenols in Chemoprevention of Prostate Cancer,"HENNING, SUSANNE",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$264,195"
Prostate Cancer,2008,NCI,5R01CA119334-29,,Technetium and Rhenium in Nuclear Medicine,"JONES, ALUN",HARVARD UNIVERSITY (MEDICAL SCHOOL),MA,"$563,873"
Prostate Cancer,2008,NIGMS,5R01GM064559-07,,Heterocumulenes in Asymmetric Catalysis,"LECTKA, THOMAS",JOHNS HOPKINS UNIVERSITY,MD,"$261,467"
Prostate Cancer,2008,NCI,5R01CA106826-04,,Developmental Transcription Factors in Prostate Cancer,"MORENO, CARLOS",EMORY UNIVERSITY,GA,"$229,214"
Prostate Cancer,2008,NCI,5R01CA102537-05,,Role of Cten in Prostate Cancer,"LO, SU",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$221,769"
Prostate Cancer,2008,NCI,7R01CA109441-04,,IL-4 and androgen receptor signaling in prostate cancer,"GAO, ALLEN",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$213,141"
Prostate Cancer,2008,NCI,5R01CA111846-03,,Prx1 in malignant progression of prostate cancer,"PARK, YOUNG-MEE",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$307,083"
Prostate Cancer,2008,NCI,5R01CA112028-04,,Cell Cycle Variants and Metastatic Prostate Cancer Risk,"KIBEL, ADAM",WASHINGTON UNIVERSITY,MO,"$229,214"
Prostate Cancer,2008,NCI,5R21CA114547-02,,Intervention to Enhance Quality of Life in Men with PCa: Development and Testing,"ELLER, LUCILLE",RUTGERS THE STATE UNIV OF NJ NEWARK,NJ,"$154,500"
Prostate Cancer,2008,NCI,5R01CA111421-04,,Apoptosis by FADD in normal and cancerous cells,"THORBURN, ANDREW",UNIVERSITY OF COLORADO DENVER,CO,"$288,389"
Prostate Cancer,2008,NCI,5R01CA105402-05,,Androgen and Growth Factor Signaling in Prostate Cancer,"WEBER, MICHAEL",UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,VA,"$148,210"
Prostate Cancer,2008,NCI,5R01CA111891-03,,delta-Catenin and Cell-Cell Adhesion in Prostate Cancer,"LU, QUN",EAST CAROLINA UNIVERSITY,NC,"$184,029"
Prostate Cancer,2008,NCI,5R01CA102074-05,,Androgen Control of TGF-beta signaling,"DANIELPOUR, DAVID",CASE WESTERN RESERVE UNIVERSITY,OH,"$293,511"
Prostate Cancer,2008,NCI,5R01CA107166-05,,PTEN and Prostate Cancer Progression,"WU, HONG",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$297,832"
Prostate Cancer,2008,NCI,5R01CA107039-04,,Rexinoid Synergy in Prostate Cancer Apoptosis,"DAWSON, MARCIA",BURNHAM INSTITUTE FOR MEDICAL RESEARCH,CA,"$510,361"
Prostate Cancer,2008,NCI,5R01CA114060-03,,SELECT Pre-Clinical Trial of Prostate Cancer,"AHMAD, NIHAL",UNIVERSITY OF WISCONSIN MADISON,WI,"$250,774"
Prostate Cancer,2008,NCI,5R01CA112303-04,,Membrane Microdomains in Prostate Cancer,"FREEMAN, MICHAEL",CHILDREN'S HOSPITAL BOSTON,MA,"$284,832"
Prostate Cancer,2008,NCI,5R01CA098513-05,,Prostate Cancer Metastasis Suppressor: Role of RKIP,"KELLER, EVAN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$237,918"
Prostate Cancer,2008,NCI,5R01CA058093-15,,Mesenchymal Derived Growth Factors in Prostatic Cancer,"ROWLEY, DAVID",BAYLOR COLLEGE OF MEDICINE,TX,"$256,863"
Prostate Cancer,2008,NCI,5R01CA104035-04,,A Novel Inhibitor of Stat3 for Prostate Cancer Therapy,"JING, NAIJIE",BAYLOR COLLEGE OF MEDICINE,TX,"$280,899"
Prostate Cancer,2008,NCI,1R01CA131013-01,,Multi-parametric MRI Determination of Prostate Cancer Aggressiveness and Extent,"METZGER, GREGORY",UNIVERSITY OF MINNESOTA TWIN CITIES,MN,"$311,293"
Prostate Cancer,2008,NCI,1R01CA131226-01,,Efficacy and Mechanism of Novel Androgen Receptor Inhibitors,"DIAMOND, MARC",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$320,241"
Prostate Cancer,2008,NCI,5R01CA064851-14,,KGF in Prostate Cancer: A Transgenic Animal Model,"GREENBERG, NORMAN",FRED HUTCHINSON CANCER RESEARCH CENTER,WA,"$336,274"
Prostate Cancer,2008,NCI,5R21CA122693-02,,PET-guided Intervention in Lymphatic Metastasis of Prostate Cancer,"WU, LILY",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$185,400"
Prostate Cancer,2008,NCI,5R01CA102688-05,,Validation of a New Target for Prostate Cancer Therapy,"BARON, VERONIQUE",SIDNEY KIMMEL CANCER CENTER,CA,"$289,700"
Prostate Cancer,2008,NCI,5R01CA095739-08,,Store-Operated Calcium Entry and Apoptosis,"MA, JIANJIE",UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,NJ,"$245,631"
Prostate Cancer,2008,NCI,1R21CA131754-01,,Decision Making in Patients with Advanced Prostate Cancer,"JONES, RANDY",UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,VA,"$229,141"
Prostate Cancer,2008,NCI,5R01CA097543-04,,Metabolism of Vitamin A in the Prostate,"GUDAS, LORRAINE",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$251,685"
Prostate Cancer,2008,NCI,1R21CA131774-01,,Small RNA targeted gene activation for the treatment of prostate cancer,"LI, LONG-CHENG",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$208,238"
Prostate Cancer,2008,NCI,5R01CA046283-20,,MECHANISMS OF EPITHELIAL CELL TUMORIGENESIS IN THE MOUSE,"VAN DYKE, TERRY",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$479,600"
Prostate Cancer,2008,NCI,5R01CA105304-05,,Genomic and proteomic analysis of prostate cancer,"SADAR, MARIANNE",BRITISH COLUMBIA CANCER AGENCY,CANADA,"$209,928"
Prostate Cancer,2008,NCI,7R01CA118887-03,,Selenium regulates androgen receptor signaling in prostate cancer,"GAO, ALLEN",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$235,778"
Prostate Cancer,2008,NCI,1R21CA132033-01,,Targeted polymeric nanocarriers for combination therapy of prostate cancer,"FORREST, MARCUS",UNIVERSITY OF KANSAS LAWRENCE,KS,"$164,470"
Prostate Cancer,2008,NCI,5R01CA116636-03,,Prostate Cancer Chemoprevention by Inositol Hexaphosphate Efficacy and Mechanism,"AGARWAL, RAJESH",UNIVERSITY OF COLORADO DENVER,CO,"$261,397"
Prostate Cancer,2008,NCI,5R21CA121782-02,,Cell-targeting peptide nucleic acids for hormone-refractory prostate cancer,"BARTON, BEVERLY",UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,NJ,"$187,200"
Prostate Cancer,2008,NIA,5R44AG029029-03,,Software for Meta-Analysis of Diagnostic Tests,"BORENSTEIN, MICHAEL","BIOSTATISTICAL PROGRAMMING ASSOC, INC.",NJ,"$474,666"
Prostate Cancer,2008,NCI,5R01CA103934-03,,MR Diffusion Tensor Imaging of Prostate Cancer,"VIGNERON, DANIEL",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$261,115"
Prostate Cancer,2008,NCI,5R01CA104286-05,,Pure Flavonolignans from S. marianum in Prostate Cancer,"KROLL, DAVID",RESEARCH TRIANGLE INSTITUTE,NC,"$386,258"
Prostate Cancer,2008,NCI,5R01CA111618-04,,Protocadherin-PC and Prostate Cancer,"BUTTYAN, RALPH","ORDWAY RESEARCH INSTITUTE, INC.",NY,"$275,333"
Prostate Cancer,2008,NCI,5R01CA109874-04,,Beta1 Integrins and IGF-I Receptor in Prostate Cancer,"LANGUINO, LUCIA",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,"$273,876"
Prostate Cancer,2008,NCI,5R01CA114469-05,,Mechanisms of Chemoprevention by Resveratrol,"SRIVASTAVA, RAKESH",UNIVERSITY OF TEXAS HLTH CTR AT TYLER,TX,"$168,184"
Prostate Cancer,2008,NCI,7R01CA115717-02,,Modeling androgen-independent prostate cancer in mutant mice,"ABATE-SHEN, CORY",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$305,900"
Prostate Cancer,2008,NCI,5R01CA102218-05,,TRAIL-induced apoptosis in prostate cancer,"VOELKEL-JOHNSON, CHRISTINA",MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,"$249,182"
Prostate Cancer,2008,NIA,7R01AG024278-03,,Genetic Analysis of a Prostate Tumor Suppressor Region,"MARKER, PAUL",UNIVERSITY OF WISCONSIN MADISON,WI,"$289,683"
Prostate Cancer,2008,NCI,5R01CA120386-02,,Role of Eaf family proteins in prostate carcinogenesis,"WANG, ZHOU",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$282,150"
Prostate Cancer,2008,NCI,2R01CA058073-15A1,,Molecular Mechanisms of Growth Control in Prostate Cancer,"LIAO, SHUTSUNG",UNIVERSITY OF CHICAGO,IL,"$315,168"
Prostate Cancer,2008,NCI,2R01CA085567-06A2,,The Role of CDK5 in Metastasis,"NELKIN, BARRY",JOHNS HOPKINS UNIVERSITY,MD,"$350,509"
Prostate Cancer,2008,NCI,2R01CA089406-07A2,,Regulation of cancer cell-cycle by statins,"DUTTA, ANINDYA",UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,VA,"$230,751"
Prostate Cancer,2008,NCI,7R01CA116337-03,,"""Molecular Signatures of Lethal and Indolent Prostate Cancer""","RUBIN, MARK",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$532,731"
Prostate Cancer,2008,NCI,1R01CA120921-01A2,,Regulation of androgen receptor by HER-2 and Ack1 tyrosine kinases,"WHANG, YOUNG",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$272,655"
Prostate Cancer,2008,NCI,5R01CA119168-03,,Internet-Based Education for Prostate Cancer Screening,"TAYLOR, KATHRYN",GEORGETOWN UNIVERSITY,DC,"$363,858"
Prostate Cancer,2008,NCI,5R01CA113903-04,,Communication and Chemoprevention of Prostate Cancer,"MEHTA, PARMENDER",UNIVERSITY OF NEBRASKA MEDICAL CENTER,NE,"$247,753"
Prostate Cancer,2008,NCI,5R01CA114281-04,,Redox Effects of Selenium for Prostate Cancer Prevention,"ZHONG, WEIXIONG",UNIVERSITY OF WISCONSIN MADISON,WI,"$272,472"
Prostate Cancer,2008,NCI,5R01CA076639-11,,IL-10 Regulation of Lymphangiogenesis in Prostate Cancer,"STEARNS, MARK",DREXEL UNIVERSITY,PA,"$320,012"
Prostate Cancer,2008,NCI,5R01CA112663-09,,T-bet and Tumor Immunity,"GLIMCHER, LAURIE",HARVARD UNIVERSITY (SCH OF PUBLIC HLTH),MA,"$297,397"
Prostate Cancer,2008,NIA,2R01AG019241-06A2,,Prevention of Alzheimer's Diseae by Vitamin E and Selenium,"MARKESBERY, WILLIAM",UNIVERSITY OF KENTUCKY,KY,"$1,304,793"
Prostate Cancer,2008,NCI,1R01CA122246-01A2,,Pathogenetics of a Clinically-favorable Prostate Cancer Subtype,"POLLACK, JONATHAN",STANFORD UNIVERSITY,CA,"$206,190"
Prostate Cancer,2008,NIEHS,1R01ES015584-01A1,,Epigenetic Basis for Prostate Carcinogenesis following Early Estrogenic Exposures,"PRINS, GAIL",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$504,593"
Prostate Cancer,2008,NCI,1R01CA122247-01A2,,Targeting DHT Catabolism by AKR1Cs for Prostrate Cancer Prevention and Treatment.,"STOLZ, ANDREW",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$304,403"
Prostate Cancer,2008,NCI,2R01CA095045-06,,Vitamin D in Prostate Cancer:  Tumor Vasculature Effects,"JOHNSON, CANDACE",ROSWELL PARK CANCER INSTITUTE CORP,NY,"$270,000"
Prostate Cancer,2008,NCI,2U01CA098710-05,,Characterizing Genetic Susceptibility to Breast and Prostate Cancer: The BPC3.,"THUN, MICHAEL","AMERICAN CANCER SOCIETY, INC.",GA,"$1,063,219"
Prostate Cancer,2008,NCI,2U01CA098216-05,,Characterizing Genetic Susceptibility to Breast and Prostate Cancer; the BPC3,"RIBOLI, ELIO",U OF L IMPERIAL COL OF SCI/TECHNLGY/MED,UK,"$1,299,337"
Prostate Cancer,2008,NCI,5R01CA113363-04,,Prostate Cancer Prevention by Diallyl Trisulfide,"SINGH, SHIVENDRA",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$276,733"
Prostate Cancer,2008,NCI,5R01CA118947-03,,Chemopreventive Signaling Mechanisms in Prostate Cancer,"KONG, AH-NG",RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK,NJ,"$260,445"
Prostate Cancer,2008,NCI,2R01CA097134-06A1,,Repressors in Prostate Cancer,"ROSENFELD, MICHAEL",UNIVERSITY OF CALIFORNIA SAN DIEGO,CA,"$311,178"
Prostate Cancer,2008,NIDDK,2K24DK062895-06,,Osteoporosis in Older Men and Women,"GREENSPAN, SUSAN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$179,335"
Prostate Cancer,2008,NCI,1K07CA127214-01A1,,Genetic Susceptibility to Cancers of the Prostate and Urinary Bladder,"BEEBE-DIMMER, JENNIFER",WAYNE STATE UNIVERSITY,MI,"$132,819"
Prostate Cancer,2008,NCI,5R01CA123063-02,,Glycosaminoglycan-based inhibitors for treatment of prostate cancer,"LOKESHWAR, VINATA",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$260,623"
Prostate Cancer,2008,NCI,1R21CA127784-01A1,,"""Strength training, Self-efficacy, and Function in Blacks with Prostate Cancer.""","HURLEY, BERNARD",UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS,MD,"$165,375"
