Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Stroke,2013,NCI,5U01AG029824-03,,ASPirin in Reducing Events in the Elderly,"GRIMM, RICHARD","MINNEAPOLIS MEDICAL RESEARCH FDN, INC.",MN,"$633,989"
Stroke,2013,NIA,5U01AG029824-03,,ASPirin in Reducing Events in the Elderly,"GRIMM, RICHARD","MINNEAPOLIS MEDICAL RESEARCH FDN, INC.",MN,"$7,908,651"
Stroke,2013,NIDCD,1K23DC011056-01A1,,Neural Basis of Coexisting Swallowing and Communication Disorders after Stroke,"GONZALEZ-FERNANDEZ, MARLIS",JOHNS HOPKINS UNIVERSITY,MD,"$236,359"
Stroke,2013,NINDS,5R41NS074576-02,,Preclinical Testing of a Novel Flow Diverting Stent for the Treatment of Intracra,"JOHNSON, ALFRED","NEUROSIGMA, INC.",CA,"$339,690"
Stroke,2013,NINDS,5F30NS070589-03,,Adult Neurogenesis after Stroke: The role of SDF-1 in mechanisms of neural repair,"AHMED, TAHIR",HARVARD UNIVERSITY (MEDICAL SCHOOL),MA,"$47,232"
Stroke,2013,NINDS,5R21NS077442-02,,Indo-US Collaborative Stroke Registry and Infrastructure Development,"SINGHAL, ANEESH",MASSACHUSETTS GENERAL HOSPITAL,MA,"$168,875"
Stroke,2013,NINDS,2U01NS041588-12,,Etiology of Geographic and Racial Differences in Stroke,"HOWARD, GEORGE",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$1,684,961"
Stroke,2013,NHLBI,5P01HL101398-03,8664,Depressions and Mental Stress Ischemia: Brain Mechanisms,"VACCARINO, VIOLA",EMORY UNIVERSITY,GA,"$371,171"
Stroke,2013,NINDS,5K02NS067051-03,,Microglial uptake and inactivation of epoxyeicosatrienoic acid in stroke injury,"KOERNER, INES",OREGON HEALTH & SCIENCE UNIVERSITY,OR,"$195,750"
Stroke,2013,NINDS,5R01NS059909-05,,Motor Function after Stroke,"CRAMER, STEVEN",UNIVERSITY OF CALIFORNIA IRVINE,CA,"$326,217"
Stroke,2013,NINDS,5R01NS062200-05,,Computer Models of Normal and Abnormal Discharge Patterns in Human Motoneurons,"POWERS, RANDALL",UNIVERSITY OF WASHINGTON,WA,"$477,810"
Stroke,2013,NHLBI,5R01HL095511-04,,TCD with Transfusions Changing to Hydroxyurea - SDMC,"DAVIS, BARRY",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,"$672,392"
Stroke,2013,NHLBI,5R01HL073349-09,,APOPTOSIS OF SMOOTH MUSCLE CELLS IN CAROTID PLAQUES,"AGRAWAL, DEVENDRA",CREIGHTON UNIVERSITY,NE,"$306,424"
Stroke,2013,NINDS,5R01NS038653-15,,Cell Death/Survival After Global Cerebral Ischemia,"CHAN, PAK",STANFORD UNIVERSITY,CA,"$331,262"
Stroke,2013,NINDS,5R01NS036812-16,,Excitotoxicity and Inflammation,"HEWETT, SANDRA",SYRACUSE UNIVERSITY,NY,"$392,437"
Stroke,2013,NINDS,5R01NS065219-04,,"Zn2+, mitochondria and the induction of ischemic neurodegeneration","WEISS, JOHN",UNIVERSITY OF CALIFORNIA IRVINE,CA,"$316,514"
Stroke,2013,NINDS,5R01NS062040-05,,Neuroglobin in Neuronal Hypoxi and Cerebral Ischemia,"GREENBERG, DAVID",BUCK INSTITUTE FOR RESEARCH ON AGING,CA,"$401,332"
Stroke,2013,NHLBI,5R01HL092105-05,,Modification of Vascular Signaling in the Brain by ROS,"HARDER, DAVID",MEDICAL COLLEGE OF WISCONSIN,WI,"$390,432"
Stroke,2013,NINDS,5R01NS065825-03,,The attenuation of ischemic injury by transglutaminase 2,"JOHNSON, GAIL",UNIVERSITY OF ROCHESTER,NY,"$326,140"
Stroke,2013,NINDS,5R01NS055215-07,,Chromosomal and Hormonal Contributions to Sex Differences in Ischemic Stroke.,"MCCULLOUGH, LOUISE",UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,CT,"$467,159"
Stroke,2013,NINDS,5R01NS062059-05,,Occult Small Vessel Cerebrovascular Disease in High Risk Families,"NYQUIST, PAUL",JOHNS HOPKINS UNIVERSITY,MD,"$524,422"
Stroke,2013,NICHD,5R01HD055525-05,,Donepezil to promote functional recovery post-stroke,"WHYTE, ELLEN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$343,927"
Stroke,2013,NINDS,5R01NS038916-15,,Brain Attack Surveillance in Corpus Christi (BASIC) Project,"LISABETH, LYNDA",UNIVERSITY OF MICHIGAN,MI,"$599,064"
Stroke,2013,NICHD,5R01HD068488-03,,Post-Stroke Aphasia and rTMS Treatment (PART) Study,"SZAFLARSKI, JERZY",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$461,144"
Stroke,2013,NHLBI,5R01HL095931-04,,Phytoestrogen and Endogenous Estrogen Exposure and Risk of Stroke,"ZHANG, XIANGLAN",VANDERBILT UNIVERSITY MED CTR,TN,"$637,628"
Stroke,2013,NICHD,5K01HD060886-04,,Reach Forward: Mechanisms of Practice-Induced Reaching Improvement After Stroke,"HARRIS-LOVE, MICHELLE",NATIONAL REHABILITATION HOSPITAL,DC,"$131,757"
Stroke,2013,NICHD,5R01HD065438-03,,Optimizing the Dose of Rehabilitation After Stroke,"SCHWEIGHOFER, NICOLAS",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$326,694"
Stroke,2013,NCI,5R01CA047988-22,,Women's Health Study:  Continued Follow-up,"BURING, JULIE",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$1,669,985"
Stroke,2013,NHLBI,5F31HL112613-02,,Short and long term depressive symptoms and arrhythmic pathways to stroke,"GILSANZ, PAOLA",HARVARD UNIVERSITY (SCH OF PUBLIC HLTH),MA,"$30,245"
Stroke,2013,NINDS,5R01NS064084-04,,Neuromechanical Substrates for Post Stroke Asymmetric Gait,"DHAHER, YASIN",REHABILITATION INSTITUTE OF CHICAGO,IL,"$314,883"
Stroke,2013,NICHD,5R21HD068805-02,,Error Based Learning for Restoring Gait Symmetry Post-Stroke,"LEWEK, MICHAEL",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$172,430"
Stroke,2013,NINDS,5R44NS066557-03,,Cerebral Aneurysm Clipping Training Simulator using Virtual Reality and Haptics,"BANERJEE, P.","IMMERSIVETOUCH, INC.",IL,"$452,435"
Stroke,2013,NINDS,5U01NS038384-13,,Carotid Revascularization Endarterectomy vs. Stenting Trial: Long Term Follow-up,"BROTT, THOMAS",UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,NJ,"$88,831"
Stroke,2013,NINDS,5R21NS078738-02,,Real-time Monitoring of Neurotransmitters in a Hypoxic Environment,"ANDREESCU, EMANUELA",CLARKSON UNIVERSITY,NY,"$187,200"
Stroke,2013,NICHD,5R01HD033053-16,,Fetal Cardiovascular and Endocrine Reflex Responses,"WOOD, CHARLES",UNIVERSITY OF FLORIDA,FL,"$288,485"
Stroke,2013,NIGMS,9SC1DC009792-05A1,,Facilitation and competition across languages in multilingual aphasia,"GORAL, MIRA",HERBERT H. LEHMAN COLLEGE,NY,"$309,747"
Stroke,2013,NINDS,5R01NS063279-04,,Vascular adhesion protein-1 (VAP-1) as a therapeutic target in stroke,"PELLIGRINO, DALE",UNIVERSITY OF ILLINOIS,IL,"$324,789"
Stroke,2013,NICHD,5R01HD068290-02,,Dose-Response of Movement Practice During Stroke Rehabilitation,"LANG, CATHERINE",WASHINGTON UNIVERSITY,MO,"$470,436"
Stroke,2013,NINDS,7R01NS070001-04,,Novel Signaling Pathways in Ischemic Stroke,"LIAO, JAMES",UNIVERSITY OF CHICAGO,IL,"$326,858"
Stroke,2013,NINDS,5K23NS073806-03,,Biomarkers of Vasospasm and Outcome following Subarachnoid Hemorrhage,"CHOU, SHERRY",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$193,536"
Stroke,2013,NINDS,5R01NS062097-04,,Transplantation of Pre-conditioned Bone Marrow Mesenchymal Stem Cells after Ische,"WEI, LING",EMORY UNIVERSITY,GA,"$320,652"
