Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Stroke,2010,NHLBI,5R01HL087681-03,,Genome-Wide Association Studies in Sickle Cell Anemia and in Centenarians,"STEINBERG, MARTIN",BOSTON UNIVERSITY MEDICAL CAMPUS,MA,"$740,842"
Stroke,2010,NINDS,5R01NS038916-12,,Brain Attack Surveillance in Corpus Christi (BASIC) Project,"MORGENSTERN, LEWIS",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$652,674"
Stroke,2010,NICHD,5R01HD055525-02,,Donepezil to promote functional recovery post-stroke,"WHYTE, ELLEN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$441,397"
Stroke,2010,NINDS,5K23NS051202-05,,Treatment of Obstructive Sleep Apnea After Stroke,"BROWN, DEVIN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$167,648"
Stroke,2010,NINDS,5R01NS055215-04,,Gender Differences in Ischemic Cell Death,"MCCULLOUGH, LOUISE",UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,CT,"$320,513"
Stroke,2010,NINDS,5R01NS040960-08,,Neuronal Plasticity and Recovery of Function After Stroke,"KARTJE MD, GWENDOLYN",LOYOLA UNIVERSITY CHICAGO,IL,"$284,093"
Stroke,2010,NINDS,5R01NS042646-08,,Improved Animal Modeling of Saccular Aneurysms,"KALLMES, DAVID",MAYO CLINIC,MN,"$487,629"
Stroke,2010,NINDS,5R01NS054687-03,,Interaction of Estrogen and Tissue Plasminogen Activator,"YANG, SHAOHUA",UNIVERSITY OF NORTH TEXAS HLTH SCI CTR,TX,"$249,480"
Stroke,2010,NINDS,5R01NS034179-15,,NO SYNTHASE GENE EXPRESSION AND CEREBRAL ISCHEMIC DAMAGE,"IADECOLA, COSTANTINO",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$363,826"
Stroke,2010,NINDS,5R01NS056456-05,,Prostanoid Receptors and Ischemic Brain Injury,"IADECOLA, COSTANTINO",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$145,347"
Stroke,2010,NINDS,5R01NS053716-06,,Neurovascular Adhesion Receptors and Barrier Integrity,"DEL ZOPPO, GREGORY",UNIVERSITY OF WASHINGTON,WA,"$337,412"
Stroke,2010,NIDCD,5R21DC009446-02,,Computational and Behavioral Evidence for Bilingual Aphasia Rehabilitation,"KIRAN, SWATHI",UNIVERSITY OF TEXAS AUSTIN,TX,"$180,460"
Stroke,2010,NIDCD,5R01DC000942-13,,Disorders of Syntactic Comprehension,"CAPLAN, DAVID",MASSACHUSETTS GENERAL HOSPITAL,MA,"$537,772"
Stroke,2010,NIDCD,5R01DC000314-24,,Speech and Language Processing in Aphasia,"BLUMSTEIN, SHEILA",BROWN UNIVERSITY,RI,"$330,148"
Stroke,2010,NINDS,5F32NS061479-03,,Genetic Regulation of Kappa(Na) Channels in Neuronal Excitability,"BROWN, MAILE",YALE UNIVERSITY,CT,"$58,035"
Stroke,2010,NINDS,5R01NS035806-13,,Role of COX-2 Gene Expression in Ischemic Brain Damage,"IADECOLA, COSTANTINO",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$363,367"
Stroke,2010,NINDS,5K08NS051350-04,,The role of neutrophils in SAH,"PROVENCIO, JOSE",CLEVELAND CLINIC LERNER COL/MED-CWRU,OH,"$169,668"
Stroke,2010,NINDS,5R01NS052369-03,,Mechanisms Impairing Finger Extension Following Stroke,"KAMPER, DEREK",REHABILITATION INSTITUTE OF CHICAGO,IL,"$312,639"
Stroke,2010,NINDS,5R01NS029331-17,,Cerebral ischemia and expression of stress genes,"WELSH, FRANK",UNIVERSITY OF PENNSYLVANIA,PA,"$341,087"
Stroke,2010,NIGMS,5R01GM084136-02,,Kv2.1 membrane corrals:Regulators of K+ channel function and trafficking,"TAMKUN, MICHAEL",COLORADO STATE UNIVERSITY-FORT COLLINS,CO,"$298,337"
Stroke,2010,NINDS,5R01NS055383-03,,"Muscle Morphology, Strength and Compensatory Strategies Following Stroke","HIGGINSON, JILL",UNIVERSITY OF DELAWARE,DE,"$324,845"
Stroke,2010,NINDS,5R01NS054685-04,,Mechanisms of EPO-Induced Neuroprotection,"ZHANG, JOHN",LOMA LINDA UNIVERSITY,CA,"$347,583"
Stroke,2010,NINDS,5U01NS042804-07,,Silent Cerebral Infarct Multi-Center Clinical Trial,"DEBAUN, MICHAEL",WASHINGTON UNIVERSITY,MO,"$4,510,212"
Stroke,2010,NHLBI,5R01HL086676-04,,Ectonucleotidases in Atherothrombosis and Stroke,"PINSKY, DAVID",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$363,159"
Stroke,2010,NHLBI,5R01HL082485-05,,Controlling complement in cerebral ischemic injury,"TOMLINSON, STEPHEN",MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,"$318,974"
Stroke,2010,NHLBI,5R01HL082517-05,,Sulfonylurea receptor 1 (SUR1)- A novel therapeutic target in ischemic stroke,"SIMARD, J. MARC",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$360,484"
Stroke,2010,NINDS,5R01NS049476-05,,Neuroprotective Mechanisms of Neuroglobin in Stroke,"WANG, XIAOYING",MASSACHUSETTS GENERAL HOSPITAL,MA,"$334,170"
Stroke,2010,NINDS,5R01NS051561-05,,Cerebellar malfunction and damage during ischemia,"ROSSI, DAVID",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$331,358"
Stroke,2010,NINDS,5U01NS041588-09,,Etiology of Geographic and Racial Differences in Stroke,"HOWARD, GEORGE",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$3,944,678"
Stroke,2010,NIDCD,5R01DC008796-03,,Behavioral and Neural Correlates of Melodic Intonation Therapy,"SCHLAUG, GOTTFRIED",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$357,638"
Stroke,2010,NINDS,5R01NS056457-05,,Sensitization to brain antigens following stroke.,"BECKER, KYRA",UNIVERSITY OF WASHINGTON,WA,"$262,433"
Stroke,2010,NINDS,5R01NS053560-05,,CD47 as a neurovascular target for stroke therapy,"LO, ENG",MASSACHUSETTS GENERAL HOSPITAL,MA,"$378,508"
Stroke,2010,NINDS,5R01NS054192-04,,"Astrocytes, HIF-1a and neuronal survival during stroke","REMPE, DAVID",UNIVERSITY OF ROCHESTER,NY,"$142,932"
Stroke,2010,NINR,5F31NR010658-03,,The Contribution of Inflammation to Brain Injury after Stroke,"MORRISON, HELENA",UNIVERSITY OF ARIZONA,AZ,"$3,375"
Stroke,2010,NINDS,5R01NS024728-23,,Cell excitation in ischemic brain injury.,"SIMON, ROGER",EMANUEL HOSPITAL AND HEALTH CENTER,OR,"$339,575"
Stroke,2010,NINDS,5K08NS053899-05,,"Cerebral Amyloid Angiopathy, Vascular Dysfunction & Ischemic Brain Injury","ZIPFEL, GREGORY",WASHINGTON UNIVERSITY,MO,"$157,583"
Stroke,2010,NHLBI,5R01HL092105-02,,Modification of Vascular Signaling in the Brain by ROS,"HARDER, DAVID",MEDICAL COLLEGE OF WISCONSIN,WI,"$414,259"
Stroke,2010,NINDS,5R01NS059944-02,,Determinants of Intracranial Aneurysm Growth,"SALONER, DAVID",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$334,590"
Stroke,2010,NINDS,5R01NS062040-02,,Neuroglobin in Neuronal Hypoxi and Cerebral Ischemia,"GREENBERG, DAVID",BUCK INSTITUTE FOR AGE RESEARCH,CA,"$420,132"
Stroke,2010,NINDS,5R01NS034773-11,,Ischemic Preconditioning: Mechanisms of Neuroprotection,"PEREZ, MIGUEL",UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,FL,"$331,341"
Stroke,2010,NINDS,5R01NS052305-05,,Pathobiology of Vascular Cognitive Impairment,"ROSENBERG, GARY",UNIVERSITY OF NEW MEXICO,NM,"$426,659"
Stroke,2010,NINDS,5R01NS054651-03,,Vascular Cognitive Impairment Induced by Ischemic Stroke: mechanism and therapy,"YANG, SHAOHUA",UNIVERSITY OF NORTH TEXAS HLTH SCI CTR,TX,"$311,851"
Stroke,2010,NINDS,5U01NS041895-08,,Carotid Occlusion Surgery Study (COSS): Data Management Center,"CLARKE, WILLIAM",UNIVERSITY OF IOWA,IA,$1
Stroke,2010,NINDS,5U01NS042167-08,,CAROTID OCCLUSION SURGERY STUDY,"POWERS, WILLIAM",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,$1
Stroke,2010,NINDS,5R21NS053473-02,,Novel Modified Erythropoietins for the Treatment of Ischemic Brain Injury,"CAO, GUODONG",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$164,046"
Stroke,2010,NINDS,5R01NS027713-19,,Hemodynamics of Cerebral Arteriovenous Malformations,"YOUNG, WILLIAM L",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$334,590"
Stroke,2010,NINDS,5R01NS038384-10,,Carotid Revascularization Endarterectomy vs Stenting Trial,"BROTT, THOMAS",UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL,NJ,"$3,563,310"
Stroke,2010,NIDDK,5R01DK075130-04,,Diabetes & Stroke: Impaired wound healing in the brain?,"SIMPSON, IAN",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,PA,"$291,375"
Stroke,2010,NINDS,5F31NS061530-03,,Post-Stroke Blockade of Axonal Growth Inhibitors to Promote Functional Repair,"OVERMAN, JUSTINE",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$30,761"
Stroke,2010,NINDS,5K23NS049463-05,,The Effect of Socioeconomic Status on Outcome After Stroke,"KLEINDORFER, DAWN",UNIVERSITY OF CINCINNATI,OH,"$175,116"
Stroke,2010,NINDS,5R01NS061505-03,,Neural & Vascular Dysfunction As Mechanisms of Injury in Genetic Migraine Models,"AYATA, CENK",MASSACHUSETTS GENERAL HOSPITAL,MA,"$361,179"
Stroke,2010,NINR,7R01NR005339-09,,Effect of oral HRT on ischemic cerebral vessels of young and aged rats,"KEARNEY, MARGUERITE",HENRY M. JACKSON FDN FOR THE ADV MIL/MED,MD,"$335,938"
Stroke,2010,NINDS,5R01NS042304-09,,Nogo Receptor in Adult Central Nervous System Plasticity and Regeneration,"STRITTMATTER, STEPHEN",YALE UNIVERSITY,CT,"$358,412"
Stroke,2010,NINDS,5R01NS059909-02,,Motor Function after Stroke,"CRAMER, STEVEN",UNIVERSITY OF CALIFORNIA IRVINE,CA,"$344,576"
Stroke,2010,NINDS,5R01NS057127-03,,Safety and Tolerability of Deferoxamine in Acute Cerebral Hemorrhage,"SELIM, MAGDY",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$184,238"
Stroke,2010,NINDS,5R01NS036812-12,,Excitotoxicity and Inflammation,"HEWETT, SANDRA",UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,CT,"$389,803"
