Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Stroke,2008,NINDS,1R03NS048512-01A1,,A Murine Model for Inhibition of Farnesyltransferase,"ZIMMERMAN, GUY",UNIVERSITY OF UTAH,UT,"$74,750"
Stroke,2008,NICHD,1R01HD057355-01A2,,Plasminogen activators and NMDA after brain injury,"ARMSTEAD, WILLIAM",UNIVERSITY OF PENNSYLVANIA,PA,"$334,688"
Stroke,2008,NCCAM,1K99AT004197-01,,Neuroprotective Effect of Ginkgo Biloba and its Bioactive Components Ischemia,"SHAH, ZAHOOR",JOHNS HOPKINS UNIVERSITY,MD,"$87,462"
Stroke,2008,NHLBI,5K99HL087591-02,,Cell Biology of Cardiac Kv Channels,"O'CONNELL, KRISTEN",COLORADO STATE UNIVERSITY-FORT COLLINS,CO,"$81,519"
Stroke,2008,NIDCD,5R01DC000314-22,,Speech and Language Processing in Aphasia,"BLUMSTEIN, SHEILA",BROWN UNIVERSITY,RI,"$333,482"
Stroke,2008,NIDCD,5R01DC000942-11,,Disorders of Syntactic Comprehension,"CAPLAN, DAVID",MASSACHUSETTS GENERAL HOSPITAL,MA,"$512,026"
Stroke,2008,NIMH,5K23MH067710-05,,Intervention to Prevent Post-Stroke Major Depression,"WHYTE, ELLEN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$172,778"
Stroke,2008,NHLBI,5R01HL078983-04,,Cerebral artery Ca2+ signaling & subarachnoid hemorrhage,"WELLMAN, GEORGE",UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,VT,"$360,308"
Stroke,2008,NINDS,1R43NS060199-01,,Development of a high-throughput screen for inhibitors of water permeability thro,"PELLETIER, MARC","AEROMICS, LLC",OH,"$300,000"
Stroke,2008,NHLBI,5R01HL082517-03,,Sulfonylurea receptor 1 (SUR1)- A novel therapeutic target in ischemic stroke,"SIMARD, J.",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$355,727"
Stroke,2008,NHLBI,5R01HL082485-03,,Controlling complement in cerebral ischemic injury,"TOMLINSON, STEPHEN",MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,"$318,974"
Stroke,2008,NIDDK,5R01DK075130-02,,Diabetes & Stroke: Impaired wound healing in the brain?,"SIMPSON, IAN",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,PA,"$294,319"
Stroke,2008,NICHD,5K01HD047148-04,,Motor Performance and Cortical Changes in Chronic Stroke,"QUANEY, BARBARA",UNIVERSITY OF KANSAS MEDICAL CENTER,KS,"$135,353"
Stroke,2008,NINDS,5R01NS054652-02,,Hemorrhage Induced Brain Injury,"SHARP, FRANK",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$332,500"
Stroke,2008,NINDS,5R01NS054685-02,,Mechanisms of EPO-Induced Neuroprotection,"ZHANG, JOHN",LOMA LINDA UNIVERSITY,CA,"$351,094"
Stroke,2008,NINDS,5R01NS035806-11,,Role of COX-2 Gene Expression in Ischemic Brain Damage,"IADECOLA, COSTANTINO",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$367,038"
Stroke,2008,NINDS,5R01NS054192-02,,"Astrocytes, HIF-1a and neuronal survival during stroke","REMPE, DAVID",UNIVERSITY OF ROCHESTER,NY,"$143,160"
Stroke,2008,NIDCD,5F31DC008736-02,,Investigation of parameters of implicit priming in anomia,"SILKES, JOANN",UNIVERSITY OF WASHINGTON,WA,"$33,256"
Stroke,2008,NICHD,5R01HD043249-05,,Neurochemical Challenge in Human Stroke Recovery,"LAZAR, RONALD",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$341,836"
Stroke,2008,NINDS,5R21NS055045-02,,A Data Fusion Method for Bedside Monitoring of Lumped Cerebral Arterial Radii,"HU, XIAO",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$168,984"
Stroke,2008,NINDS,5R01NS051446-03,,Using TMS to enhance off-line learning.,"ROBERTSON, EDWIN",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$259,986"
Stroke,2008,NINDS,5K23NS051202-03,,Treatment of Obstructive Sleep Apnea After Stroke,"BROWN, DEVIN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$167,648"
Stroke,2008,NINDS,5R01NS050396-04,,Cellular Mechanisms of Preconditioning Neuroprotection,"MCLAUGHLIN, BETHANN",VANDERBILT UNIVERSITY,TN,"$331,093"
Stroke,2008,NINDS,5R01NS017760-28,,Mechanisms of Brain Edema after Intracerebral Hemorrhage,"XI, GUOHUA",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$301,112"
Stroke,2008,NINDS,5R01NS056456-03,,Prostanoid Receptors and Ischemic Brain Injury,"IADECOLA, COSTANTINO",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$146,815"
Stroke,2008,NINDS,5R01NS050662-03,,Optimizing Heme Oxygenase Activity after CNS Hemorrhage,"REGAN, RAYMOND",THOMAS JEFFERSON UNIVERSITY,PA,"$237,046"
Stroke,2008,NINDS,5U01NS051566-03,,A Randomized Trial of Unruptured Brain AVMs (ARUBA)-STAT,"MOSKOWITZ, ALAN",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$600,000"
Stroke,2008,NINDS,5R01NS048212-04,,Study of Carotid Occlusion and Neurocognition (RECON),"MARSHALL, RANDOLPH",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$395,801"
Stroke,2008,NINDS,5R01NS053716-04,,Neurovascular Adhesion Receptors and Barrier Integrity,"DEL ZOPPO, GREGORY",UNIVERSITY OF WASHINGTON,WA,"$340,821"
Stroke,2008,NHLBI,5R01HL086676-02,,Ectonucleotidases in Atherothrombosis and Stroke,"PINSKY, DAVID",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$364,126"
Stroke,2008,NINDS,5R01NS049395-03,,Improved Measurement of Celebral Perfusion with MRI,"CARROLL, TIMOTHY",NORTHWESTERN UNIVERSITY,IL,"$300,733"
Stroke,2008,NINDS,5K08NS053529-03,,Subventricular Zone Responses to Neonatal Hypoxia-Ischemia,"DIZON, MARIA LUZ",CHILDREN'S MEMORIAL HOSPITAL (CHICAGO),IL,"$145,315"
Stroke,2008,NINDS,5R01NS046560-04,,Brain ischemia attenuates neuropeptide biosynthesis,"ZHOU, AN",EMANUEL HOSPITAL AND HEALTH CENTER,OR,"$305,877"
Stroke,2008,NINDS,5R01NS048349-04,,In vivo MR Evaluation of Cell Therapy for Stroke,"JIANG, QUAN",HENRY FORD HEALTH SYSTEM,MI,"$327,034"
Stroke,2008,NINDS,5R01NS050221-03,,Neuroprotection by Novel Regulators of mGluR Signaling,"SAUGSTAD, JULIE",EMANUEL HOSPITAL AND HEALTH CENTER,OR,"$304,773"
Stroke,2008,NINDS,5F31NS054496-03,,Regeneration by White Matter Progenitors after Stroke,"BURNS, KEVIN",CHILDREN'S HOSPITAL MED CTR (CINCINNATI),OH,"$32,199"
Stroke,2008,NINDS,5R21NS052681-02,,Protein interactions with CADASIL-mutants of Notch3,"WANG, MICHAEL",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$176,750"
Stroke,2008,NINDS,5R01NS045812-04,,Enhancing Recovery after Neonatal Stroke,"BARKS, JOHN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$288,247"
Stroke,2008,NINDS,5R01NS031465-15,,Dopamine/glutamate and hypoxic injury in newborn brain,"WILSON, DAVID",UNIVERSITY OF PENNSYLVANIA,PA,"$346,283"
Stroke,2008,NINDS,5R01NS047373-05,,Metalloproteinase Regulation of Neuronal Death,"CUNNINGHAM, LEE ANNA",UNIVERSITY OF NEW MEXICO,NM,"$261,377"
Stroke,2008,NINDS,5R01NS024728-21,,Cell excitation in ischemic brain injury.,"SIMON, ROGER",EMANUEL HOSPITAL AND HEALTH CENTER,OR,"$343,006"
Stroke,2008,NINDS,5R01NS051561-03,,Cerebellar malfunction and damage during ischemia,"ROSSI, DAVID",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$334,705"
Stroke,2008,NINDS,5R01NS051594-04,,Subventricular zone cell migration after injury,"SZELE, FRANCIS",UNIVERSITY OF OXFORD,UK,"$197,034"
Stroke,2008,NINDS,5R01NS029331-15,,Cerebral ischemia and expression of stress genes,"WELSH, FRANK",UNIVERSITY OF PENNSYLVANIA,PA,"$344,531"
Stroke,2008,NINDS,5R01NS055215-02,,Gender Differences in Ischemic Cell Death,"MCCULLOUGH, LOUISE",UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,CT,"$323,750"
Stroke,2008,NINDS,5R01NS055876-02,,Intracranial Aneurysm Pathogenesis-Roles of Vascular Remodeling and Inflammation,"HASHIMOTO, TOMOKI",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$337,513"
Stroke,2008,NINDS,5R01NS054079-03,,MR Measured Oxygen Metabolic Index in Ischemic Stroke,"LIN, WEILI",UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,NC,"$281,768"
Stroke,2008,NINDS,5R01NS049476-03,,Neuroprotective Mechanisms of Neuroglobin in Stroke,"WANG, XIAOYING",MASSACHUSETTS GENERAL HOSPITAL,MA,"$337,545"
Stroke,2008,NINDS,5R01NS048216-04,,The Role of Na+/H+ exchanger in Cerebral Ischemia,"SUN, DANDAN",UNIVERSITY OF WISCONSIN MADISON,WI,"$185,976"
Stroke,2008,NICHD,5R01HD044816-04,,FES for foot-drop in hemiparesis,"CHAE, JOHN",CASE WESTERN RESERVE UNIVERSITY,OH,"$548,027"
Stroke,2008,NINR,5R01NR004339-09,,Role of 20-HETE on Vasospasm-Induced Ischemia after Subarachnoid Hemorrhage,"HOFFMAN, LESLIE",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$565,806"
Stroke,2008,NIBIB,2R01EB000462-06,,Shape Memory Polymer Devices for Treating Stroke,"MAITLAND, DUNCAN",TEXAS ENGINEERING EXPERIMENT STATION,TX,"$1,137,943"
Stroke,2008,NINDS,1R01NS060765-01,,Mechanisms of Neonatal Erythropoietin Neuroprotection,"ROBINSON, SHENANDOAH",CASE WESTERN RESERVE UNIVERSITY,OH,"$309,094"
Stroke,2008,NICHD,5R01HD045968-04,,Gender-Specific Treatment of Pediatric Cardiac Arrest,"CLARK, ROBERT",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$238,331"
Stroke,2008,NINDS,5R01NS049448-03,,Role of Egr-1 in post-stroke inflammation & brain damage,"VEMUGANTI, RAGHU",UNIVERSITY OF WISCONSIN MADISON,WI,"$251,549"
Stroke,2008,NINDS,5R01NS056457-03,,Sensitization to brain antigens following stroke.,"BECKER, KYRA",UNIVERSITY OF WASHINGTON,WA,"$265,083"
Stroke,2008,NICHD,5K01HD046682-04,,Assessing Quality of Life for Rehabilitation Patients,"OSTIR, GLENN",UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,TX,"$108,000"
Stroke,2008,NHLBI,5R15HL083968-02,,Water-Soluble and Metabolically Stable Calpain Inhibitors as Cardioprotectants,"DONKOR, ISAAC",UNIVERSITY OF TENNESSEE HEALTH SCI CTR,TN,"$9,417"
Stroke,2008,NINDS,5K08NS051350-02,,The role of neutrophils in SAH,"PROVENCIO, J",CLEVELAND CLINIC LERNER COL/MED-CWRU,OH,"$169,668"
Stroke,2008,NINDS,5R01NS054122-03,,Notch3 signaling in small-artery-diseases,"JOUTEL, ANNE",NAT'L INST OF HLTH/MED RES INSERM-PARIS,FR,"$165,168"
Stroke,2008,NIBIB,5R21EB006825-02,,Atherosclerotic Plaque Neovascular Inflation,"BEACH, KIRK",UNIVERSITY OF WASHINGTON,WA,"$185,227"
Stroke,2008,NINDS,5K08NS053899-03,,"Cerebral Amyloid Angiopathy, Vascular Dysfunction & Ischemic Brain Injury","ZIPFEL, GREGORY",WASHINGTON UNIVERSITY,MO,"$157,583"
Stroke,2008,NINDS,5K23NS049463-03,,The Effect of Socioeconomic Status on Outcome After Stroke,"KLEINDORFER, DAWN",UNIVERSITY OF CINCINNATI,OH,"$175,684"
Stroke,2008,NINDS,5R21NS054718-02,,Diaschisis after stroke: a novel approach with arterial spin labeling (ASL) MRI,"KRAKAUER, JOHN",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$211,313"
Stroke,2008,NINDS,5R21NS052516-02,,Defects of Neurotransmission in Ischemia and Reperfusion,"MONGIN, ALEXANDER",ALBANY MEDICAL COLLEGE,NY,"$172,813"
Stroke,2008,NICHD,1R01HD057100-01,,Cytokines and the blood-brain barrier in the ovine fetus,"STONESTREET, BARBARA",WOMEN AND INFANTS HOSPITAL-RHODE ISLAND,RI,"$281,820"
Stroke,2008,NINDS,5R01NS054044-03,,Role of extracellular matrix in hypoxic-ischemic perinatal white matter injury,"BACK, STEPHEN",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$306,751"
Stroke,2008,NINDS,5R01NS050880-04,,Coordination of reaching in healthy adult and stroke,"SCHOLZ, JOHN",UNIVERSITY OF DELAWARE,DE,"$198,656"
Stroke,2008,NINDS,5K24NS050307-04,,Intracranial Stents for Arterial Stenosis,"CHIMOWITZ, MARC",EMORY UNIVERSITY,GA,"$2,302"
Stroke,2008,NHLBI,5R01HL082574-03,,Anti-apoptotic compounds for treatment of brain ischemia,"PELLECCHIA, MAURIZIO",BURNHAM INSTITUTE FOR MEDICAL RESEARCH,CA,"$463,653"
Stroke,2008,NHLBI,5R01HL082511-03,,The role of CD36 in ischemic inflammation and injury,"CHO, SUNGHEE",WINIFRED MASTERSON BURKE MED RES INST,NY,"$450,844"
Stroke,2008,NHLBI,5R01HL082481-03,,"Ischemic Stroke Treatment with Microbubbles, a Novel Clot Lysis Therapeutic","CULP, WILLIAM",UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK,AR,"$385,638"
Stroke,2008,NINDS,5R01NS033668-14,,Cerebral Ischemia in the Female and Male,"HURN, PATRICIA",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$359,598"
Stroke,2008,NINDS,5K25NS047242-05,,Hemodynamic Intervention of Intracranial Aneurysms,"MENG, HUI",STATE UNIVERSITY OF NEW YORK AT BUFFALO,NY,"$153,311"
