Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Stroke,2009,NINDS,1R01NS058710-01A1,,Combination therapy in human ES cell transplantation after neonatal stroke,"WEI, LING",EMORY UNIVERSITY,GA,"$279,000"
Stroke,2009,NINDS,5K02NS049061-04,,Ischemic Stroke Quality of Care and Administrative Data,"TIRSCHWELL, DAVID",UNIVERSITY OF WASHINGTON,WA,"$112,547"
Stroke,2009,NINDS,1R21NS053473-01A2,,Novel Modified Erythropoietins for the Treatment of Ischemic Brain Injury,"CAO, GUODONG",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$198,844"
Stroke,2009,NINDS,1R43NS062454-01,,Development of BATRAC Training Device in Subacute Stroke Population,"APPEL, KRISTEN","ENCORE PATH, INC.",MD,"$121,521"
Stroke,2009,NINDS,7R01NS057255-02,,Neuroprotection NR3A in Cultured Neurons and Ischemic Neonates,"YU, SHAN",EMORY UNIVERSITY,GA,"$271,250"
Stroke,2009,NINR,5F31NR010658-02,,The Contribution of Inflammation to Brain Injury after Stroke,"MORRISON, HELENA",UNIVERSITY OF ARIZONA,AZ,"$32,952"
Stroke,2009,NICHD,1R01HD055525-01A2,,Donepezil to promote functional recovery post-stroke,"WHYTE, ELLEN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$439,312"
Stroke,2009,NINDS,2R01NS038916-11A1,,Brain Attack Surveillance in Corpus Christi (BASIC) Project,"MORGENSTERN, LEWIS",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$539,032"
Stroke,2009,NINDS,5F31NS059290-02,,Rehabilitative training effect on cell proliferation after cortical damage.,"MALDONADO, MONICA",UNIVERSITY OF TEXAS AUSTIN,TX,"$29,976"
Stroke,2009,NHLBI,5R01HL078983-05,,Cerebral artery Ca2+ signaling & subarachnoid hemorrhage,"WELLMAN, GEORGE",UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,VT,"$360,308"
Stroke,2009,NIDCD,5R01DC000314-23,,Speech and Language Processing in Aphasia,"BLUMSTEIN, SHEILA",BROWN UNIVERSITY,RI,"$333,482"
Stroke,2009,NIDCD,5R01DC000942-12,,Disorders of Syntactic Comprehension,"CAPLAN, DAVID",MASSACHUSETTS GENERAL HOSPITAL,MA,"$527,385"
Stroke,2009,NICHD,5R01HD044816-05,,FES for foot-drop in hemiparesis,"CHAE, JOHN",CASE WESTERN RESERVE UNIVERSITY,OH,"$554,269"
