Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Uterine Cancer,2012,NCI,5R01CA148747-03,,Targeting the Mullerian Inhibiting Substance pathway in gynecologic cancer,"CLIBY, WILLIAM",MAYO CLINIC,MN,"$317,411"
Uterine Cancer,2012,NICHD,5R01HD042311-09,,Molecular Analysis of Uterine Receptivity,"DEMAYO, FRANCESCO",BAYLOR COLLEGE OF MEDICINE,TX,"$291,773"
Uterine Cancer,2012,NCI,5R01CA137181-03,,Mouse Models and Translational Studies of Endometrial Cancer,"CASTRILLON, DIEGO",UNIV OF TX SW MED CTR-DALLAS,TX,"$319,440"
Uterine Cancer,2012,NIDDK,5R01DK060019-10,,Nuclear cofactors in hormone signaling,"CHEN, HONGWU",UNIVERSITY OF CALIFORNIA DAVIS,CA,"$297,950"
Uterine Cancer,2012,NCI,2R01CA082838-10A1,,Molecular Pathoepidemiology of Endometrial Cancer Risk,"DEVIVO, IMMACULATA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$359,654"
Uterine Cancer,2012,NHLBI,1R21HL107964-01A1,,Mechanisms of vascular-specific gene regulation by estrogen,"SCHNITZLER, GAVIN",TUFTS MEDICAL CENTER,MA,"$238,500"
Uterine Cancer,2012,NCI,1R03CA159399-01A1,,Plasma Lipid Markers and Cancer Risk,"LIN, JENNIFER",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$88,104"
Uterine Cancer,2012,NCI,2P01CA077839-11A1,7365,PTEN-C0X2-mT0R SIGNALING IN ENDOMETRIAL CANCER,"DEY, SUDHANSU",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$237,840"
Uterine Cancer,2012,NCI,2P01CA077839-11A1,7367,ANALYTICAL CORE,"YANG, PEIYING",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$99,444"
Uterine Cancer,2012,NICHD,5R01HD057873-06,,Steroid Hormone Regulation of Uterine Function  and Dysfunction,"JEONG, JAE-WOOK",MICHIGAN STATE UNIVERSITY,MI,"$248,007"
Uterine Cancer,2012,NCI,5U10CA027469-32,,Gynecologic Oncology Group,"DISAIA, PHILIP",GYNECOLOGIC ONCOLOGY GROUP,MD,"$10,681,725"
Uterine Cancer,2012,NCI,5R01CA140690-04,,Dissecting the Mechanisms of Tamoxifen Action,"RATNAM, MANOHAR",UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,OH,"$50,000"
Uterine Cancer,2012,NCI,1R21CA165807-01,,Tumor Suppressor Role of ARID1A,"SHIH, IE-MING",JOHNS HOPKINS UNIVERSITY,MD,"$176,175"
Uterine Cancer,2012,NCI,5R01CA095427-09,,Mouse Model of Endometrial Tumorigenesis,"ELLENSON, LORA",WEILL MEDICAL COLLEGE OF CORNELL UNIV,NY,"$320,598"
Uterine Cancer,2012,NCI,5R01CA127731-05,,Development of GPR30-Selective Ligands,"PROSSNITZ, ERIC",UNIVERSITY OF NEW MEXICO,NM,"$300,749"
Uterine Cancer,2012,NCI,5R01CA133010-04,,Role of the Sex Hormones and Insulin/IGF-Axes in Endometrial Cancer Recurrence,"STRICKLER, HOWARD",ALBERT EINSTEIN COL OF MED YESHIVA UNIV,NY,"$395,050"
Uterine Cancer,2012,NIEHS,5R01ES018841-03,,Dietary and Environmental Exposure to Cadmium and the Risk of Endometrial Cancer,"HORN-ROSS, PAMELA",CANCER PREVENTION INSTIT OF CALIFORNIA,CA,"$237,693"
Uterine Cancer,2012,NCI,5R01CA099908-10,,Targeted Therapy for Endometrial Cancer,"LESLIE, KIMBERLY",UNIVERSITY OF IOWA,IA,"$287,761"
Uterine Cancer,2012,NCI,5R01CA128571-05,,Embryonic Stem Cell Properties in Cancer,"MERRILL, BRADLEY",UNIVERSITY OF ILLINOIS,IL,"$309,082"
Uterine Cancer,2012,NCI,5R01CA079870-13,,Carcinogenic Metabolites Formed from Antiestrogen,"BOLTON, JUDY",UNIVERSITY OF ILLINOIS,IL,"$223,012"
