Category,FY,Funding IC,Project Number,Sub Project #,Project Title,PI Name,Org Name,State / Country,Amount
Uterine Cancer,2008,NCI,5R01CA102590-04,,Biointeractions of antiestrogens with nitric oxide,"THATCHER, GREGORY",UNIVERSITY OF ILLINOIS AT CHICAGO,IL,"$229,652"
Uterine Cancer,2008,NCI,5R01CA100441-05,,A Murine Model for Endometrial Tumorigenesis,"GOODFELLOW, PAUL",WASHINGTON UNIVERSITY,MO,"$267,657"
Uterine Cancer,2008,NCI,5R01CA104875-05,,THE ROLE OF PROTEIN KINASE C IN ENDOMETRIAL CANCER,"BRADFORD, ANDREW",UNIVERSITY OF COLORADO DENVER,CO,"$299,342"
Uterine Cancer,2008,NCI,5R01CA109379-05,,SERM Regulation of PAK Pathway in Endometrial Cancer,"KUMAR, RAKESH",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$293,511"
Uterine Cancer,2008,NINDS,5R01NS038809-09,,Beta Endorphin Neurons and the Control of Homeostasis,"KELLY, MARTIN",OREGON HEALTH AND SCIENCE UNIVERSITY,OR,"$331,093"
Uterine Cancer,2008,NCI,1R41CA121740-01A2,,Image-Guided High-Intensity Interstitial Ultrasound for Thermal Ablation of Uteri,"DIEDERICH, CHRIS","ACOUSTIC MEDSYSTEMS, INC.",IL,"$149,948"
Uterine Cancer,2008,NCI,5R01CA100833-05,,Hormonal modulation of latent endometrial precancers,"MUTTER, GEORGE",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$257,238"
Uterine Cancer,2008,NCI,5R01CA108612-04,,Cytochrome-P-450 genes in pathobiology of endometrial cancer,"DAHIYA, RAJVIR",UNIVERSITY OF CALIFORNIA SAN FRANCISCO,CA,"$283,708"
Uterine Cancer,2008,NCI,5R01CA071754-11,,Defective DNA Mismatch Repair in Endometrial Cancers,"GOODFELLOW, PAUL",WASHINGTON UNIVERSITY,MO,"$277,450"
Uterine Cancer,2008,NICHD,1R01HD057873-01,,Steroid Hormone Regulation of Uterine Function  and Dysfunction,"JEONG, JAE-WOOK",BAYLOR COLLEGE OF MEDICINE,TX,"$260,950"
Uterine Cancer,2008,NICHD,1R01HD050614-01A2,,Progesterone Action in the Uterus of Mice and Humans,"POLLARD, JEFFREY",YESHIVA UNIVERSITY,NY,"$352,750"
Uterine Cancer,2008,NCCAM,5U01AT001653-06,,Phytoestrogens and Progression of Atherosclerosis,"HODIS, HOWARD",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$567,416"
Uterine Cancer,2008,OD,5U01AT001653-06,,Phytoestrogens and Progression of Atherosclerosis,"HODIS, HOWARD",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$107,725"
Uterine Cancer,2008,NCI,2R01CA097097-05A1,,PTEN and the molecular genetics of endometrial cancer,"DI CRISTOFANO, ANTONIO",FOX CHASE CANCER CENTER,PA,"$344,347"
Uterine Cancer,2008,NCI,1R01CA125427-01A2,,Extranuclear estrogen receptor actions on endometrial cancer cell proliferation,"JACKSON, TWILA",UNIVERSITY OF COLORADO DENVER,CO,"$287,440"
Uterine Cancer,2008,NCI,5K07CA117979-03,,Inflamation and the Risk of Endometrial Cancer,"VISWANATHAN, AKILA",DANA-FARBER CANCER INSTITUTE,MA,"$134,490"
Uterine Cancer,2008,NCI,5F31CA113280-04,,Genetic and Molecular Studies of Endometrial Cancer,"CONTRERAS, CRISTINA",UNIVERSITY OF TEXAS SW MED CTR/DALLAS,TX,"$29,971"
Uterine Cancer,2008,NCI,5R01CA118743-02,,The Role of GPR30 in Advanced Endometrial Cancer,"PROSSNITZ, ERIC",UNIVERSITY OF NEW MEXICO,NM,"$285,000"
Uterine Cancer,2008,NCRR,5K26RR024196-02,,Mentoring and Research in Mouse Models of Cancer and Infertility,"CASTRILLON, DIEGO",UNIVERSITY OF TEXAS SW MED CTR/DALLAS,TX,"$120,262"
Uterine Cancer,2008,NCI,5R13CA113095-05,,Annual Uterine Cancer Symposium,"LU, KAREN",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,$971
Uterine Cancer,2008,NCI,5R01CA109919-05,,Social Cognitive Theory and PA after Endometrial Cancer,"BASEN-ENGQUIST, KAREN",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$259,754"
Uterine Cancer,2008,OD,5R01CA109919-05,,Social Cognitive Theory and PA after Endometrial Cancer,"BASEN-ENGQUIST, KAREN",UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,TX,"$104,513"
Uterine Cancer,2008,NCI,5R01CA082838-09,,Genetic Susceptibility to Endometrial Cancer,"DEVIVO, IMMACULATA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$325,450"
Uterine Cancer,2008,NCI,5R03CA130108-02,,Risk and prognosis of uterine corpus cancer after tamoxifen treatment for breast,"VAN LEEUWEN, FLORA",NETHERLANDS CANCER INSTITUTE,NETH,"$54,734"
Uterine Cancer,2008,NCI,5R03CA132190-02,,Telomere Length and Endometrial Cancer,"DEVIVO, IMMACULATA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$87,500"
